Player,Offense,Defense,GP,Name,Squad,Viable
"llandro",,,122526,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"llandro",1,1,167529,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"llandro",,,160396,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan Boba",1
"llandro",,,564259,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"llandro",0,1,147174,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"llandro",,,182991,JMLS,"zzzJKR zzJKL zzzzzzJMLS zHYoda zzzzGAS",1
"llandro",1,0,154986,CLS,"zzzCLS zHan zChewbacca zC-3PO zChewpio",1
"llandro",0,1,156937,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"llandro",1,1,149636,NS_Alt,"zzMT zAV zDaka Zombie zzMerrin",1
"llandro",,,482940,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"llandro",,,325555,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"llandro",0,1,133265,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"llandro",,,119673,Mon Mothma,"zMon Mothma, Cara Dune, zzCaptain Drogan, Wedge Biggs",1
"llandro",1,1,91603,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"llandro",1,0,149395,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"llandro",0,1,132087,BH,"zzBossk Greedo Dengar Aurra Fennec Shand",1
"llandro",1,1,118111,zEP,"zEP zzVader Tarkin DT TFP",1
"llandro",1,0,122721,Troopers,"zVeers Starck zIden Versio, Scout Trooper, zzPiett",1
"llandro",0,1,101403,Phoenix,"zHera Ezra zKanan zSabine zCaptain Rex",1
"llandro",1,0,29397,NestSolo (Counter),"zNest",1
"llandro",0,1,99886,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"llandro",,,373205,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",0
"llandro",1,1,115258,JTR,"zzzJTR Scav Rey G7, zBB-8 zzR2-D2 Finn G8",0
"llandro",1,1,73333,Carth,"Carth Onasi, Mission G5, Zaalbar Juhani G7, Canderous",0
"llandro",0,1,105692,BH,"Jango G8, zZam IG-88 zEmbo Cad",0
"llandro",1,0,122287,zMaul,"Darth Maul, zDooku Sith Assassin, zSavage Sith Marauder",0
"Shadow13",1,1,161829,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zKRU zzThrawn",1
"Shadow13",,,172621,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Shadow13",1,1,155953,GL Rey,"zzzzzzRey zJTR BB-8 L3-37 zRH Finn",1
"Shadow13",,,589226,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"Shadow13",0,1,142099,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"Shadow13",1,0,141901,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Shadow13",,,470250,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Shadow13",0,1,108228,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Shadow13",,,401301,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Shadow13",1,0,130869,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Shadow13",0,1,113210,Grievous,"zzGG zB2 zB1 zDroideka zDooku",1
"Shadow13",1,1,146221,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Shadow13",1,1,116612,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda",1
"Shadow13",0,1,137776,BH,"zzBossk zIG-88 Cad Dengar zBoba",1
"Shadow13",1,1,93426,Carth,"Carth Onasi, zMission Zaalbar Juhani Canderous",1
"Shadow13",1,0,125294,Troopers,"zVeers Starck zIden Versio, zzPiett DT",1
"Shadow13",0,1,70142,Phoenix,"Hera Ezra Kanan G8, Zeb G9, Chopper",1
"Shadow13",,,119182,Phasma,"Phasma zFOTP FOSFTP FOST Kylo",0
"Shadow13",,,72517,Admiral Raddus,"Admiral Raddus 6*, Cassian Jyn K-2SO G9, Bistan",0
"Shadow13",1,1,106884,NS,"MT zAV Daka Zombie Spirit",0
"Shadow13",,,300929,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Shadow13",,,83191,Mon Mothma,"Mon Mothma G9, Cara Dune, Lando Wedge Biggs",0
"Shadow13",1,1,78082,Ewoks,"zChirpa Elder Paploo G7, Teebo Wicket",0
"Shadow13",0,1,80376,BH,"Jango The Mandalorian, Greedo G8, Boba Fett, Scion of Jango G9, Greef G9",0
"Shadow13",,,87928,Mando,"zThe Mandalorian (Beskar Armor), Dash Rendar, Nest 6* G7, IG-11 G9, Kuiil",0
"HarryTheHutt",,,177214,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"HarryTheHutt",1,1,152259,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"HarryTheHutt",1,0,154254,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"HarryTheHutt",0,1,136002,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"HarryTheHutt",1,1,115022,NestSisters,"zzAV zMT zDaka Zombie zNest",1
"HarryTheHutt",,,124539,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"HarryTheHutt",,,493341,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"HarryTheHutt",,,333629,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"HarryTheHutt",0,1,113163,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"HarryTheHutt",,,129763,JKL,"zzJKL zzzJKR zzHYoda Old Ben, Aayla",1
"HarryTheHutt",,,451025,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"HarryTheHutt",,,451462,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"HarryTheHutt",,,136027,Disintegration,"Aurra Greef zBoba zzBossk zzThe Mandalorian",1
"HarryTheHutt",,,112909,Nute-OR,"zNute zDooku zzJango zZaalbar Mission",1
"HarryTheHutt",1,1,140350,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"HarryTheHutt",1,1,107097,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"HarryTheHutt",1,1,130115,zEP,"zzEP zzzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"HarryTheHutt",1,0,109615,Troopers,"zVeers zStarck zIden Versio, Gideon zzPiett",1
"HarryTheHutt",0,1,104456,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"HarryTheHutt",1,0,88373,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"HarryTheHutt",1,0,20446,SionSolo (Counter),"zSion",1
"HarryTheHutt",,,128214,Phasma,"Phasma zFOTP FOSFTP zFOST zKylo",0
"HarryTheHutt",,,64027,Admiral Raddus,"Admiral Raddus G8, Cassian G9, Jyn G7, Baze G7, Bistan G9",0
"HarryTheHutt",1,1,92243,JTR,"JTR G8, R2-D2 BB-8 RH Finn, RH Poe",0
"HarryTheHutt",,,99455,Mon Mothma,"Mon Mothma G8, Cara Dune, Lando Wedge Biggs",0
"HarryTheHutt",,,67759,Bad Batch,"Hunter G9, Echo G8, Omega G9, Tech Wrecker G8",0
"MINI NovaBonk",,,184448,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"MINI NovaBonk",,,179817,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"MINI NovaBonk",1,1,158550,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zKRU zThrawn",1
"MINI NovaBonk",,,176645,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"MINI NovaBonk",1,1,152305,GL Rey,"zzzzzRey zzJTR zzR2-D2 RH Poe, RH Finn",1
"MINI NovaBonk",,,602657,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"MINI NovaBonk",1,0,151656,CLS,"zzzCLS zHan zzChewbacca C-3PO zChewpio",1
"MINI NovaBonk",,,129218,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"MINI NovaBonk",,,160190,JMLS,"zzzzzzJMLS zzJKL zzHYoda zzOld Ben, Ezra",1
"MINI NovaBonk",,,517472,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"MINI NovaBonk",,,308987,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"MINI NovaBonk",0,1,94173,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI NovaBonk",,,432455,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"MINI NovaBonk",1,0,130429,Traya,"zzTraya DN zSion zEP Sith Empire Trooper",1
"MINI NovaBonk",,,106932,Mon Mothma,"zzMon Mothma, Cara Dune, Hoth Rebel Scout, Pao Wedge",1
"MINI NovaBonk",1,1,132772,Revan Offense,"zzzJKR zGMY BS zJolee zJKA",1
"MINI NovaBonk",1,0,150967,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"MINI NovaBonk",1,1,89081,Ewoks,"zChirpa Elder Paploo Teebo G9, Wicket",1
"MINI NovaBonk",0,1,150657,BH,"zzBossk zZam Dengar zBoba zJango",1
"MINI NovaBonk",1,1,99700,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"MINI NovaBonk",1,0,121973,Troopers,"zVeers zStarck Dark Trooper, zIden Versio, zzGideon",1
"MINI NovaBonk",0,1,112391,Phoenix,"Hera Kanan Zeb Sabine zCaptain Rex",1
"MINI NovaBonk",,,134656,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar, zNest IG-11 Kuiil",1
"MINI NovaBonk",,,115149,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"MINI NovaBonk",1,1,82190,NS,"MT AV Daka Zombie Spirit G9",0
"MINI NovaBonk",1,1,70628,Rogue1,"Jyn 5* G8, Chirrut Baze G9, Cassian G9, K-2SO G8",0
"MINI NovaBonk",1,0,111392,zMaul,"Darth Maul, zSidious Sith Assassin, Savage Sith Marauder",0
"MINI NovaBonk",1,0,74009,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa G9, Dathcha G7",0
"Mashed",,,138977,Admiral Raddus,"zzAdmiral Raddus, Cassian Jyn zK-2SO Bistan",1
"Mashed",,,416248,Profundity,"Profundity 5* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Mashed",,,157529,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan Boba",1
"Mashed",,,539530,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
