Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"TheEmpress",842227845,2,9046199,5566358,3479841,159,114,220,526,3196278,2360783,222,10,688,5,282,98,144,195,208,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,27,12,11
"Caminator",316517664,-5,6164160,3838552,2325608,165,36,332,569,2132825,1705051,103,7,579,5,219,87,102,133,143,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,16,6,5
"Lilboivig",531314937,11,6741842,3980593,2761249,144,191,177,498,2361540,1612423,107,12,522,2,236,78,102,130,145,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,18,6,8
"Torin Woodle",625239834,1,7465894,4255148,3210746,132,-147,394,478,2170769,2084379,127,25,550,4,239,86,104,143,163,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,19,11,9
"3CPO ConfusingHumanRelations",642448877,-2,8999100,5146246,3852854,133,33,423,604,2840751,2276973,158,27,868,5,275,123,176,194,196,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,21,9,8
"llandro",478895559,-5,8336827,4871489,3465338,140,-85,497,522,2559448,2311027,154,32,741,4,299,105,128,159,170,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,20,9,8
"Folos",398344769,-3,10530661,6208648,4322013,143,167,285,640,3649838,2554154,204,53,1196,6,338,177,212,223,225,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,23,8,8
"Richmal",414213241,12,8262538,4945061,3317477,149,119,256,524,2848288,2094112,134,24,661,4,290,95,126,175,193,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,21,10,9
"Whisk",383428245,-6,10962332,6614300,4348032,152,75,449,681,3732654,2868518,185,49,1388,7,335,206,233,237,239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,23,7,8
"prettyhatemachine",882761145,-8,9203217,5114724,4088493,125,-124,427,525,2637844,2475866,147,24,754,5,301,102,152,181,192,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,23,8,10
"Revanur",278546959,2,10205166,5934737,4270429,138,12,649,614,3262850,2671211,196,35,1068,6,317,153,198,215,215,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,24,8,7
"Shalien",717273842,-7,9229471,5657156,3572315,158,24,185,478,3122898,2524468,232,26,609,4,283,79,136,184,200,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,24,10,9
"Death2MC",766619493,3,10170073,5779330,4390743,131,96,359,571,3297541,2479593,181,23,952,6,311,135,188,203,209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,24,9,11
"xXDaChipXx",217292438,3,7650694,4436693,3214001,138,88,236,533,2523282,1912735,141,21,632,5,257,90,128,154,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,18,7,8
"Magnar argorn",694122251,11,8931197,5185764,3745433,138,-107,524,520,2692800,2484032,166,30,805,4,288,120,139,165,179,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,21,8,9
"DarthCarbonara",627877888,-4,5825092,3550940,2274152,156,515,332,524,2379269,1143075,90,9,514,3,203,81,89,114,123,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,10,6,4
"Shadow13",822421553,-1,8696018,4801136,3894882,123,-99,326,489,2506589,2293533,144,30,665,4,273,103,128,165,178,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,18,7,7
"Mecha",318634765,5,9678445,5642392,4036053,139,-40,314,499,3023039,2610052,180,29,784,6,299,112,144,183,193,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,22,7,9
"Vertigone",255751531,-3,8449630,4803833,3645797,131,73,370,530,2713568,2089356,109,21,711,4,266,105,134,172,181,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,20,8,7
"AtomPlays",724255859,4,8048306,4478538,3569768,125,115,128,534,2577021,1900841,111,15,661,2,266,93,136,162,167,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,22,9,10
"Haveuseenthiswizard",181145495,-8,7776627,4428359,3348268,132,171,243,482,2609036,1818299,98,17,607,4,271,85,115,139,160,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,18,7,8
"Mithrall05",937315856,-9,8437457,4655269,3782188,123,26,384,483,2575777,2079492,127,20,664,4,286,103,121,154,170,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,19,10,7
"Schoolly D",327441434,0,8678083,5125751,3552332,144,99,290,556,2929055,2196696,153,14,744,3,283,106,151,183,195,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,22,12,11
"Woggex",437342655,-5,9876015,6015669,3860346,155,99,406,553,3435136,2575877,229,23,875,6,301,124,168,204,222,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,25,11,13
"Boom Roasted",273267268,-7,11091115,6584687,4506428,146,67,260,590,3703233,2867561,239,30,1120,7,332,163,196,235,243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,8,9
"DarthBolognese",139445371,-6,8580261,5380622,3199639,168,-166,484,604,2702290,2645839,186,12,899,6,280,127,159,180,189,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,19,7,8
