Player,Ally Code,Current Gear Needed,Team
Markie wan Denobi,543843381,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Markie wan Denobi,543843381,1,L1 BH: Boba Jango Cad The Mandalorian Embo G11
Markie wan Denobi,543843381,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
MysticSphinx,863632185,3,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G11
MysticSphinx,863632185,7,L1 BH: Boba Jango G9 Cad The Mandalorian Greedo G8
Magnar argorn,694122251,4,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Magnar argorn,694122251,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Magnar argorn,694122251,2,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar
Magnar argorn,694122251,1,L0 Tuskens: Tusken Chieftain 5* Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
Magnar argorn,694122251,3,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa
MINI NovaBonk,799531699,4,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
MINI NovaBonk,799531699,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
MINI NovaBonk,799531699,6,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Embo R5
MINI NovaBonk,799531699,3,L1 Jawas: Nebit Jawa Engineer G11 Jawa Scavenger Dathcha Jawa G10
Niallis,925193879,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
Niallis,925193879,2,L1 BH: Boba Jango Cad The Mandalorian Embo G10
Niallis,925193879,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Boom Roasted,273267268,3,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan R6 Skiff Guard (Lando Calrissian) R6 Boba
Boom Roasted,273267268,4,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R5 Armorer R5
