Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
zohaib24,513357243,36,12,24,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G7 Traya G12
gungan warrior,368646154,30,7,23,Vader+Wat 8%: Vader EP R1 Thrawn R1 Wat Tambor G3 6* Piett
Damask Holdings,628389113,43,17,26,Vader+Nute 12%: Vader Nute G8 Thrawn G11 Wat Tambor G9 Traya
Darr Mejhan,871838931,30,0,30,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G11 6* Traya G9
Shadow13,822421553,29,7,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya G12
xXDaChipXx,217292438,30,5,25,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G9 6* Traya G12
Tiric Thorn,122955923,27,4,23,Vader P1 10%: Vader KRU G8 5* Wat Tambor G9 C-3PO Shaak Ti R1
Vertigone,255751531,43,1,42,Vader+Nute 12%: Vader Nute G8 Thrawn G9 Wat Tambor G7 4* Traya G6
Corepike,492187112,19,0,19,Vader P1 10%: Vader KRU Wat Tambor G9 C-3PO Shaak Ti G8
Pkunk,925263588,31,2,29,Vader+Nute 12%: Vader R4 Nute G9 Thrawn G12 Wat Tambor G12 Traya G11
OriginalSin,655548929,48,15,33,Vader+Nute 12%: Vader G12 Nute G12 Thrawn G12 Wat Tambor G9 Traya G12
GhostSurfer,749847446,36,8,28,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G10 Traya G10
Torin Woodle,625239834,20,3,17,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 Traya
Woggex,437342655,28,5,23,Vader+Nute 12%: Vader Nute G11 Thrawn R1 Wat Tambor G12 Traya G12
Death2MC,766619493,36,16,20,Vader+Nute 12%: Vader Nute G12 Thrawn G13 Wat Tambor Traya G9
AtomPlays,724255859,34,4,30,Vader+Nute 12%: Vader Nute G11 Thrawn G9 Wat Tambor G10 6* Traya G12
PrimarchHades,793647289,16,2,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R1 Traya R1
Corgibuttz,335132241,24,13,11,Vader P1 10%: Vader KRU G12 Wat Tambor G13 C-3PO Shaak Ti
Matryckol,154613492,30,0,30,Vader+Nute 12%: Vader Nute G11 Thrawn G9 Wat Tambor G12 Traya G10
Donkles,428444836,35,17,18,Vader P1 10%: Vader KRU Wat Tambor G9 6* C-3PO R3 BB-8 G11
crimzon,488955995,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Qex,654613761,20,10,10,Vader P1 10%: Vader KRU G8 Wat Tambor C-3PO Shaak Ti
Revanur,278546959,22,0,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 Traya G12
3CPO ConfusingHumanRelations,642448877,20,6,14,Vader P1 10%: Vader KRU Wat Tambor G10 C-3PO Shaak Ti G12
prettyhatemachine,882761145,17,0,17,Vader P1 10%: Vader KRU Wat Tambor G12 C-3PO R3 Shaak Ti G9
Mecha,318634765,34,10,24,Vader+Nute 12%: Vader Nute G11 Thrawn R3 Wat Tambor G9 6* Traya G12
Magnar argorn,694122251,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TheEmpress,842227845,24,7,17,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya G12
Noob,947698333,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthMacaroni,647763694,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
llandro,478895559,24,11,13,Vader P1 10%: Vader KRU Wat Tambor G5 C-3PO Shaak Ti
MiniTwodamax,849554491,43,22,21,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G10
Rugess Nome,239575313,36,4,32,Vader+Nute 12%: Vader Nute G10 Thrawn G10 Wat Tambor G8 6* Traya G12
Hatton,755731115,32,3,29,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G8 Traya G7
Løck,329813995,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Whisk,383428245,43,3,40,Vader+Nute 12%: Vader Nute G7 Thrawn G9 Wat Tambor G8 Traya G8
The Frozen One,429155696,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Effinsyv,887724713,32,1,31,Vader+Nute 12%: Vader Nute G9 Thrawn R2 Wat Tambor G9 Traya G8
Shalien,717273842,24,4,20,Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor G12 Traya R1
Turbo Mooch,289645136,28,3,25,Vader+Nute 12%: Vader Nute G6 Thrawn Wat Tambor G10 Traya G13
Dixie Normus,323696396,27,0,27,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G8 5* Traya G12
Folos,398344769,41,18,23,Vader+Nute 12%: Vader Nute G9 Thrawn G11 Wat Tambor Traya G11
