Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Folos,398344769,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Folos,398344769,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Folos,398344769,12,12,0,JKL: JKL HYoda GMY JKR GK
Folos,398344769,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Folos,398344769,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
DarthBolognese,139445371,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
DarthBolognese,139445371,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthBolognese,139445371,8,8,0,JKL: JKL HYoda GMY Jolee GK
DarthBolognese,139445371,5,5,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Richmal,414213241,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Richmal,414213241,0,0,0,JKL: JKL HYoda GMY JKR GK
Richmal,414213241,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Richmal,414213241,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Richmal,414213241,6,2,4,Finn: Finn G12 RT RH Finn RH Poe R2-D2
Richmal,414213241,19,10,9,ROLO: ROLO Cpt Solo Leia Baze G7 Lando
AtomPlays,724255859,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
AtomPlays,724255859,8,8,0,JKL: JKL HYoda GMY Jolee GK
AtomPlays,724255859,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
AtomPlays,724255859,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
AtomPlays,724255859,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
AtomPlays,724255859,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Rhaugz,412575262,0,0,0,JKL: JKL HYoda GMY JKR GK
Rhaugz,412575262,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Rhaugz,412575262,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Rhaugz,412575262,15,0,15,GAS Special: GAS G1 5* Ahsoka Tano (Snips)
Rhaugz,412575262,16,8,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
Rhaugz,412575262,20,0,20,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G10 ARC Trooper G10 Fives G12
Vertigone,255751531,0,0,0,JKL: JKL HYoda GMY JKR GK
Vertigone,255751531,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Vertigone,255751531,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Vertigone,255751531,14,6,8,ROLO: ROLO Cpt Solo Biggs Baze G8 Lando
TheEmpress,842227845,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
TheEmpress,842227845,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
TheEmpress,842227845,0,0,0,JKL: JKL HYoda GMY JKR GK
TheEmpress,842227845,2,2,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
TheEmpress,842227845,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Revanur,278546959,12,12,0,JKL: JKL HYoda GMY Jolee GK
Revanur,278546959,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Revanur,278546959,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Revanur,278546959,9,0,9,GAS Special: GAS G7 Ahsoka Tano (Snips)
Revanur,278546959,1,0,1,ROLO: ROLO Cpt Solo Biggs Baze Lando
Seaoxe,954655852,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Seaoxe,954655852,0,0,0,JKL: JKL HYoda GMY JKR GK
Seaoxe,954655852,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
