Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
TheEmpress,842227845,10,5,5,128379,Padme JKA Ahsoka GK GMY G13
Corgibuttz,335132241,31,31,0,147154,Padme JKA Ahsoka GK GMY
3CPO ConfusingHumanRelations,642448877,34,34,0,145488,Padme JKA Ahsoka GK GMY
Matryckol,154613492,24,16,8,122631,Padme JKA Ahsoka GK GMY G10
Folos,398344769,23,23,0,143891,Padme JKA Ahsoka GK GMY
The Frozen One,429155696,35,35,0,148680,Padme JKA Ahsoka GK GMY
Pkunk,925263588,29,26,3,128620,Padme JKA Ahsoka GK GMY R2
Caminator,316517664,68,62,6,121675,Padme JKA Ahsoka GK GMY G12
Hatton,755731115,58,36,22,109201,Padme G12 JKA Ahsoka G12 GK R3 GMY G10
zohaib24,513357243,50,37,13,122956,Padme R3 JKA Ahsoka G11 GK R3 GMY R3
Rebel78,883592965,40,34,6,134038,Padme JKA Ahsoka GK GMY G12
prettyhatemachine,882761145,55,53,2,136258,Padme JKA Ahsoka GK GMY R3
MiniTwodamax,849554491,45,45,0,141619,Padme JKA Ahsoka GK GMY
Lilboivig,531314937,54,52,2,133193,Padme JKA Ahsoka GK GMY R3
Tiric Thorn,122955923,57,51,6,123015,Padme JKA Ahsoka GK GMY G12
Richmal,414213241,54,48,6,123545,Padme JKA Ahsoka GK GMY G12
Corepike,492187112,42,9,33,88857,Padme G10 JKA G12 Ahsoka G12 GK G12 GMY G11
GhostSurfer,749847446,13,6,7,127828,Padme JKA Ahsoka GK GMY G11
Whisk,383428245,58,51,7,121747,Padme JKA Ahsoka GK GMY G11
Death2MC,766619493,6,5,1,144011,Padme JKA R4 Ahsoka GK GMY
Hyper Revanur,474854236,54,47,7,122508,Padme JKA Ahsoka GK GMY G11
Torin Woodle,625239834,84,36,48,64154,Padme G1 JKA G11 5* Ahsoka G10 GK G9 GMY G11
Qex,654613761,26,26,0,142425,Padme JKA Ahsoka GK GMY
PrimarchHades,793647289,31,11,20,115086,Padme R1 JKA G12 Ahsoka R1 GK GMY G12
Shalien,717273842,7,7,0,150257,Padme JKA Ahsoka GK GMY
Turbo Mooch,289645136,40,18,22,99686,Padme G12 JKA Ahsoka R1 GK G12 GMY G12
Revanur,278546959,15,9,6,131646,Padme JKA Ahsoka GK GMY G12
Løck,329813995,0,0,0,148564,Padme JKA Ahsoka GK GMY
Effinsyv,887724713,15,13,2,134344,Padme JKA Ahsoka GK GMY R3
Mecha,318634765,14,14,0,133913,Padme JKA Ahsoka GK GMY
DarthMacaroni,647763694,0,0,0,159767,Padme JKA Ahsoka GK GMY
llandro,478895559,69,69,0,140496,Padme JKA Ahsoka GK GMY
Vermanu Obeebis,277971264,8,0,8,120966,Padme JKA Ahsoka GK GMY G10
Rugess Nome,239575313,65,58,7,122695,Padme JKA Ahsoka GK GMY G11
DarthCarbonara,627877888,69,3,66,28829,Padme G0 0* JKA G8 6* Ahsoka G11 GK G1 5* GMY G4
Damask Holdings,628389113,54,8,46,72464,Padme G7 JKA G8 Ahsoka G8 GK G9 GMY G12
Magnar argorn,694122251,0,0,0,148061,Padme JKA Ahsoka GK GMY
Donkles,428444836,57,18,39,73469,Padme G8 JKA G12 Ahsoka G11 GK G12 GMY G8
Dixie Normus,323696396,27,5,22,99179,Padme G11 JKA Ahsoka G11 GK R3 GMY G12
Darr Mejhan,871838931,32,0,32,98623,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G10
AtomPlays,724255859,6,0,6,126845,Padme JKA Ahsoka GK GMY G12
Noob,947698333,0,0,0,156580,Padme JKA Ahsoka GK GMY
crimzon,488955995,3,1,2,143016,Padme JKA Ahsoka R3 GK GMY
Woggex,437342655,7,5,2,139560,Padme JKA Ahsoka GK GMY R3
Branflakes,235584242,2,0,2,138680,Padme JKA Ahsoka GK GMY R3
Vertigone,255751531,17,5,12,119438,Padme R3 JKA R3 Ahsoka R3 GK GMY G12
gungan warrior,368646154,52,16,36,85282,Padme G9 JKA Ahsoka G8 GK G7 GMY G12
xXDaChipXx,217292438,30,2,28,103484,Padme G9 JKA Ahsoka G11 GK G12 GMY G12
Shadow13,822421553,7,1,6,131727,Padme JKA Ahsoka GK GMY G12
OriginalSin,655548929,29,12,17,127688,Padme JKA G11 Ahsoka R1 GK GMY G12
