Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mashed,141979986,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Mashed,141979986,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Mashed,141979986,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mashed,141979986,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Mashed,141979986,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Mashed,141979986,32,31,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Mashed,141979986,1,0,1,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170 5*
Mashed,141979986,18,0,18,Geonosians Omicron: GBA G11 Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G11
Mashed,141979986,44,0,44,GAS: GAS G1 6* Rex G11 Echo (501st) G8 Fives G8 ARC Trooper G8
Folos,398344769,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Folos,398344769,8,8,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Folos,398344769,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Folos,398344769,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Folos,398344769,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Folos,398344769,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Folos,398344769,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Folos,398344769,42,41,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Folos,398344769,45,8,37,Troopers: Veers G9 Piett Gideon Dark Trooper G1 Range Trooper G1
Dudenstein,976438939,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Dudenstein,976438939,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Dudenstein,976438939,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Dudenstein,976438939,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Dudenstein,976438939,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Dudenstein,976438939,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Dudenstein,976438939,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Dudenstein,976438939,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Dudenstein,976438939,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Niallis,925193879,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Niallis,925193879,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Niallis,925193879,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Niallis,925193879,19,19,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Niallis,925193879,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Niallis,925193879,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Niallis,925193879,4,3,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Magnar argorn,694122251,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Magnar argorn,694122251,4,0,4,Grievous Omicron: GG B2 B1 MagnaGuard Droideka G12
Magnar argorn,694122251,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
