Player,Offense,Defense,GP,Name,Squad,Viable
"DarthGideon",,,127317,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"DarthGideon",,,137853,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"DarthGideon",1,1,153667,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"DarthGideon",,,606614,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"DarthGideon",0,1,153201,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"DarthGideon",,,129001,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"DarthGideon",0,1,124905,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"DarthGideon",0,1,111953,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"DarthGideon",,,382563,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"DarthGideon",1,0,154584,Traya,"zzTraya zzDN zSion zDooku zNest",1
"DarthGideon",1,1,143006,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"DarthGideon",1,1,97733,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"DarthGideon",0,1,145840,BH,"zzBossk zzJango zzGreef Dengar zBoba",1
"DarthGideon",0,1,104094,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"DarthGideon",1,0,120164,CLS,"zzzCLS zHan Leia zOld Ben, zzChewbacca",1
"DarthGideon",,,394592,Negotiator,"Negotiator BTL-B Y-wing 3*, Anakin's Eta-2 4*, Rex's ARC-170 6*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"DarthGideon",,,308876,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
"DarthGideon",1,1,89156,NS,"zzMT G9, AV zDaka Zombie Spirit G9",0
"DarthGideon",1,0,72976,Troopers,"Veers G5, zzPiett Gideon 4* G6, Dark Trooper 5* G7, Range Trooper 5* G2",0
"DarthGideon",,,101982,Mon Mothma,"zzMon Mothma 5* G8, Lando zKyle Katarn, Biggs Wedge",0
"DarthGideon",1,0,94288,ShaakClones,"zShaak Ti, zRex Echo (501st) G6, zzFives Clone Sergeant",0
"DarthGideon",,,46970,Iden Troopers,"Iden Versio 6* G5, Stormtrooper G7, Snowtrooper G6, Magma G5, DT 6* G2",0
"DarthGideon",,,75168,Bad Batch,"zHunter 6* zEcho 4* G9, zzOmega 5* G9, zTech 5* zWrecker 5*",0
"DarthGideon",1,0,57791,Jawas,"Nebit G7, Jawa Engineer G6, Jawa Scavenger G8, Jawa 4* G6, Dathcha G6",0
"Spyro08",,,123539,Phasma,"zPhasma zFOTP FOSFTP zFOST Kylo",1
"Spyro08",1,1,126162,SL Kylo,"zzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Spyro08",0,1,125530,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Spyro08",0,1,106721,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Spyro08",,,407187,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo's SF",1
"Spyro08",1,1,121900,Revan,"zzzJKR zBS GMY zJolee GK",1
"Spyro08",0,1,137283,BH,"zzBossk Cad Dengar zBoba zIG-88",1
"Spyro08",1,1,89663,Carth,"zCarth Onasi, zMission Zaalbar Juhani zCanderous",1
"Spyro08",1,1,133961,zEP,"zEP zzzVader Tarkin TFP zzTraya",1
"Spyro08",0,1,106171,Phoenix,"Hera Ezra zKanan Zeb Sabine",1
"Spyro08",1,0,94937,Wiggs,"Wedge Biggs CLS Chewbacca Leia",1
"Spyro08",1,0,17370,NestSolo (Counter),"Nest",1
"Spyro08",,,94024,Grievous Omicron,"GG B2 B1 MagnaGuard Droideka",0
"Spyro08",1,1,66377,NS,"MT 5* G8, AV Daka G7, Zombie Spirit G8",0
"Spyro08",,,64873,Mon Mothma,"Mon Mothma 5* G8, Cara Dune G8, Lando Captain Drogan 4*, Captain Rex 4*",0
"Spyro08",1,0,96984,ShaakClones,"Shaak Ti, Rex Echo (501st) G8, zFives Clone Sergeant",0
"Spyro08",1,1,55476,Ewoks,"Chirpa 5* G9, Elder 6* G8, Paploo 5* G9, Teebo G8, Wicket 4*",0
"Spyro08",,,85141,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper G6, Magma DT",0
"Spyro08",0,1,79447,BH,"Jango Greef The Mandalorian G8, zBoushh (Leia Organa) 6*, Fennec Shand 5*",0
"Spyro08",,,76741,Bad Batch,"zHunter zEcho 5* Omega 6* G9, zTech 5* zWrecker 5* G9",0
"Spyro08",1,0,76437,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa 5* Dathcha G9",0
"Spyro08",1,0,16602,SionSolo (Counter),"zSion 5*",0
"Enigxma",,,118288,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
"Enigxma",1,1,107210,NS,"zMT zAV Daka Zombie Spirit",1
"Enigxma",0,1,123773,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Enigxma",0,1,133608,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Enigxma",,,125650,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Enigxma",1,0,103438,CLS,"zzzCLS zHan zzChewbacca R2-D2 G9, zChewpio",1
"Enigxma",,,483236,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
