Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Yasie Qui",347197687,-6,9003948,5268092,3735856,141,-105,377,572,2764555,2503086,187,25,828,6,277,116,166,184,192,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,23,8,9
"Snipesum",355457861,-5,8789616,5133477,3656139,140,100,400,574,2956085,2177392,200,22,840,6,256,127,158,179,193,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,26,8,9
"Quidamlefou",461462591,-5,7801134,4593611,3207523,143,-33,121,457,2492356,2100568,149,8,504,4,264,67,97,159,171,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,23,9,10
"Killbaza",276969236,-8,8207878,4819664,3388214,142,-10,71,502,2640751,2174443,166,11,662,4,243,97,130,150,167,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,19,8,8
"Timber",273814442,-7,9447672,5378764,4068908,132,45,291,559,3022750,2355338,199,24,818,5,277,102,176,189,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,26,8,9
"Th3 S3rg34nt",343993697,-4,9402753,5588627,3814126,146,179,309,517,3325747,2260230,227,21,793,6,283,124,147,181,191,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,26,8,11
"Boshund",476923873,-5,9623730,5562608,4061122,136,-7,282,493,3052364,2507304,225,21,743,5,290,101,148,178,197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,27,9,12
"Sammy TF1",866892379,-5,5217628,3207331,2010297,159,172,44,376,1902096,1301482,120,5,246,1,189,31,65,82,91,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,13,8,6
"Pacojonezl40",556288426,-4,8892572,5308718,3583854,148,9,268,491,2930618,2367345,212,15,630,4,281,85,127,184,197,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,27,9,12
"Pale Mandius",297974276,-5,10237605,6052692,4184913,144,-48,649,583,3252418,2784008,268,32,941,8,298,128,187,222,223,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,10
