Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Wayne brady,636166686,9,9,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Wayne brady,636166686,6,6,0,Grievous: GG B2 B1 Droideka MagnaGuard
Wayne brady,636166686,2,2,0,Dooku+Asajj: Dooku AV
Wayne brady,636166686,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Yasie Qui,347197687,5,4,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Yasie Qui,347197687,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Yasie Qui,347197687,1,1,0,Dooku+Asajj: Dooku AV
Yasie Qui,347197687,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bad Fish,314563379,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Bad Fish,314563379,14,14,0,Grievous: GG B2 B1 Nute MagnaGuard
Bad Fish,314563379,1,1,0,Dooku+Asajj: Dooku AV
Bad Fish,314563379,5,5,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Killbaza,276969236,13,13,0,Grievous: GG B2 B1 Nute MagnaGuard
Killbaza,276969236,0,0,0,Dooku+Asajj: Dooku AV
Killbaza,276969236,5,5,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Killbaza,276969236,15,0,15,Troopers: Veers Piett Starck Dark Trooper G3 5* Range Trooper G6 6*
Boshund,476923873,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Boshund,476923873,0,0,0,Dooku+Asajj: Dooku AV
Boshund,476923873,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Boshund,476923873,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Snipesum,355457861,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Snipesum,355457861,4,4,0,Dooku+Asajj: Dooku AV
Snipesum,355457861,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bly,359469122,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Bly,359469122,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bly,359469122,0,0,0,Dooku+Asajj: Dooku AV
Bly,359469122,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Walliamen,121156657,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Walliamen,121156657,1,1,0,Dooku+Asajj: Dooku AV
Walliamen,121156657,7,7,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Walliamen,121156657,7,4,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Stillbucket,325189745,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Stillbucket,325189745,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Stillbucket,325189745,1,1,0,Dooku+Asajj: Dooku AV
Stillbucket,325189745,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bort Moddler,875657132,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bort Moddler,875657132,0,0,0,Dooku+Asajj: Dooku AV
Bort Moddler,875657132,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bort Moddler,875657132,10,0,10,Troopers: Veers Piett G10 Starck Dark Trooper G7 6* Range Trooper G9
Trxzzy,369576688,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Trxzzy,369576688,0,0,0,Dooku+Asajj: Dooku AV
Trxzzy,369576688,9,0,9,Grievous: GG B2 G9 B1 G9 Nute MagnaGuard G9
Trxzzy,369576688,3,0,3,Geos: GBA Poggle G11 Geo Soldier Sun Fac G10 Geo Spy
Lance,891594698,5,5,0,Grievous: GG B2 B1 Droideka MagnaGuard
Lance,891594698,0,0,0,Dooku+Asajj: Dooku AV
Lance,891594698,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Lance,891594698,6,1,5,Troopers: Veers Piett Starck Dark Trooper G7 4* Range Trooper
ぱんどら,832179698,20,20,0,Grievous: GG B2 B1 Droideka MagnaGuard
ぱんどら,832179698,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ぱんどら,832179698,11,1,10,Troopers: Veers Piett G9 4* Starck G9 Dark Trooper G9 6* Range Trooper G11 5*
ぱんどら,832179698,2,2,0,Dooku+Asajj: Dooku AV
Quidamlefou,461462591,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Quidamlefou,461462591,1,1,0,Dooku+Asajj: Dooku AV
Quidamlefou,461462591,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Quidamlefou,461462591,8,1,7,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G8
Th3 S3rg34nt,343993697,5,5,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Th3 S3rg34nt,343993697,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Th3 S3rg34nt,343993697,1,1,0,Dooku+Asajj: Dooku AV
Th3 S3rg34nt,343993697,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JeyLuckiDarkLord,835762411,6,6,0,Dooku+Asajj: Dooku AV
JeyLuckiDarkLord,835762411,9,9,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JeyLuckiDarkLord,835762411,13,6,7,Grievous: GG B2 G9 5* B1 G9 6* Nute G11 Wat Tambor
