Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Veskasa Starblazer,987221192,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Veskasa Starblazer,987221192,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Veskasa Starblazer,987221192,0,0,0,JKL: JKL HYoda GMY JKR GK
Veskasa Starblazer,987221192,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Veskasa Starblazer,987221192,18,4,14,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives R1
Spyro08,363183593,20,2,18,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G9 ARC Trooper G9 6* Fives
Arlo,968691745,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Arlo,968691745,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Arlo,968691745,0,0,0,JKL: JKL HYoda GMY Jolee GK
Arlo,968691745,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Arlo,968691745,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Yasie Qui,347197687,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
Yasie Qui,347197687,6,6,0,JKL: JKL HYoda GMY Jolee GK
Yasie Qui,347197687,17,17,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Yasie Qui,347197687,17,17,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Yasie Qui,347197687,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Yasie Qui,347197687,20,8,12,ROLO: ROLO Cpt Solo Biggs Baze G4 Lando
AJ,134248776,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
AJ,134248776,0,0,0,JKL: JKL HYoda JMLS JKR GK
AJ,134248776,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
AJ,134248776,12,8,4,GAS Special: GAS G12 Ahsoka Tano (Snips)
AJ,134248776,14,4,10,ROLO: ROLO Cpt Solo Biggs Baze G6 Lando
AJ,134248776,12,0,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
Boshund,476923873,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Boshund,476923873,4,4,0,JKL: JKL HYoda GMY Jolee GK
Boshund,476923873,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Boshund,476923873,16,16,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Boshund,476923873,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Boshund,476923873,11,3,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
AtillaDX,476411885,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
AtillaDX,476411885,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
AtillaDX,476411885,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
AtillaDX,476411885,14,0,14,Finn: Finn RT G2 RH Finn RH Poe R2-D2
AtillaDX,476411885,2,0,2,JKL: JKL R1 HYoda GMY Jolee GK
EvolutionX,457734974,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
EvolutionX,457734974,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
EvolutionX,457734974,0,0,0,JKL: JKL HYoda GMY Jolee GK
EvolutionX,457734974,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
EvolutionX,457734974,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
EvolutionX,457734974,8,7,1,ROLO: ROLO Cpt Solo Leia Baze Lando
Quidamlefou,461462591,0,0,0,JKL: JKL HYoda GMY Jolee GAS
Quidamlefou,461462591,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Quidamlefou,461462591,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Quidamlefou,461462591,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Sammy TF1,866892379,6,3,3,Finn: Finn G13 RT RH Finn RH Poe Holdo
Sammy TF1,866892379,20,4,16,ROLO: ROLO G13 Chirrut G7 Han G13 CLS R2-D2 R2
Scorn,881485362,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
Scorn,881485362,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Scorn,881485362,0,0,0,JKL: JKL HYoda GMY Jolee GK
Scorn,881485362,18,18,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Scorn,881485362,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
