Player,Offense,Defense,GP,Name,Squad,Viable
"Drink Some Tea",0,1,110396,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Drink Some Tea",0,1,98427,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Drink Some Tea",0,1,84457,Grievous,"zzGG B2 Droideka MagnaGuard IG-88",1
"Drink Some Tea",,,118815,Disintegration,"Aurra Greef zBoba Bossk zzThe Mandalorian",1
"Drink Some Tea",1,1,94409,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Drink Some Tea",0,1,76728,FO,"zKRU Kylo G9, FOE FOO Phasma",1
"Drink Some Tea",0,1,69015,Phoenix,"Hera G9, Ezra Kanan G8, Zeb G8, Chopper G9",1
"Drink Some Tea",,,242975,HansMF,"Home One 5*, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Drink Some Tea",,,340088,Negotiator,"Negotiator HT Anakin's Eta-2 4*, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",0
"Drink Some Tea",1,1,78325,JTR,"JTR Scav Rey, BB-8 R2-D2 G9, Finn",0
"Drink Some Tea",1,0,74389,CLS,"CLS Han G8, Chewbacca Thrawn C-3PO G6",0
"Drink Some Tea",1,1,51031,NS_Alt,"MT 5* G8, AV G8, Talia G8, Daka G8, Spirit G8",0
"Drink Some Tea",1,0,98384,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives Clone Sergeant G8",0
"Drink Some Tea",1,1,89238,zEP,"EP zzzVader Tarkin TFP G8, Mara Jade, The Emperor's Hand",0
"Drink Some Tea",0,1,118637,BH,"Jango zGreedo Cad zBoushh (Leia Organa), Krrsantan",0
"Drink Some Tea",1,1,52423,Rogue1,"Jyn G8, Chirrut G8, Baze 6* G8, Cassian G8, K-2SO G8",0
"Drink Some Tea",0,1,72162,BS,"BS GMY Jolee Old Ben G9, HYoda G2",0
"Klaus's Legacy",,,179555,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Klaus's Legacy",,,158958,LV,"zzzzzzLord Vader, zzPiett zzzVader RG Tarkin",1
"Klaus's Legacy",,,134032,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Klaus's Legacy",1,1,166101,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Klaus's Legacy",,,173507,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Klaus's Legacy",,,584684,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Klaus's Legacy",,,121656,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Klaus's Legacy",1,1,123680,NS_Alt,"zzMT zAV zzMerrin zDaka Zombie",1
"Klaus's Legacy",,,334986,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Klaus's Legacy",0,1,130317,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Klaus's Legacy",1,0,135976,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Klaus's Legacy",1,1,125807,Revan Offense,"zzzJKR zGMY BS zJolee zJKA",1
"Klaus's Legacy",1,1,79367,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Klaus's Legacy",0,1,143387,BH,"zzBossk Jango Boba zZam Dengar",1
"Klaus's Legacy",1,1,85263,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"Klaus's Legacy",0,1,104741,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"Klaus's Legacy",1,0,29349,NestSolo (Counter),"zNest",1
"Klaus's Legacy",,,372654,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170 3*, Umbaran SF 5*, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Klaus's Legacy",1,0,91439,Wiggs,"Wedge Biggs Han G4, zC-3PO Leia",0
"Geekytiger",1,1,150755,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Geekytiger",1,1,156691,GL Rey,"zzzzzzRey zJTR R2-D2 RH Poe, RH Finn",1
"Geekytiger",,,565115,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Geekytiger",1,0,155826,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Geekytiger",0,1,115319,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Geekytiger",,,128358,JKL,"zzJKL zzzJKR HYoda Old Ben, Ezra",1
"Geekytiger",1,0,118619,Traya,"zzTraya DN zSion Dooku zzEP",1
"Geekytiger",,,106984,Mon Mothma,"Mon Mothma, Biggs Wedge Cara Dune, Lando",1
"Geekytiger",1,1,106196,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Geekytiger",1,1,96351,Carth,"zCarth Onasi, zMission Zaalbar Juhani Canderous",1
"Geekytiger",0,1,100895,Phoenix,"Hera Kanan Zeb Sabine Chopper",1
"Geekytiger",0,1,115067,padme,"zzPadme zGK JKA Ahsoka Fives",1
"Geekytiger",1,0,120666,IG88,"IG-88 zzWampa Cassian G8, Boba zKylo",1
"Geekytiger",,,99119,Grievous Omicron,"GG G1, B2 zB1 MagnaGuard Droideka",0
"Geekytiger",,,411625,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Geekytiger",1,1,102095,NS,"MT AV Daka Zombie Spirit",0
"Geekytiger",0,1,124667,BH,"zBossk Greef Jango Cad Dengar",0
"Geekytiger",1,0,78672,Troopers,"Veers Starck G1, zzPiett Snowtrooper G8, Gideon 5* G9",0
"Geekytiger",1,0,102905,zMaul,"Darth Maul G8, zBSF zzzDR Sidious zSavage",0
"Geekytiger",1,0,72358,Jawas,"Nebit Jawa Engineer G9, Jawa Scavenger, Jawa 6* Dathcha",0
"Hizashi Hyuga",,,173836,JMK,"zzzzzJMK zAhsoka zzCAT zzzzGAS zGK",1
"Hizashi Hyuga",1,1,136105,GL Rey,"zzzzRey JTR BB-8 Holdo RH Finn",1
"Hizashi Hyuga",,,528060,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Hizashi Hyuga",1,0,132030,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Hizashi Hyuga",0,1,117780,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"Hizashi Hyuga",,,483517,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Hizashi Hyuga",,,308724,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Hizashi Hyuga",0,1,108856,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Hizashi Hyuga",,,127741,JKL,"zJKL zzzJKR zHYoda Old Ben, Ezra",1
"Hizashi Hyuga",0,1,131805,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"Hizashi Hyuga",1,0,95927,Traya,"zzTraya DN Sion zEP Thrawn",1
"Hizashi Hyuga",1,0,114839,Troopers,"zVeers zzPiett zGideon Dark Trooper, Range Trooper",1
"Hizashi Hyuga",,,116118,Disintegration,"Aurra zGreef Boba zzBossk The Mandalorian",1
"Hizashi Hyuga",1,1,86238,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Hizashi Hyuga",1,1,94174,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"Hizashi Hyuga",1,0,119763,Clones,"Cody zRex Echo (501st), zzFives zARC Trooper",1
"Hizashi Hyuga",0,1,99043,Phoenix,"Hera Kanan Zeb Sabine zCaptain Rex",1
"Hizashi Hyuga",1,0,16473,NestSolo (Counter),"Nest",1
"Hizashi Hyuga",,,104829,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"Hizashi Hyuga",,,383212,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Hizashi Hyuga",1,1,103136,NS,"MT AV Daka Zombie Spirit",0
"Hizashi Hyuga",0,1,117084,BH,"Jango IG-88 Cad zZam Dengar",0
"Hizashi Hyuga",1,0,74071,Wiggs,"Wedge Biggs Leia Chirrut 5* G8, Baze 5* G8",0
"VadersCrispyNuts",1,1,140759,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zzKRU Thrawn",1
"VadersCrispyNuts",0,1,100280,DRMalak,"zzzDR HK-47 BSF zMalak Sith Empire Trooper",1
"VadersCrispyNuts",0,1,92976,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"VadersCrispyNuts",1,1,114430,Revan,"zzzJKR BS GMY zJolee GK",1
"VadersCrispyNuts",0,1,110828,BH,"zBossk Greef Boba The Mandalorian, Dengar G9",1
"VadersCrispyNuts",0,1,102080,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"VadersCrispyNuts",,,116572,Phasma,"Phasma FOTP FOSFTP zFOST Kylo",0
"VadersCrispyNuts",1,1,76482,JTR,"JTR R2-D2 G6, BB-8 G9, RH Finn, RH Poe",0
"VadersCrispyNuts",,,482903,Raddus,"Raddus 5* Sun Fac SF, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"VadersCrispyNuts",1,1,44543,NS_Alt,"MT 5* G8, AV 5* G8, Merrin Talia 5* G8, Daka 5* G8",0
"VadersCrispyNuts",1,1,77726,Carth,"Carth Onasi, Mission G6, Zaalbar Juhani Canderous",0
"VadersCrispyNuts",1,0,33749,ShaakClones,"Shaak Ti 5* G8, Rex 5* G8, Echo (501st) 5* G8, Fives 5* G8, Clone Sergeant 5* G8",0
"VadersCrispyNuts",1,1,100366,zEP,"EP zVader Tarkin 5* Dooku 5* Mara Jade, The Emperor's Hand",0
"VadersCrispyNuts",1,0,78146,Troopers,"Veers Starck G9, zPiett G9, Dark Trooper, Gideon G9",0
"VadersCrispyNuts",1,0,76244,Wiggs,"Wedge Biggs Leia Chirrut 5* G8, Baze 5* G8",0
"Super Pickle",1,1,155543,GL Rey,"zzzzzRey zGK zJTR RH Poe, RH Finn",1
"Super Pickle",1,1,114448,NS,"zMT zAV zDaka Zombie Spirit",1
"Super Pickle",,,559681,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Super Pickle",,,177092,JMLS,"zzzJKR zzJKL zzzzzJMLS zHYoda zzzzGAS",1
"Super Pickle",1,0,137802,CLS,"zzzCLS zHan zChewbacca zC-3PO Chewpio",1
"Super Pickle",0,1,123100,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Super Pickle",0,1,93716,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Super Pickle",,,490429,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Super Pickle",0,1,132732,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Super Pickle",1,0,111068,Traya,"zzTraya DN Sion zEP Thrawn",1
"Super Pickle",,,107280,Mon Mothma,"zMon Mothma, Bistan Wedge Cara Dune, Scarif",1
"Super Pickle",1,1,80348,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Super Pickle",0,1,133130,BH,"zBossk Jango Boba Cad Dengar",1
"Super Pickle",1,1,93484,Carth,"zCarth Onasi, zMission Zaalbar Juhani Canderous",1
"Super Pickle",1,0,121038,501st,"zRex ARC Trooper, Echo (501st), zzFives zAhsoka",1
"Super Pickle",0,1,128454,FO,"zKRU Kylo FOST FOE zHux",1
"Super Pickle",1,0,107156,Troopers,"zVeers Starck Iden Versio, zzPiett DT",1
"Super Pickle",0,1,109161,Phoenix,"Hera Ezra Kanan Zeb zCaptain Rex",1
"Super Pickle",,,114392,Mando,"The Mandalorian (Beskar Armor), Dash Rendar, Nest IG-11 Kuiil",1
"Super Pickle",,,112233,Admiral Raddus,"zzAdmiral Raddus, Cassian Jyn K-2SO Chirrut G8",0
"Super Pickle",,,423631,Negotiator,"Negotiator BTL-B Y-wing 4*, Anakin's Eta-2, Rex's ARC-170 5*, Umbaran SF, Ahsoka's SF, Plo's SF 6*, Clone Sergeant's ARC-170",0
"Super Pickle",0,1,117638,BS,"BS zGMY zJolee Old Ben, JKA",0
"Kaze no Hi",,,124070,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Kaze no Hi",1,1,157827,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G8",1
"Kaze no Hi",1,0,131140,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Kaze no Hi",,,126681,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Kaze no Hi",0,1,111657,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Kaze no Hi",,,450283,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo's SF",1
"Kaze no Hi",1,0,106868,Traya,"zzTraya DN Sion Dooku zzEP",1
"Kaze no Hi",1,1,110015,Revan,"zzJKR zBS zGMY zJolee zGK",1
"Kaze no Hi",1,1,82554,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Kaze no Hi",1,0,106058,ShaakClones,"zzShaak Ti, Rex Echo (501st), zzFives zARC Trooper",1
"Kaze no Hi",0,1,115945,BH,"zBossk Greef Boba The Mandalorian, Dengar",1
"Kaze no Hi",,,84191,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma DT",1
"Kaze no Hi",0,1,101146,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"Kaze no Hi",,,389234,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 3*, Phantom Ghost Cassian's U-wing 6*, Wedge X-wing",0
"Kaze no Hi",1,1,95834,JTR,"JTR R2-D2 BB-8 RH Finn, RH Poe",0
"Kaze no Hi",1,1,100953,NS,"MT AV Daka Zombie Spirit",0
"Kaze no Hi",,,96738,Mon Mothma,"Mon Mothma G9, Biggs Wedge Cara Dune, Lando",0
"Kaze no Hi",1,0,85865,Troopers,"Veers Starck zPiett Range Trooper, Dark Trooper",0
"Kaze no Hi",0,1,77194,BH,"Jango Greedo IG-88 6* G8, Cad Zam G7",0
"Kaze no Hi",1,1,50665,Rogue1,"Jyn 6* G8, Chirrut G8, Baze G8, Pao G8, K-2SO G8",0
"Kaze no Hi",,,83858,Mando,"The Mandalorian (Beskar Armor) G9, Dash Rendar, Nest 6* G7, IG-11 Kuiil",0
"Kaze no Hi",,,43670,Bad Batch,"Hunter 5* G9, Echo 4* G9, Omega 5* G8, Tech 4* G8, Wrecker 5* G8",0
"Kaze no Hi",1,0,104691,QGJ,"zQGJ Aayla 6* G8, zJKA zzHYoda zAhsoka",0
"DRIII BFKA BAI",,,181768,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"DRIII BFKA BAI",,,414877,Profundity,"Profundity 6* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Biggs X-wing",1
"DRIII BFKA BAI",1,1,160148,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zzKRU zThrawn",1
