Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Dash Riprock",663558394,-5,9563959,5290762,4273197,123,-28,535,511,2876884,2413878,225,25,757,5,297,105,152,186,195,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,26,9,11
"Drink Some Tea",454624447,-8,3280374,2048949,1231425,166,130,27,295,1194744,854205,30,1,69,0,177,10,25,58,65,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,6,1
"Dash Riprock alt",533182519,-6,5164970,3055579,2109391,144,-262,339,532,1485130,1570449,95,11,336,1,177,44,80,128,130,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,16,10,7
"Darth1 Daddy",318222584,-4,5609011,2938949,2670062,110,-70,219,427,1566100,1370199,97,4,383,4,184,51,74,89,95,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,14,8,6
"Darkwizard126",199916727,6,6626728,3635478,2991250,121,137,160,462,2126117,1508685,96,16,469,3,217,65,98,115,128,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,13,7,7
"Kaze no Hi",626549968,-5,5929029,3506855,2422174,144,-7,110,481,1924800,1581379,75,12,376,1,203,44,90,120,137,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,13,6,6
"IMAC1780",247782748,-2,7738192,4456403,3281789,135,89,196,570,2552832,1902895,110,18,673,3,249,102,139,168,174,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,21,7,9
"Shepard",915153266,7,6063027,3374592,2688435,125,14,219,452,1870528,1503388,82,13,427,3,191,71,86,103,117,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,14,9,6
"Dobbz",692459781,12,7719722,4365131,3354591,130,-43,142,505,2356936,2007519,109,24,598,3,263,84,129,142,154,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,20,11,8
"markyjseph",198536458,-8,6443351,3680900,2762451,133,78,209,479,2099088,1581812,90,15,471,4,220,66,94,121,137,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,16,7,7
"DDC",414812779,-4,7106417,4119553,2986864,137,22,196,517,2291808,1827069,85,12,574,3,235,82,120,133,150,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,17,8,8
"Silent",667983833,-5,7714610,4643774,3070836,151,62,105,452,2622693,2007502,140,14,511,2,262,75,107,140,154,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,20,11,11
"Dr Pepper",214958952,-7,9817856,5784902,4032954,143,-47,370,484,3117446,2663624,240,17,691,5,302,93,143,194,215,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,28,8,11
"Geekytiger",965999173,-5,6392655,3719810,2672845,139,66,101,533,2109999,1608808,70,9,515,2,223,72,114,124,136,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,13,7,7
"DRIII BFKA BAI",488844648,-4,7793802,4512920,3280882,137,-2,397,523,2483387,2028857,165,21,674,4,249,105,131,142,156,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,21,7,9
"Merc",618651132,0,6070342,3444486,2625856,131,-318,190,431,1625724,1818086,77,12,359,2,200,44,78,112,135,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,13,5,5
"Slartibartfast",625761274,-5,6013983,3595917,2418066,148,-157,219,516,1823150,1740895,87,14,464,1,194,60,101,117,135,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,13,5,5
"Hizashi Hyuga",681282268,-4,6653528,3654829,2998699,121,31,152,503,2040454,1611714,79,9,464,2,232,58,104,138,143,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,18,8,8
"Zeta Sigma 74",644932613,-4,7344019,4074769,3269250,124,-35,200,412,2206932,1863181,133,18,425,2,260,59,88,130,146,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,20,7,5
"Dimitris",181287221,3,4518784,2612571,1906213,137,-234,72,289,1287380,1324515,45,3,133,1,156,14,38,66,100,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,6,5
"JediMasterLuke",548318682,1,4609927,2629874,1980053,132,77,124,405,1498976,1130222,78,3,259,1,168,38,59,76,96,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,15,9,6
"SonofGrisha",761968935,11,8899127,5339864,3559263,150,10,359,585,2955303,2384561,231,14,832,6,266,109,168,187,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,25,9,9
"Moth Tahl",169291728,-8,8448420,4756239,3692181,128,-8,334,478,2603695,2141473,124,23,612,3,281,94,127,155,167,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,22,9,8
"PirateFTW",252624558,-5,7342522,4293767,3048755,140,-139,428,385,2204284,2066767,119,17,404,1,255,61,85,117,153,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,21,10,10
"Blue Moose",233146235,-6,10413869,6243404,4170465,149,-8,372,534,3412965,2806873,247,13,860,7,319,122,168,217,225,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,29,12,10
"Super Pickle",891141788,-2,7320570,4153793,3166777,131,1,138,487,2289729,1863050,87,14,553,3,235,81,113,133,157,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,19,10,8
"ahsokatano69",647733796,-7,6076230,3639989,2436241,149,142,111,545,2133460,1506529,77,5,497,3,210,73,107,125,137,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,16,8,9
"Verse314",828941825,-5,5677507,3215625,2461882,130,160,224,548,1899207,1315967,65,7,452,3,199,61,102,119,124,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,13,7,5
"DarthQuack",399813648,-3,5444171,3029873,2414298,125,98,233,505,1742907,1286966,49,6,411,3,196,62,85,108,123,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,16,9,7
"AlexisHeros",147311167,2,5989309,3553533,2435776,145,111,143,513,2055121,1497736,78,14,447,2,217,63,101,117,130,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,11,8,5
"EyeGee69",558231367,0,6238397,3540123,2698274,131,240,387,432,2160540,1378907,115,19,449,2,233,73,81,99,109,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,16,4,4
"Dovahkin",533415171,0,7942939,4506174,3436765,131,44,462,504,2531494,1974004,144,22,664,6,266,100,124,144,152,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,20,9,9
"PCamZ",987513288,-3,6604755,3592048,3012707,119,67,153,526,2038225,1553147,80,12,515,3,223,66,114,131,140,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,18,8,9
"Tralax",165219216,-2,6219035,3559047,2659988,133,140,112,525,2084755,1474292,60,6,503,3,229,70,110,116,124,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,15,7,8
"NNMSdabber",424386656,-5,5846025,3227831,2618194,123,-219,246,417,1602093,1625062,78,14,359,2,181,48,74,98,113,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,12,7,6
"Mordekhai",763875945,-4,5216041,2961420,2254621,131,-71,116,477,1579335,1382085,53,3,320,0,210,37,80,105,116,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15,11,9
"Slartibartfast alt",677547467,0,5257991,3198965,2059026,155,147,189,434,1878491,1319798,82,11,293,1,179,38,65,105,120,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,13,7,8
"Xander",927239713,-4,4720774,2598911,2121863,122,-95,227,418,1370252,1228659,74,5,273,1,149,34,62,81,94,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,11,9,6
"Phly Enjoyer",212536946,-5,3672449,1925877,1746572,110,136,98,404,1126074,799803,31,2,202,1,125,26,47,61,79,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,6,5
"Whoomp",391378657,-5,5410261,2819681,2590580,108,-61,165,510,1510640,1309041,34,3,420,2,167,57,94,98,107,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,9,7,4
"Shitbird",126758897,-5,7759218,4764978,2994240,159,-96,274,468,2511787,2253191,201,13,512,4,240,66,114,147,173,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,21,8,9
"Klaus's Legacy",134914132,9,6187637,3535739,2651898,133,-316,468,533,1669738,1863090,115,13,555,3,182,77,104,115,129,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,15,7,6
"Rayed",473591619,-5,4851572,2699155,2152417,125,40,73,487,1513939,1185216,39,5,342,2,152,44,79,89,99,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,9,6,4
"Sheev",989162886,10,4594985,2782142,1812843,153,-10,181,356,1525741,1256401,79,5,219,2,187,26,51,69,83,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,15,9,8
"VadersCrispyNuts",212953269,-5,4122038,2334386,1787652,130,61,57,469,1321542,1012844,26,3,273,1,128,44,58,81,94,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,6,2
"DieHard2",938849231,-4,4770387,2710140,2060247,131,-149,397,423,1392847,1317293,96,9,349,2,158,54,63,69,88,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,12,5,5
"VictorNKnight",535591719,3,5164029,2787453,2376576,117,50,55,391,1570485,1216968,37,7,301,1,166,45,63,79,102,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,9,5,4
