Player,Ally Code,Current Gear Needed,Team
Wulfer,574225173,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Wulfer,574225173,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Wulfer,574225173,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Wulfer,574225173,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
Wulfer,574225173,8,L0 Tuskens: Tusken Chieftain 4* Tusken Raider G1 Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R
Dobbz,692459781,1,L1 Old Republic: JKR BS Jolee G11 Mission Zaalbar
Dobbz,692459781,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Dobbz,692459781,4,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha G7 Jawa G7 6*
Poopenduck,625114675,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8 5*
Poopenduck,625114675,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Poopenduck,625114675,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
DDC,414812779,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
DDC,414812779,5,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo G8
DDC,414812779,7,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G10 Dathcha G11 Jawa G11
Merc,618651132,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Merc,618651132,8,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo G8 6*
Merc,618651132,8,L0 Maul: Maul G2 The Mandalorian (Beskar Armor) Bo-Katan G6 Canderous Armorer 5*
DieHard2,938849231,6,L1 Old Republic: JKR BS G10 Jolee Mission G10 Zaalbar G10
ahsokatano69,647733796,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
ahsokatano69,647733796,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
Slartibartfast alt,677547467,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
Slartibartfast alt,677547467,8,L1 BH: Boba Jango Cad G8 The Mandalorian Greedo G8 5*
DarthQuack,399813648,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
DarthQuack,399813648,3,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo G11
Dr Pepper,214958952,4,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
Dr Pepper,214958952,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Dr Pepper,214958952,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
Dr Pepper,214958952,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Dr Pepper,214958952,3,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior G5 2* URoRRuR'R'R
AlexisHeros,147311167,3,L1 Old Republic: JKR BS Jolee Mission Zaalbar G9
AlexisHeros,147311167,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Sheev,989162886,2,L1 Old Republic: JKR BS G11 Jolee Mission G11 Zaalbar
Sheev,989162886,14,L1 BH: Boba G9 Jango G11 Cad G10 The Mandalorian G8 Greedo G8
Rui Vuusen,767136199,3,L1 Old Republic: JKR BS G11 Jolee G10 Mission Zaalbar
