Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Savage frenzy,654386434,26,2,24,Vader+Wat 8%: Vader EP Thrawn G12 Wat Tambor G10 5* Piett G8 4*
JediLukeSkywalker,548318682,29,0,29,Vader P1 10%: Vader KRU G9 Wat Tambor G6 C-3PO BB-8 G10
Darkwizard126,199916727,27,12,15,Vader+Wat 8%: Vader EP Thrawn G12 Wat Tambor G9 5* Piett
Dash Riprock,663558394,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Lil Gap,721276151,41,2,39,Vader+Wat 8%: Vader R3 EP G11 Thrawn G9 6* Wat Tambor G8 5* Starck G7
loypop13,223946436,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
BAI,488844648,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Stryker,171969987,37,2,35,Vader+Nute 12%: Vader Nute G7 Thrawn G12 Wat Tambor G8 5* Traya G10
Silent,667983833,39,11,28,Vader+Nute 12%: Vader Nute G11 Thrawn R1 Wat Tambor G7 5* Traya G12
spannerdave,546632278,40,0,40,Vader+Nute 12%: Vader R3 Nute G10 Thrawn G9 5* Wat Tambor G7 6* Traya G8
DDC,414812779,43,1,42,Vader+Nute 12%: Vader Nute G5 Thrawn G7 Wat Tambor G9 5* Traya G9
Dr Pepper,214958952,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Loypop's HTroopers,985227814,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Grig,655635129,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BillboSwaggenz,195239664,26,0,26,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G11 6* Traya G12
Kaze no Hi,626549968,42,6,36,Vader+Wat 8%: Vader G12 EP Thrawn G8 Wat Tambor G8 5* Starck G8
Merc,618651132,25,1,24,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 5* Traya G11
Shepard,915153266,20,4,16,Vader P1 10%: Vader KRU Wat Tambor G9 5* C-3PO G11 Shaak Ti
NNMSdabber,424386656,45,18,27,Vader+Wat 8%: Vader EP G12 Thrawn G12 Wat Tambor G9 5* Piett G12
yellow ketchup,138372373,34,0,34,Vader+Nute 12%: Vader Nute G11 Thrawn G10 Wat Tambor G9 Traya G8
Slartibartfast,625761274,44,4,40,Vader+Nute 12%: Vader G12 Nute G8 Thrawn G10 Wat Tambor G8 5* Traya G12
SonofGrisha,761968935,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TyTy19石头,667918273,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
PirateFTW,252624558,23,8,15,Vader+Wat 8%: Vader EP Thrawn G10 Wat Tambor G11 4* Piett
Blue Moose,233146235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Zeta Sigma 74,644932613,40,6,34,Vader+Nute 12%: Vader Nute G11 Thrawn G9 Wat Tambor G9 Traya G9
Dark Killer,755419552,37,0,37,Vader+Nute 12%: Vader Nute G8 Thrawn G9 5* Wat Tambor G11 6* Traya G7
MC One,496367998,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
