Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dash Riprock alt,533182519,8,8,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dash Riprock alt,533182519,8,8,0,Dooku+Asajj: Dooku AV
Dash Riprock alt,533182519,14,14,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sheev,989162886,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Sheev,989162886,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Sheev,989162886,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sheev,989162886,4,0,4,Dooku+Asajj: Dooku G8 AV
DarthQuack,399813648,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthQuack,399813648,5,5,0,Dooku+Asajj: Dooku AV
Merc,618651132,4,4,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Merc,618651132,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Merc,618651132,17,2,15,Grievous: GG B2 G9 B1 G5 Nute G10 MagnaGuard G9
Merc,618651132,17,17,0,Dooku+Asajj: Dooku AV
Darth1 Daddy,318222584,9,9,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Darth1 Daddy,318222584,14,3,11,Troopers: Veers Piett Starck Dark Trooper Range Trooper G1
Darth1 Daddy,318222584,11,0,11,Dooku+Asajj: Dooku AV G1 3*
Dovahkin,533415171,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Dovahkin,533415171,4,1,3,Dooku+Asajj: Dooku AV G9
D3athAn93I,538463176,0,0,0,Dooku+Asajj: Dooku AV
D3athAn93I,538463176,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
D3athAn93I,538463176,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
markyjseph,198536458,9,9,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
markyjseph,198536458,15,10,5,Grievous: GG B2 G10 B1 Droideka G11 MagnaGuard G10
markyjseph,198536458,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Mordekhai,763875945,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mordekhai,763875945,4,2,2,Troopers: Veers Piett Starck G11 Dark Trooper G11 Range Trooper
Mordekhai,763875945,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mordekhai,763875945,4,4,0,Dooku+Asajj: Dooku AV
