Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
EyeGee69,558231367,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
EyeGee69,558231367,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
EyeGee69,558231367,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
EyeGee69,558231367,5,0,5,ROLO: ROLO Cpt Solo Biggs Baze G11 Lando
Dash Riprock,663558394,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Dash Riprock,663558394,0,0,0,JKL: JKL HYoda GMY JKR GK
Dash Riprock,663558394,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Dash Riprock,663558394,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Dash Riprock,663558394,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Rui Vuusen,767136199,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Rui Vuusen,767136199,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Rui Vuusen,767136199,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
Rui Vuusen,767136199,15,0,15,JKL: JKL HYoda GMY G11 JKR G12 Jolee G10
Moth Tahl,169291728,13,13,0,GAS Special: GAS Ahsoka Tano (Snips)
Moth Tahl,169291728,0,0,0,JKL: JKL HYoda GMY JKR GK
Moth Tahl,169291728,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Moth Tahl,169291728,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Moth Tahl,169291728,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Moth Tahl,169291728,18,10,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Darkwizard126,199916727,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Darkwizard126,199916727,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Darkwizard126,199916727,0,0,0,JKL: JKL HYoda JMLS JKR GK
Darkwizard126,199916727,12,12,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Darkwizard126,199916727,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Darkwizard126,199916727,16,8,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
NNMSdabber,424386656,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
NNMSdabber,424386656,6,6,0,GAS Special: GAS Ahsoka Tano (Snips)
NNMSdabber,424386656,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
NNMSdabber,424386656,17,14,3,Shaak Ti: Shaak Ti Rex Echo (501st) R2 ARC Trooper R1 Fives
PirateFTW,252624558,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
PirateFTW,252624558,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PirateFTW,252624558,16,0,16,ROLO: ROLO Cpt Solo Biggs G8 Baze G8 Lando
PirateFTW,252624558,19,11,8,JKL: JKL HYoda GMY G12 Jolee G12 GK
PirateFTW,252624558,17,15,2,Shaak Ti: Shaak Ti R1 Rex Echo (501st) ARC Trooper Fives
Blue Moose,233146235,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Blue Moose,233146235,0,0,0,JKL: JKL HYoda GMY Jolee GK
Blue Moose,233146235,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Blue Moose,233146235,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Blue Moose,233146235,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Blue Moose,233146235,6,2,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
Darth1 Daddy,318222584,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Darth1 Daddy,318222584,4,3,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Darth1 Daddy,318222584,20,8,12,JKL: JKL HYoda GMY G12 JKR G12 GK G12
Hizashi Hyuga,681282268,7,7,0,GAS Special: GAS Ahsoka Tano (Snips)
Hizashi Hyuga,681282268,7,7,0,JKL: JKL HYoda GMY Jolee GK
Hizashi Hyuga,681282268,5,5,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Hizashi Hyuga,681282268,12,12,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Hizashi Hyuga,681282268,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Hizashi Hyuga,681282268,20,12,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
Zeta Sigma 74,644932613,16,16,0,GAS Special: GAS Ahsoka Tano (Snips)
Zeta Sigma 74,644932613,16,16,0,JKL: JKL HYoda GMY Jolee GK
Zeta Sigma 74,644932613,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zeta Sigma 74,644932613,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Zeta Sigma 74,644932613,19,14,5,Shaak Ti: Shaak Ti G11 Rex Echo (501st) ARC Trooper Fives
D3athAn93I,538463176,1,0,1,Finn: Finn RT RH Finn RH Poe Vet Chewbacca
D3athAn93I,538463176,17,1,16,ROLO: ROLO G12 Chirrut G8 Leia CLS G12 Lando
D3athAn93I,538463176,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G8 Fives
Phly Enjoyer,212536946,12,12,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Phly Enjoyer,212536946,8,0,8,JKL: JKL HYoda GMY JKR G12 Jolee G12
Shitbird,126758897,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Shitbird,126758897,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Shitbird,126758897,0,0,0,JKL: JKL HYoda GMY JKR GK
Shitbird,126758897,9,0,9,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R2 ARC Trooper G12 Fives R1
D3AthAn91e,795696545,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
D3AthAn91e,795696545,9,0,9,ROLO: ROLO G13 Cpt Solo G13 Leia Chewbacca G13 Lando
Klaus's Legacy,134914132,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Klaus's Legacy,134914132,4,0,4,Finn: Finn G12 RT RH Finn RH Poe Holdo
IMAC1780,247782748,12,12,0,GAS Special: GAS Ahsoka Tano (Snips)
IMAC1780,247782748,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
IMAC1780,247782748,0,0,0,JKL: JKL HYoda JMLS JKR GK
IMAC1780,247782748,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
IMAC1780,247782748,8,1,7,ROLO: ROLO Cpt Solo Leia Baze G9 Lando
