Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Rui Vuusen,767136199,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Rui Vuusen,767136199,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Rui Vuusen,767136199,7,1,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon
Rui Vuusen,767136199,13,1,12,JMLS: JMLS JKL JKR G12 GMY G12 HYoda
IMAC1780,247782748,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
IMAC1780,247782748,34,34,0,CLS: CLS C-3PO Han Chewbacca Chewpio
IMAC1780,247782748,33,33,0,Padme/BB: Padme Hunter Echo Tech Wrecker
IMAC1780,247782748,25,19,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
IMAC1780,247782748,30,24,6,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon R3
Super Pickle,891141788,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
Super Pickle,891141788,26,26,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Super Pickle,891141788,24,18,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Super Pickle,891141788,28,0,28,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G9 5* Starck G12
Shepard,915153266,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Shepard,915153266,32,25,7,CLS: CLS C-3PO R3 Han R4 Chewbacca R3 Chewpio R3
Dash Riprock,663558394,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Dash Riprock,663558394,9,9,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Dash Riprock,663558394,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Dash Riprock,663558394,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dash Riprock,663558394,8,6,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Dash Riprock,663558394,21,11,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Gideon R3
Dash Riprock,663558394,27,9,18,Padme/BB: Padme Hunter R1 Echo R1 Tech R1 Wrecker G12
Merc,618651132,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Merc,618651132,2,2,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Merc,618651132,37,37,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Merc,618651132,29,23,6,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Starck R3
First And Foremost,173918281,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
First And Foremost,173918281,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
First And Foremost,173918281,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
First And Foremost,173918281,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
First And Foremost,173918281,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
First And Foremost,173918281,13,3,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Gideon R3
Slartibartfast main,754569525,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Slartibartfast main,754569525,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Slartibartfast main,754569525,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Slartibartfast main,754569525,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Slartibartfast main,754569525,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Slartibartfast main,754569525,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Slartibartfast main,754569525,6,0,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Starck
Silent,667983833,27,27,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Silent,667983833,36,36,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Silent,667983833,1,0,1,JMLS: JMLS JKL JKR GMY R4 HYoda
Silent,667983833,36,5,31,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G8 Starck G12
Silent,667983833,50,13,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
Mordekhai,763875945,26,18,8,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
Mordekhai,763875945,34,2,32,Troopers: Veers G12 Piett G12 Dark Trooper G11 Range Trooper G12 Starck G11
Shitbird,126758897,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
