Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
VictorNKnight,535591719,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
VictorNKnight,535591719,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
VictorNKnight,535591719,18,1,17,padme: Padme G12 GK G12 JKA G12 Ahsoka Tano (Snips) C-3PO G11
VictorNKnight,535591719,39,15,24,Grievous Omicron: GG G12 B2 G12 B1 G11 MagnaGuard G11 Droideka G10
VictorNKnight,535591719,1,0,1,Negotiator: Negotiator 6* BTL-B Y-wing 6* Anakin's Eta-2 Rex's ARC-170 LVunit.level Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170 5* LVunit.level
VictorNKnight,535591719,34,1,33,Troopers: Veers G9 Piett Gideon G8 Dark Trooper G8 6* Range Trooper G6 3*
VictorNKnight,535591719,24,1,23,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G10 R2-D2 G11
Moth Tahl,169291728,24,24,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Moth Tahl,169291728,16,12,4,padme: Padme GK JKA G12 Ahsoka Tano (Snips) C-3PO
Moth Tahl,169291728,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Moth Tahl,169291728,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Moth Tahl,169291728,14,14,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Moth Tahl,169291728,20,4,16,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G12 Range Trooper G12
Moth Tahl,169291728,23,23,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Moth Tahl,169291728,36,36,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Moth Tahl,169291728,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Verse314,828941825,34,30,4,padme: Padme G12 GK JKA Ahsoka Tano (Snips) C-3PO
Verse314,828941825,15,15,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Verse314,828941825,20,4,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Verse314,828941825,36,36,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Verse314,828941825,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Verse314,828941825,42,0,42,Troopers: Veers G9 Piett Starck G1 Dark Trooper G11 Range Trooper G1 4*
Verse314,828941825,35,0,35,GAS: GAS G1 Rex G12 Echo (501st) G8 Fives ARC Trooper G8
DDC,414812779,34,34,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
DDC,414812779,35,27,8,padme: Padme G12 GK JKA G12 Ahsoka Tano (Snips) C-3PO
DDC,414812779,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
DDC,414812779,23,9,14,Troopers: Veers G12 Piett Starck G11 Dark Trooper Range Trooper G11
DDC,414812779,27,27,0,CLS: CLS Han Chewbacca Chewpio R2-D2
DDC,414812779,23,23,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
DDC,414812779,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
DDC,414812779,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 4* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Tralax,165219216,12,12,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Tralax,165219216,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Tralax,165219216,24,24,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Tralax,165219216,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Tralax,165219216,15,8,7,Grievous Omicron: GG G9 B2 B1 MagnaGuard Droideka
