Player,Ally Code,Current Gear Needed,Team
Reese,287575889,1,L0 BH: Boba Jango Cad The Mandalorian 4* Greedo
Reese,287575889,1,L0 Carth: Carth Onasi Mission Zaalbar Canderous G7 T3-M4 5*
ono,581795111,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
ono,581795111,1,L0 BH: Boba Jango Cad The Mandalorian 4* Greedo
ono,581795111,5,L0 Jawas: Nebit Jawa Engineer 5* Jawa Scavenger Dathcha G6 Jawa G5
Plagueia,639867819,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Plagueia,639867819,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
DarthKrillin,143828918,4,L2 Old Republic: JKR BS Jolee G12 Mission Zaalbar G12
DarthKrillin,143828918,1,L0 BH: Boba Jango Cad G7 The Mandalorian Greedo
CT5555,331117965,5,L1 Old Republic: JKR BS G11 Jolee G11 Mission G10 Zaalbar G11
CT5555,331117965,1,L0 BH: Boba Jango Cad G7 The Mandalorian Greedo
Bail Writte,659541326,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Emeraldgemini,197711887,10,L1 Old Republic: JKR BS G11 Jolee G10 Mission G8 Zaalbar G9
Emeraldgemini,197711887,3,L1 BH: Boba Jango G9 Cad The Mandalorian Greedo
Emeraldgemini,197711887,3,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior URoRRuR'R'R G6 5*
Myname,957385363,6,L0 BH: Boba Jango G2 Cad The Mandalorian Greedo
Myname,957385363,30,L0 Jawas: Nebit G1 Jawa Engineer G1 Jawa Scavenger G1 Dathcha G1 Jawa G6
Nick Steele,279647222,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Nick Steele,279647222,14,L1 Jawas: Nebit G9 Jawa Engineer G9 Jawa Scavenger G10 Dathcha G9 Jawa G9
Nick Steele,279647222,2,L0 BH: Boba Jango Cad G6 The Mandalorian Greedo
ridingred,273374852,7,L5 Old Republic: JKR BS R5 Jolee R6 Mission R5 Zaalbar R5
ridingred,273374852,4,L1 BH: Boba Jango Cad The Mandalorian G8 5* Greedo
Nedlog Nayr,975919535,16,L1 Old Republic: JKR G9 BS G11 Jolee G8 Mission G8 Zaalbar G8
Nedlog Nayr,975919535,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Nedlog Nayr,975919535,4,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa
Mol Eliza,982474393,5,L1 BH: Boba Jango G9 Cad The Mandalorian Greedo G10
Mol Eliza,982474393,1,L0 Old Republic: JKR G7 BS Jolee Mission Zaalbar
Zhil Axfow,527857189,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
Zhil Axfow,527857189,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
Zhil Axfow,527857189,2,L0 Jawas: Nebit Jawa Engineer 4* Jawa Scavenger G7 Dathcha Jawa G7 4*
Puke Clodhopper,138652831,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Puke Clodhopper,138652831,6,L2 BH: Boba G12 Jango G12 Cad G12 The Mandalorian Embo
Puke Clodhopper,138652831,9,L0 Jawas: Nebit Jawa Engineer G1 Jawa Scavenger G7 Dathcha G7 Jawa
Jerelimas,358454728,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Jerelimas,358454728,15,L1 Jawas: Nebit G9 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa G10
obi 1 ish,279813349,9,L1 Old Republic: JKR BS G11 Jolee G11 Mission G8 Zaalbar G9
obi 1 ish,279813349,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
obi 1 ish,279813349,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 4*
SharpChaos,947247942,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
SharpChaos,947247942,4,L2 BH: Boba G12 Jango Cad The Mandalorian Greedo G12
SharpChaos,947247942,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
OldManDan,679213617,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
OldManDan,679213617,7,L1 BH: Boba Jango Cad G9 The Mandalorian Greedo G8
OldManDan,679213617,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7 4*
Bearsidious,656738727,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
Bearsidious,656738727,2,L1 BH: Boba Jango Cad The Mandalorian G11 Greedo G11
Bearsidious,656738727,11,L1 Jawas: Nebit G8 Jawa Engineer G11 Jawa Scavenger G8 Dathcha G11 Jawa G11
Bearsidious,656738727,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Fishtenors,165252752,4,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G10
Fishtenors,165252752,6,L1 BH: Boba Jango G10 Cad The Mandalorian G8 Greedo
Fishtenors,165252752,9,L1 Jawas: Nebit G9 Jawa Engineer G10 Jawa Scavenger G9 Dathcha G11 Jawa
Fishtenors,165252752,14,L1 Tuskens: Tusken Chieftain G9 Tusken Raider G9 Tusken Shaman G9 Tusken Warrior G9 URoRRuR'R'R G10
