Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nedlog Nayr,975919535,12,2,10,Shaak Ti: Shaak Ti R2 Rex R2 Echo (501st) R1 ARC Trooper G11 Fives R2
Zhil Axfow,527857189,0,0,0,JKL: JKL HYoda GMY JKR GK
Zhil Axfow,527857189,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zhil Axfow,527857189,5,1,4,GAS Special: GAS G12 Ahsoka
Zhil Axfow,527857189,7,0,7,ROLO: ROLO Cpt Solo Leia Baze G9 Lando
obi 1 ish,279813349,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
obi 1 ish,279813349,9,2,7,GAS Special: GAS G9 Ahsoka
obi 1 ish,279813349,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
obi 1 ish,279813349,6,0,6,JKL: JKL HYoda GMY JKR R2 Jolee G11
Mol Eliza,982474393,1,0,1,Finn: Finn RT RH Finn RH Poe Poe
Fishtenors,165252752,0,0,0,JKL: JKL HYoda GMY JKR GK
Fishtenors,165252752,1,0,1,Finn: Finn RT RH Finn RH Poe Poe
Fishtenors,165252752,11,0,11,GAS Special: GAS G9 Ahsoka G12
Fishtenors,165252752,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
DarthKrillin,143828918,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
Bearsidious,656738727,18,1,17,ROLO: ROLO G11 Cpt Solo G12 Leia G12 CLS R2-D2 G12
Puke Clodhopper,138652831,8,8,0,GAS Special: GAS Ahsoka
Puke Clodhopper,138652831,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Puke Clodhopper,138652831,0,0,0,JKL: JKL HYoda JMLS JKR GK
SharpChaos,947247942,0,0,0,GAS Special: GAS Ahsoka
SharpChaos,947247942,0,0,0,JKL: JKL HYoda GMY Jolee GK
SharpChaos,947247942,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
SharpChaos,947247942,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
SharpChaos,947247942,4,3,1,ROLO: ROLO Cpt Solo Han CLS Lando
Reese,287575889,19,4,15,Finn: Finn RT RH Finn G7 5* RH Poe G10 5* JTR
