Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
OldManDan,679213617,60,28,32,84395,Shaak Ti R4 Fives G11 Rex G12 Echo (501st) G8 ARC Trooper G10
CT5555,331117965,35,0,35,87544,Shaak Ti G9 4* Fives G11 Rex G12 Echo (501st) G12 ARC Trooper G11
ridingred,273374852,74,0,74,20780,Shaak Ti G5 5* Fives G5 Rex G5 Echo (501st) G1 5* ARC Trooper G0 0*
Nick Steele,279647222,68,35,33,83168,Shaak Ti R1 Fives G11 Rex G11 Echo (501st) G11 ARC Trooper G10
DarthKrillin,143828918,64,11,53,68858,Shaak Ti G9 Fives G10 Rex G8 Echo (501st) G6 ARC Trooper G4
Puke Clodhopper,138652831,49,9,40,85073,Shaak Ti Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
Jerelimas,358454728,25,0,25,100725,Shaak Ti G0 0* Fives Rex Echo (501st) R4 ARC Trooper G12
Fishtenors,165252752,42,1,41,83449,Shaak Ti G12 Fives G9 Rex G11 Echo (501st) G9 ARC Trooper G8
obi 1 ish,279813349,57,5,52,65474,Shaak Ti R1 Fives G11 Rex G12 Echo (501st) G1 ARC Trooper G0 0*
Plagueia,639867819,65,0,65,42369,Shaak Ti G1 5* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Reese,287575889,51,0,51,65077,Shaak Ti G7 Fives G10 Rex G7 Echo (501st) G8 ARC Trooper G7
Bearsidious,656738727,41,0,41,88682,Shaak Ti G11 Fives G12 Rex G8 Echo (501st) G11 ARC Trooper G7
DarthJarJar,724585498,58,0,58,40016,Shaak Ti G0 0* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G7
KeeKongKing,918226134,57,0,57,59896,Shaak Ti G1 4* Fives G12 Rex G12 Echo (501st) G8 ARC Trooper G0 0*
Aikijeki,639728625,79,0,79,19349,Shaak Ti G1 2* Fives G7 Rex G1 Echo (501st) G1 ARC Trooper G1 5*
ono,581795111,39,0,39,72559,Shaak Ti G11 5* Fives G9 Rex G12 Echo (501st) G9 ARC Trooper G10 5*
Emeraldgemini,197711887,51,0,51,48078,Shaak Ti G8 4* Fives G10 Rex G8 Echo (501st) G8 ARC Trooper G5 4*
Bail Writte,659541326,47,0,47,56006,Shaak Ti G7 2* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
Mol Eliza,982474393,52,5,47,53764,Shaak Ti G5 3* Fives G11 Rex G11 Echo (501st) G11 ARC Trooper G5 4*
SharpChaos,947247942,1,0,1,138384,Shaak Ti Fives Rex Echo (501st) ARC Trooper R4
Myname,957385363,60,0,60,45293,Shaak Ti G5 6* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G1
Nedlog Nayr,975919535,22,2,20,115698,Shaak Ti R2 Fives R2 Rex R2 Echo (501st) R1 ARC Trooper G11
Zhil Axfow,527857189,34,0,34,99543,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G8
