Player,Offense,Defense,GP,Name,Squad,Viable
"MajorDisaster17",1,1,121287,SL Kylo,"zzSL Kylo, Sith Trooper, zHux zzKRU Thrawn",1
"MajorDisaster17",0,1,116814,BH,"zBossk Greef Jango Boba Cad",1
"MajorDisaster17",1,1,116664,zEP,"zzEP zzVader Tarkin Dooku zMara Jade, The Emperor's Hand",1
"MajorDisaster17",0,1,97116,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"MajorDisaster17",1,0,89188,Wiggs,"Wedge Biggs CLS Chewbacca Leia",1
"MajorDisaster17",,,110306,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"MajorDisaster17",,,98671,Grievous Omicron,"GG 5* B2 B1 MagnaGuard Droideka",0
"MajorDisaster17",0,1,87352,padme,"Padme zGK JKA zAhsoka Fives 5* G8",0
"MajorDisaster17",,,294584,Negotiator,"Negotiator 5* HT Anakin's Eta-2 3*, Umbaran SF 5*, Ahsoka's SF, BTL-B Y-wing 2*, Clone Sergeant's ARC-170 5*, Plo's SF",0
"MajorDisaster17",0,1,84553,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"MajorDisaster17",1,1,79376,JTR,"JTR G8, R2-D2 BB-8 RH Finn, RH Poe",0
"MajorDisaster17",,,455877,Raddus,"Raddus 4* Sun Fac SF 5*, Rey's Millennium Falcon, Poe Dameron's X-wing, Resistance X-wing, Biggs X-wing, Wedge X-wing, Phantom Ghost",0
"MajorDisaster17",1,1,49019,NS_Alt,"MT 5* G8, AV Spirit 5* G8, Daka 5* G8, Talia 6* G8",0
"MajorDisaster17",1,1,101228,Ewoks,"Chirpa Elder Paploo Wicket Logray",0
"MajorDisaster17",,,43182,Iden Troopers,"Iden Versio 5*, Shoretrooper 5* G8, Snowtrooper G9, Magma G7, DT 5* G8",0
"MajorDisaster17",1,0,54021,Troopers,"zVeers 6* G9, Starck 5* G9, Dark Trooper 3* G9, zPiett 6* Gideon 5*",0
"MajorDisaster17",1,1,33713,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 5* G8, K-2SO 5* G8",0
"Striker",,,118788,Nute-OR,"zNute zDooku Jango zZaalbar zMission",1
"Striker",1,1,131112,Revan,"zzzJKR zBS zzGMY zJolee GK",1
"Striker",1,1,104449,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Striker",1,1,98610,zEP,"zEP zzVader Tarkin zBSF Traya G9",1
"Striker",0,1,83666,Phoenix,"Hera Ezra Kanan Zeb G9, Sabine",1
"Striker",,,61861,Phasma,"Phasma FOTP G8, FOSFTP G9, FOST 5* G7, Kylo G8",0
"Striker",,,72446,Grievous Omicron,"GG B2 B1 G7, MagnaGuard Droideka 3*",0
"Striker",1,1,79136,JTR,"JTR G7, Scav Rey, BB-8 R2-D2 Finn",0
"Striker",1,1,74451,NS_Alt,"MT 6* G7, zzAV Spirit G7, Daka G8, Talia G9",0
"Striker",1,0,90731,CLS,"zzzCLS zHan Chewbacca G8, Leia C-3PO G7",0
"Striker",0,1,114254,BH,"Bossk 3* zGreedo zBoba Cad zzThe Mandalorian",0
"Striker",1,0,68252,501st,"Rex G7, Clone Sergeant, Echo (501st) G7, Fives G8, zAhsoka",0
"Striker",1,0,75256,Troopers,"Veers 6* G9, Starck Snowtrooper Stormtrooper Gideon",0
"Striker",1,0,40254,Jawas,"Nebit G7, Jawa Engineer G7, Jawa Scavenger G7, Jawa 6* G7, Dathcha G8",0
"Luthorno",1,0,131479,CLS,"zzzCLS zHan zChewbacca zC-3PO zChewpio",1
"Luthorno",0,1,95537,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Luthorno",1,1,107029,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Luthorno",0,1,96173,BH,"zBossk zBoba Boushh (Leia Organa), Cad The Mandalorian",1
"Luthorno",1,1,117913,zEP,"zzEP zzVader Tarkin TFP G8, Sith Trooper",1
"Luthorno",0,1,132873,FO,"zzKRU zKylo FOST FOE zHux",1
"Luthorno",,,85346,Iden Troopers,"zIden Versio 6*, Stormtrooper Snowtrooper Magma DT",1
"Luthorno",0,1,103825,Phoenix,"Hera zEzra zKanan Zeb zSabine",1
"Luthorno",1,0,13881,SionSolo (Counter),"Sion G8",1
"Luthorno",0,1,106341,padme,"zzPadme zGK JKA zAhsoka Barriss",0
"Luthorno",1,1,122714,JTR,"zzJTR R2-D2 BB-8 zRH Finn, RH Poe",0
"Luthorno",1,1,54490,NS_Alt,"MT 4* G8, AV G9, Daka G9, Talia 6* G6, Merrin 5* G7",0
