Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Lillyanna",938276726,3,8211152,4905894,3305258,148,74,105,456,2787946,2109415,133,11,535,2,276,81,112,156,173,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,21,11,10
"natebzta",994951475,-4,4962030,2884756,2077274,138,98,119,471,1659347,1224733,55,6,246,0,197,29,66,119,124,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,13,9,6
"HannibalHunter",669271694,-5,5476888,3082704,2394184,128,-8,68,469,1690699,1390484,47,7,332,1,187,43,82,109,120,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,10,5,6
"Erotavlas",187715758,-4,5771966,3359618,2412348,139,129,67,458,1957464,1400248,71,10,358,0,221,54,88,105,110,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,7,5
"DarthHoratius",899145955,-5,5175432,2978199,2197233,135,-48,92,496,1604693,1372830,47,7,334,1,184,46,79,111,118,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,9,7,5
"GamingChips",958661216,-6,5573322,3290769,2282553,144,-20,72,385,1796271,1494498,119,1,273,3,213,37,55,105,119,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,14,8,7
"DarthGutty",357188912,-6,7451776,4408289,3043487,144,118,64,490,2556677,1848953,111,11,483,2,238,64,114,155,160,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,23,13,11
"Aaron Shepard",139357628,-5,5108259,2889382,2218877,130,179,29,425,1719337,1169031,46,3,282,0,196,39,67,94,103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,8,6
"Kapwing",246698169,-7,3368669,1901699,1466970,129,-16,76,138,1039840,861859,25,1,14,0,157,0,5,39,63,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4
"Obi1ablowme",421142431,-4,6109340,3443731,2665609,129,4,180,493,1900720,1542335,55,6,426,2,197,55,95,121,134,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,14,8,8
