Player,Ally Code,Current Gear Needed,Team
Drew Rosario,781788419,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
PolyPlayz,583664121,2,L1 BH: Boba Jango Cad The Mandalorian Greedo G10
KeenAsChilli,637323937,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
KeenAsChilli,637323937,2,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar G7
DarthGutty,357188912,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
DarthGutty,357188912,8,L2 BH: Boba G12 Jango G12 Cad G12 The Mandalorian Greedo G12
DarthGutty,357188912,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
DarthGutty,357188912,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R 5*
GamingChips,958661216,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
TanoKun,948551839,3,L1 Old Republic: JKR BS Jolee Mission Zaalbar G9
TanoKun,948551839,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 5*
Starkiller1670,617241466,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Kapwing,246698169,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Kapwing,246698169,1,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo
Erotavlas,187715758,4,L2 BH: Boba Jango Cad G12 The Mandalorian Greedo G12
Erotavlas,187715758,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
HannibalHunter,669271694,6,L1 Old Republic: JKR BS Jolee G10 Mission G8 Zaalbar
HannibalHunter,669271694,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 5*
BillyMays,855746741,3,L3 Old Republic: JKR BS R2 Jolee R2 Mission R2 Zaalbar
BillyMays,855746741,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
R3van,463489895,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
R3van,463489895,2,L2 Old Republic: JKR BS Jolee Juhani G12 50R-T
R3van,463489895,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G7 Armorer 6*
R3van,463489895,17,L0 Jawas: Nebit G5 Jawa Engineer G4 Jawa Scavenger G5 Dathcha G4 Jawa G5
Darkf1end,214541968,1,L0 Carth: Carth Onasi G7 4* Mission 4* Zaalbar 4* Canderous T3-M4 4*
Obi1ablowme,421142431,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Obi1ablowme,421142431,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Killest the Illest,626428578,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
BigPeePee420,626631739,2,L1 BH: Boba Jango Cad The Mandalorian Greedo G10
Aaron Shepard,139357628,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Aaron Shepard,139357628,1,L0 Carth: Carth Onasi Mission 6* Zaalbar G7 6* Canderous T3-M4
Subie,979894859,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Subie,979894859,2,L1 BH: Boba Jango Cad G11 The Mandalorian Greedo G11
SHaDoWS,566851794,4,L1 Old Republic: JKR BS G11 Jolee G11 Mission Zaalbar G10
SHaDoWS,566851794,1,L0 BH: Boba Jango Cad The Mandalorian Greedo G7
Th0mas,228481223,5,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo G8 5*
TC Lincoln,815464287,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
TC Lincoln,815464287,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
TC Lincoln,815464287,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
TC Lincoln,815464287,4,L4 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman R4 Tusken Warrior R3 URoRRuR'R'R R4
TC Lincoln,815464287,1,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G11 Jawa
Biscuit Tormentor,673773292,2,L1 Old Republic: JKR BS G11 Jolee G11 Mission Zaalbar
Biscuit Tormentor,673773292,4,L0 BH: Boba Jango Cad The Mandalorian Greedo G4
Mayonnaise,311959482,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Mayonnaise,311959482,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Mayonnaise,311959482,4,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7
Walan Lamor,181994418,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Walan Lamor,181994418,4,L2 BH: Boba Jango Cad G12 The Mandalorian Greedo G12
Walan Lamor,181994418,2,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger Dathcha Jawa G7
Walan Lamor,181994418,3,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior 2* URoRRuR'R'R 5*
natebzta,994951475,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
MajorDisaster17,157551217,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 5*
Descending,121358638,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
pears,611344632,5,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo G8 5*
pears,611344632,5,L0 Old Republic: JKR BS Jolee Mission G5 Zaalbar G6
Jedicello,756852592,4,L2 Old Republic: JKR BS Jolee G12 Mission Zaalbar G12
Striker,274722957,1,L3 Old Republic: JKR BS Jolee Mission R2 Zaalbar
Striker,274722957,2,L2 BH: Boba Jango G12 Cad The Mandalorian Greedo
Striker,274722957,4,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa G7 6*
Lillyanna,938276726,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Lillyanna,938276726,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Lillyanna,938276726,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Lillyanna,938276726,2,L2 Jawas: Nebit Jawa Engineer Jawa Scavenger G12 Dathcha Jawa
Lillyanna,938276726,3,L1 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior G9 URoRRuR'R'R
PorkinsRevenge,459557358,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
