Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Descending,121358638,5,5,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Descending,121358638,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Descending,121358638,9,0,9,GAS Special: GAS G7 5* Ahsoka Tano (Snips)
Descending,121358638,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
KeenAsChilli,637323937,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
KeenAsChilli,637323937,9,0,9,GAS Special: GAS G7 6* Ahsoka Tano (Snips)
KeenAsChilli,637323937,1,0,1,ROLO: ROLO Cpt Solo Leia CLS Lando
Jubal Earley,985579741,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Jubal Earley,985579741,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Jubal Earley,985579741,0,0,0,JKL: JKL HYoda GMY JKR GK
Jubal Earley,985579741,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Jubal Earley,985579741,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Drederic,823148397,0,0,0,JKL: JKL HYoda GMY Jolee GK
Drederic,823148397,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Drederic,823148397,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Drederic,823148397,3,0,3,GAS Special: GAS G13 Ahsoka Tano (Snips)
Drederic,823148397,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
DarthGutty,357188912,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
DarthGutty,357188912,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthGutty,357188912,8,8,0,JKL: JKL HYoda GMY Jolee GK
DarthGutty,357188912,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
DarthGutty,357188912,17,9,8,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper R1 Fives R1
Striker,274722957,18,0,18,ROLO: ROLO G9 Chirrut G9 Han CLS R2-D2 G12
RexBlade,297546182,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
RexBlade,297546182,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
RexBlade,297546182,2,0,2,GAS Special: GAS R1 Ahsoka Tano (Snips)
RexBlade,297546182,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
RexBlade,297546182,13,0,13,JKL: JKL G7 HYoda GMY R1 Jolee R1 GK
RexBlade,297546182,12,0,12,Shaak Ti: Shaak Ti G13 Rex R1 Echo (501st) R1 ARC Trooper G13 Fives R1
Biscuit Tormentor,673773292,19,1,18,CLS: CLS G12 Han Chewbacca G12 Chewpio G10 C-3PO G12
MajorDisaster17,157551217,1,0,1,Finn: Finn RT RH Finn RH Poe Vet Han
PorkinsRevenge,459557358,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
PorkinsRevenge,459557358,1,0,1,ROLO: ROLO Cpt Solo Leia CLS R2 Lando
natebzta,994951475,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
natebzta,994951475,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
natebzta,994951475,9,5,4,GAS Special: GAS G12 Ahsoka Tano (Snips)
natebzta,994951475,14,4,10,JKL: JKL R1 HYoda GMY G12 Jolee G12 GK
natebzta,994951475,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Erotavlas,187715758,6,6,0,GAS Special: GAS Ahsoka Tano (Snips)
Erotavlas,187715758,11,11,0,ROLO: ROLO Cpt Solo Leia Chewpio Lando
Erotavlas,187715758,1,0,1,Finn: Finn RT RH Finn RH Poe Vet Han
Erotavlas,187715758,7,3,4,JKL: JKL G12 HYoda GMY Jolee GK
Erotavlas,187715758,16,8,8,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper R1 Fives R1
Subie,979894859,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Subie,979894859,1,0,1,Finn: Finn RT RH Finn RH Poe Vet Han
Subie,979894859,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
Subie,979894859,12,4,8,JKL: JKL G12 HYoda GMY Jolee G12 GK
