Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Lillyanna,938276726,19,19,0,142270,Padme JKA Ahsoka GK GMY
Omega99,394524611,84,28,56,39278,Padme G0 0* JKA G9 5* Ahsoka G8 GK G8 6* GMY G9 5*
Vegas Vic,151842775,72,35,37,81303,Padme G8 JKA G11 Ahsoka G12 GK G6 GMY R3
Erotavlas,187715758,62,38,24,99899,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY
GeneralMarkus,789995519,60,24,36,80922,Padme G10 6* JKA G12 Ahsoka G12 GK G8 GMY G12
GamingChips,958661216,35,20,15,120540,Padme G12 JKA Ahsoka R3 GK R4 GMY G12
DarthGutty,357188912,25,21,4,131286,Padme JKA R3 Ahsoka R3 GK GMY
Ethan Geilvta,671426777,62,11,51,52494,Padme G0 0* JKA G9 5* Ahsoka G8 GK G8 GMY R1
FinalKryptonian,144826213,71,6,65,26931,Padme G0 0* JKA G6 6* Ahsoka G6 GK G6 6* GMY G7
extra hihi,327242484,81,11,70,16212,Padme G0 0* JKA G8 Ahsoka G5 3* GK G6 5* GMY G1 5*
DarthHoratius,899145955,84,28,56,51939,Padme G0 0* JKA G12 Ahsoka G9 GK G1 5* GMY G12
TheRobertEquation,477473882,77,45,32,86603,Padme G12 JKA G11 Ahsoka G12 GK G11 GMY G12
Porg,325919928,27,5,22,112616,Padme G8 6* JKA G12 Ahsoka GK G12 GMY
TK4811,319498394,58,1,57,43240,Padme G0 0* JKA G6 5* Ahsoka G8 GK G8 6* GMY G11
RedEyeJedi,449715953,48,14,34,81876,Padme G3 5* JKA G12 Ahsoka GK G11 6* GMY G12
Tronibrall,177621662,58,0,58,33687,Padme G8 6* JKA G8 5* Ahsoka G7 GK G0 0* GMY G9
HannibalHunter,669271694,63,13,50,55266,Padme G0 0* JKA G12 Ahsoka G12 GK G4 5* GMY G12
Coolman6456,568778898,59,1,58,45900,Padme G2 5* JKA G1 2* Ahsoka G8 GK G9 GMY G12
TCLincoln,193327199,1,0,1,135740,Padme JKA Ahsoka R4 GK GMY
natebzta,994951475,63,11,52,57105,Padme G8 JKA G1 5* Ahsoka G10 GK G7 GMY G12
jackk123,995865924,83,1,82,4061,Padme G0 0* JKA G1 1* Ahsoka G6 3* GK G0 0* GMY G1 5*
Mfdvisualgerm,748117691,68,12,56,42522,Padme G0 0* JKA G8 6* Ahsoka G11 GK G3 5* GMY G12
Illiad,635977593,38,1,37,86754,Padme G10 JKA G1 4* Ahsoka G7 GK GMY R4
Mightyone,258922997,67,2,65,48285,Padme G0 0* JKA G6 Ahsoka G8 GK G0 0* GMY G11
Cylo Jr,942814391,76,8,68,31807,Padme G1 JKA G8 Ahsoka G8 GK G1 5* GMY G4
ShogiBeast,232314461,69,3,66,34350,Padme G0 0* JKA G12 Ahsoka G10 GK G1 5* GMY G1
Obi1ablowme,421142431,44,3,41,82931,Padme G12 JKA G12 Ahsoka G12 GK G1 5* GMY G12
MeowMeow,258365793,55,6,49,59469,Padme G0 0* JKA G11 6* Ahsoka G12 GK G12 GMY G6 6*
sparky8099,977261125,48,8,40,72471,Padme G10 JKA G11 5* Ahsoka G7 GK G11 GMY G11
Striker,274722957,54,0,54,56685,Padme G0 0* JKA G5 5* Ahsoka G12 GK G1 GMY
Typical,564585493,62,0,62,38938,Padme G0 0* JKA G3 2* Ahsoka G8 GK G8 GMY G9
Tuftydragon,218965475,76,9,67,19188,Padme G0 0* JKA G3 2* Ahsoka G4 5* GK G8 6* GMY G8 5*
CameronForte,818853823,56,0,56,40706,Padme G0 0* JKA G8 5* Ahsoka G11 GK G6 GMY G9
SkinnyWarriorX01,692882845,46,0,46,53187,Padme G8 6* JKA G8 5* Ahsoka G12 GK G8 5* GMY G8
Kapwing,246698169,69,0,69,27636,Padme G0 0* JKA G3 4* Ahsoka G8 GK G0 0* GMY G10
Devin,333273848,52,6,46,51419,Padme G7 5* JKA G8 6* Ahsoka G11 GK G6 5* GMY G12
Blankinside,227643771,63,4,59,32323,Padme G6 6* JKA G5 2* Ahsoka G8 GK G5 6* GMY G7
ColaKikgBeast,387778898,65,0,65,26188,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G9
JackTheHutt,223769287,43,0,43,60452,Padme G1 6* JKA G12 Ahsoka G8 6* GK G8 6* GMY
Knights of Ren,264553895,74,0,74,20036,Padme G0 0* JKA G8 4* Ahsoka G2 GK G0 0* GMY G6
gingervictus,818367247,61,1,60,42261,Padme G0 0* JKA G8 5* Ahsoka G11 GK G0 0* GMY G11
GDWordle,796544668,32,0,32,95139,Padme R3 JKA G11 5* Ahsoka G12 GK G7 GMY G12
Mayonnaise,311959482,14,0,14,124816,Padme R3 JKA G12 Ahsoka G12 GK GMY
ShMuT,935548855,72,0,72,12947,Padme G0 0* JKA G5 1* Ahsoka G4 3* GK G0 0* GMY G9 5*
Decypted,462539652,73,0,73,14685,Padme G0 0* JKA G8 5* Ahsoka G8 5* GK G0 0* GMY G1 5*
Xarth,984792789,3,1,2,130919,Padme JKA Ahsoka R4 GK R4 GMY
murkywarf,552923342,48,0,48,49297,Padme G8 JKA G8 5* Ahsoka G9 GK G7 6* GMY G10
Razak,521844241,78,16,62,36280,Padme G6 JKA G1 2* Ahsoka G11 GK G6 5* GMY G4
DarthSutfol,441199375,54,0,54,57574,Padme G8 6* JKA G8 Ahsoka G8 GK G0 0* GMY G12
Valerian,836492571,59,0,59,38387,Padme G6 6* JKA G8 6* Ahsoka G8 GK G0 0* GMY G9
