Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Coktus,468236797,20,1,19,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Shoretrooper G8 5*
Coktus,468236797,17,12,5,CLS: CLS R4 C-3PO Han Chewbacca R3 Chewpio R3
MajorDisaster17,157551217,28,10,18,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G10 Shoretrooper G8 5*
Obi1ablowme,421142431,13,12,1,CLS: CLS C-3PO R4 Han Chewbacca Chewpio
Obi1ablowme,421142431,13,6,7,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R4
Obi1ablowme,421142431,24,0,24,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Starck G12
Jedicello,756852592,33,10,23,EP: EP Mara Jade, The Emperor's Hand G5 3* Vader Thrawn G8 Malak
GamingChips,958661216,21,15,6,JMLS: JMLS JKL JKR GMY G12 HYoda
GamingChips,958661216,18,16,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
DarthGutty,357188912,26,26,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarthGutty,357188912,31,29,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak
DarthGutty,357188912,30,6,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
DarthGutty,357188912,46,31,15,Troopers: Veers R3 Piett R4 Dark Trooper R1 Range Trooper R1 Gideon R1
ChaosNCarnage05,298415629,43,26,17,Padme/BB: Padme Hunter Echo Tech G10 Wrecker G9
ColeMiner,544333955,20,0,20,EP: EP G12 Mara Jade, The Emperor's Hand R4 Vader Thrawn G12 RG G11
ColeMiner,544333955,18,0,18,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R3 Chewpio G12
ColeMiner,544333955,34,0,34,Troopers: Veers G12 Piett G12 Dark Trooper G9 Range Trooper G11 6* Starck G12
Th0mas,228481223,24,13,11,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG G7 6*
The Chosen One,257699863,46,25,21,CLS: CLS C-3PO G11 Han G12 Chewbacca G10 Chewpio
KeenAsChilli,637323937,10,0,10,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Shoretrooper G8 5*
Darkf1end,214541968,16,4,12,EP: EP Mara Jade, The Emperor's Hand G8 3* Vader Thrawn RG R3
Darkf1end,214541968,45,28,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Darkf1end,214541968,48,3,45,CLS: CLS G7 C-3PO G8 Han G12 Chewbacca G11 5* Chewpio G7 4*
sk3tChY21,947945322,6,0,6,JMLS: JMLS JKL JKR GMY G12 HYoda
sk3tChY21,947945322,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
sk3tChY21,947945322,24,0,24,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader R4 Thrawn G11 Malak G12
sk3tChY21,947945322,19,0,19,Troopers: Veers Piett G10 5* Dark Trooper G11 6* Range Trooper R3 Starck R3
sk3tChY21,947945322,49,0,49,Padme/BB: Padme G12 Hunter G7 3* Echo G7 4* Tech G8 4* Wrecker G7 5*
swiltywood,291532295,37,12,25,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Gideon G11
Mayonnaise,311959482,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
Mayonnaise,311959482,33,33,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Mayonnaise,311959482,25,13,12,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak G12
Luthorno,971818684,27,2,25,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn G12 RG G6
Luthorno,971818684,7,1,6,CLS: CLS R4 C-3PO R3 Han R4 Chewbacca R4 Chewpio R4
Aaron Shepard,139357628,30,28,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
Aaron Shepard,139357628,30,12,18,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn G12 RG G8
DarkJedi83,712886732,31,31,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarkJedi83,712886732,26,8,18,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 RG G6
Descending,121358638,10,10,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Descending,121358638,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Descending,121358638,36,28,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Misfit,881692772,24,24,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Misfit,881692772,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Misfit,881692772,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R3
Misfit,881692772,12,8,4,Troopers: Veers Piett Dark Trooper R3 Range Trooper R3 Gideon
natebzta,994951475,16,10,6,CLS: CLS R3 C-3PO Han R3 Chewbacca Chewpio R3
natebzta,994951475,26,5,21,EP: EP G12 Mara Jade, The Emperor's Hand R1 Vader R3 Thrawn G12 Malak R2
Starkiller1670,617241466,36,10,26,EP: EP Mara Jade, The Emperor's Hand G12 Vader R1 Thrawn G12 RG G8
Starkiller1670,617241466,36,6,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Kapwing,246698169,30,1,29,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader R3 Thrawn G12 Malak G9
Kapwing,246698169,34,7,27,CLS: CLS R3 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11
Dragon,513278383,23,1,22,EP: EP R3 Mara Jade, The Emperor's Hand Vader Thrawn G8 Shoretrooper G8 5*
N8erade,186425344,8,6,2,Padme/BB: Padme R3 Hunter Echo Tech Wrecker
N8erade,186425344,43,0,43,CLS: CLS G11 C-3PO G12 Han G9 Chewbacca G10 Chewpio G5
TC Lincoln,815464287,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
TC Lincoln,815464287,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
TC Lincoln,815464287,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
TC Lincoln,815464287,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
TC Lincoln,815464287,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
TC Lincoln,815464287,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
TC Lincoln,815464287,4,0,4,Troopers: Veers R3 Piett Dark Trooper Range Trooper Starck R3
PorkinsRevenge,459557358,38,22,16,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Shoretrooper G8
PorkinsRevenge,459557358,48,7,41,CLS: CLS R2 C-3PO G11 Han G9 Chewbacca G9 Chewpio G5 6*
PorkinsRevenge,459557358,45,2,43,Troopers: Veers G10 Piett G8 6* Dark Trooper G9 4* Range Trooper G9 4* Gideon G11
PorkinsRevenge,459557358,49,0,49,Padme/BB: Padme G12 Hunter G7 6* Echo G6 6* Tech G9 Wrecker G7 6*
ANAKlN,155651172,21,2,19,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G8 Malak G9 6*
ANAKlN,155651172,22,3,19,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R3 Chewpio G11 6*
HannibalHunter,669271694,42,11,31,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader R1 Thrawn G9 Shoretrooper G10
HannibalHunter,669271694,40,13,27,Troopers: Veers R1 Piett Dark Trooper G7 6* Range Trooper G12 Starck G12
HannibalHunter,669271694,35,21,14,CLS: CLS R3 C-3PO G12 Han R3 Chewbacca R3 Chewpio R3
PolyPlayz,583664121,46,34,12,CLS: CLS G12 C-3PO Han Chewbacca Chewpio G12
Killest the Illest,626428578,14,8,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Killest the Illest,626428578,43,3,40,CLS: CLS G12 C-3PO G12 Han G9 Chewbacca G9 Chewpio G8 3*
Killest the Illest,626428578,44,2,42,Troopers: Veers G9 6* Piett G8 5* Dark Trooper G9 6* Range Trooper G12 Gideon G10
Lillyanna,938276726,6,6,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Lillyanna,938276726,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Lillyanna,938276726,27,21,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Lillyanna,938276726,48,9,39,Padme/BB: Padme Hunter G9 Echo G8 Tech G8 Wrecker G8
Lillyanna,938276726,50,13,37,Troopers: Veers G12 Piett G10 Dark Trooper G7 Range Trooper G12 Gideon G12
Cbrn121,114375994,34,28,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Cbrn121,114375994,44,11,33,Troopers: Veers G10 Piett Dark Trooper G9 Range Trooper G11 Gideon G9
Cbrn121,114375994,49,15,34,CLS: CLS G12 C-3PO G12 Han G11 Chewbacca G10 Chewpio G11
