Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Lillyanna,938276726,44,5,39,83035,Shaak Ti R2 Fives G9 Rex G10 Echo (501st) G9 ARC Trooper G8
natebzta,994951475,79,49,30,87402,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
DarthHoratius,899145955,90,4,86,3718,Shaak Ti G1 4* Fives G1 4* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
GamingChips,958661216,50,20,30,106703,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
HannibalHunter,669271694,66,6,60,36673,Shaak Ti G1 2* Fives G9 Rex G12 Echo (501st) G8 5* ARC Trooper G0 0*
Erotavlas,187715758,66,42,24,98637,Shaak Ti R3 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G12
DarthGutty,357188912,54,36,18,101450,Shaak Ti R3 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Aaron Shepard,139357628,83,22,61,40037,Shaak Ti G1 6* Fives G8 Rex G11 Echo (501st) G9 ARC Trooper G0 0*
Kapwing,246698169,84,38,46,65635,Shaak Ti G11 6* Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
PolyPlayz,583664121,89,18,71,34315,Shaak Ti G6 Fives G11 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Obi1ablowme,421142431,54,10,44,71933,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G1 4*
Striker,274722957,77,26,51,47854,Shaak Ti G8 6* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G7 4*
Mayonnaise,311959482,35,25,10,123775,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Jedicello,756852592,57,1,56,44083,Shaak Ti G1 2* Fives G9 Rex G9 Echo (501st) G8 ARC Trooper G7
Walan Lamor,181994418,26,3,23,113411,Shaak Ti G12 Fives R2 Rex R3 Echo (501st) G12 ARC Trooper G12
TanoKun,948551839,66,13,53,47659,Shaak Ti G8 Fives G10 Rex G11 Echo (501st) G8 5* ARC Trooper G0 0*
Dragon,513278383,66,24,42,59639,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Paras,818954738,38,6,32,97900,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G10 ARC Trooper G12
Biscuit Tormentor,673773292,42,3,39,86383,Shaak Ti G11 Fives G12 Rex R3 Echo (501st) G11 ARC Trooper G1
DarkJedi83,712886732,66,24,42,61499,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
ANAKlN,155651172,66,32,34,73393,Shaak Ti Fives R3 Rex G9 Echo (501st) G8 ARC Trooper G5 4*
BillyMays,855746741,73,33,40,65871,Shaak Ti R3 Fives R3 Rex G9 Echo (501st) G5 ARC Trooper G4
Shazaam,511784692,59,47,12,100820,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) G12 ARC Trooper
PorkinsRevenge,459557358,66,27,39,68299,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G3
TC Lincoln,815464287,0,0,0,160447,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Darkf1end,214541968,54,7,47,65237,Shaak Ti G7 3* Fives G9 Rex G9 Echo (501st) G9 ARC Trooper G9
KeenAsChilli,637323937,51,16,35,72727,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G7 5*
Killest the Illest,626428578,38,8,30,99297,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Th0mas,228481223,66,32,34,80012,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) G8 ARC Trooper G0 0*
Coktus,468236797,65,23,42,59635,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 6* ARC Trooper G0 0*
The Chosen One,257699863,66,24,42,59753,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 6* ARC Trooper G0 0*
Draco73,568787334,63,33,30,82630,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) G11 ARC Trooper G1 4*
ShadowWolf,961522295,87,3,84,11848,Shaak Ti G1 2* Fives G1 5* Rex G3 Echo (501st) G1 6* ARC Trooper G0 0*
Misfit,881692772,65,34,31,82888,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G8 ARC Trooper G7
swiltywood,291532295,58,1,57,40058,Shaak Ti R3 Fives R3 Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
pears,611344632,16,4,12,114329,Shaak Ti G12 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Cbrn121,114375994,50,20,30,81392,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
