Player,Offense,Defense,GP,Name,Squad,Viable
"Rivem",,,175421,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"Rivem",1,1,164422,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Rivem",,,164625,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Rivem",,,549195,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"Rivem",,,172570,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Rivem",1,0,141675,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Rivem",,,121238,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Rivem",1,1,99132,NS_Alt,"zMT zAV zzMerrin Daka Zombie",1
"Rivem",,,461738,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Rivem",,,302333,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Rivem",0,1,92502,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Rivem",,,389800,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Rivem",1,1,123618,JTR,"zJTR zR2-D2 BB-8 RH Finn, RH Poe",1
"Rivem",1,0,116591,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Rivem",1,0,121771,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Rivem",,,113318,Mon Mothma,"zzMon Mothma, Wedge Lando zCara Dune, Biggs",1
"Rivem",1,1,80812,Ewoks,"zChirpa G9, Elder Paploo Wicket G9, Logray",1
"Rivem",0,1,141015,BH,"zzBossk Jango zBoba Dengar zIG-88",1
"Rivem",1,1,89080,Carth,"zCarth Onasi, zMission Zaalbar Juhani Canderous",1
"Rivem",1,0,105167,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"Rivem",0,1,76328,Phoenix,"Hera Kanan Zeb G9, Sabine G8, zCaptain Rex",1
"Rivem",1,0,117991,zMaul,"zDarth Maul, zDooku zSidious Sith Assassin, zSavage",1
"Rivem",,,118675,Phasma,"Phasma zFOTP FOSFTP FOST Kylo",0
"Rivem",,,61133,Admiral Raddus,"zAdmiral Raddus 4* G8, Cassian G7, Jyn G7, K-2SO G7, Bistan G7",0
"Rivem",,,70794,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper G9, Magma G3, DT",0
"Rivem",,,82298,Mando,"zThe Mandalorian (Beskar Armor) G8, Dash Rendar, Nest G7, IG-11 G9, Kuiil G8",0
"Rivem",,,85001,Bad Batch,"zHunter G9, zEcho G9, zzOmega G9, zTech G9, zWrecker G8",0
"Asinum Malum",,,120155,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
"Asinum Malum",1,1,118604,SL Kylo,"zzSL Kylo, Sith Trooper, zHux zzKRU zThrawn",1
"Asinum Malum",1,1,120591,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Asinum Malum",,,153892,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Asinum Malum",1,0,144361,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Asinum Malum",0,1,105140,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper G9",1
"Asinum Malum",0,1,116805,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca",1
"Asinum Malum",0,1,111898,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Asinum Malum",,,469488,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Asinum Malum",,,400439,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Asinum Malum",1,1,143988,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn, RH Poe",1
"Asinum Malum",0,1,107870,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Asinum Malum",1,0,119463,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Asinum Malum",,,99300,Mon Mothma,"zzMon Mothma, Wedge Hoth Rebel Scout, Pao Biggs",1
"Asinum Malum",1,0,103126,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"Asinum Malum",1,0,116411,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Asinum Malum",0,1,122351,BH,"zzBossk Cad zJango zBoba zDengar",1
"Asinum Malum",1,1,99747,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Asinum Malum",0,1,77816,Phoenix,"Hera G9, zEzra zKanan zZeb G9, Captain Rex G8",1
"Asinum Malum",1,0,87951,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Asinum Malum",1,1,111274,Ewoks,"Chirpa Elder zPaploo zWicket zLogray",0
"Asinum Malum",,,51037,Iden Troopers,"Iden Versio 5* G5, Stormtrooper G8, Snowtrooper G7, Magma G7, DT G7",0
"Asinum Malum",1,1,54836,Rogue1,"Jyn G8, Chirrut G7, Baze 3* G7, K-2SO G8, Cassian G8",0
"Asinum Malum",,,56981,Mando,"The Mandalorian (Beskar Armor) G8, Dash Rendar 4* G7, Nest 5* G7, IG-11 G9, Kuiil G9",0
"Asinum Malum",0,1,121763,BS,"BS zzGMY zJolee zzOld Ben, zzHYoda",0
"Mydixierekt",0,1,121535,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Mydixierekt",0,1,131807,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Mydixierekt",,,124978,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Mydixierekt",1,0,110440,CLS,"zzzCLS zHan zzChewbacca zR2-D2 Chewpio",1
"Mydixierekt",0,1,111973,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Mydixierekt",,,440359,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Mydixierekt",,,381885,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Mydixierekt",1,0,102212,Traya,"zzTraya zzDN Sion zzEP Thrawn G8",1
"Mydixierekt",1,1,110875,Revan Offense,"zzzJKR zGMY HYoda G9, Jolee Ezra",1
"Mydixierekt",1,1,84828,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray",1
"Mydixierekt",0,1,121150,BH,"zzBossk Jango Boba Dengar G8, Greef",1
"Mydixierekt",1,1,95208,Carth,"Carth Onasi, zMission Zaalbar Juhani Canderous",1
"Mydixierekt",0,1,122347,FO,"zzKRU Kylo FOST FOO FOE",1
"Mydixierekt",1,0,104962,Troopers,"zVeers zStarck Shoretrooper zDT Range Trooper",1
"Mydixierekt",0,1,101025,Phoenix,"Hera Kanan Zeb Sabine Chopper",1
"Mydixierekt",1,1,105358,NS,"MT zAV Daka Zombie Spirit",0
"Mydixierekt",,,344195,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter 6*, FOSF TIE Fighter, FO TIE Fighter",0
"Mydixierekt",1,0,99824,ShaakClones,"zzShaak Ti, Rex G8, Echo (501st) G8, Fives Clone Sergeant",0
"StarKiIIer",,,124507,Phasma,"zPhasma FOTP FOSFTP zFOST zKylo",1
"StarKiIIer",1,1,151429,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zKRU zThrawn",1
"StarKiIIer",1,1,164258,GL Rey,"zzzzzzRey zzJTR zBB-8 zRH Poe, zRH Finn",1
"StarKiIIer",0,1,137908,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"StarKiIIer",,,134744,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"StarKiIIer",,,330736,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"StarKiIIer",0,1,112827,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"StarKiIIer",,,419567,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"StarKiIIer",,,489289,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"StarKiIIer",,,440008,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"StarKiIIer",1,1,121535,GAS,"zzzzGAS Rex Echo (501st), Fives ARC Trooper",1
"StarKiIIer",1,1,109958,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"StarKiIIer",0,1,139058,BH,"zzBossk zBoba zDengar Greef zIG-88",1
"StarKiIIer",1,1,137039,zEP,"zzEP zzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"StarKiIIer",1,0,131356,CLS,"zzzCLS zHan Leia zFulcrum zzChewbacca",1
"StarKiIIer",0,1,104687,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"StarKiIIer",1,0,85180,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"StarKiIIer",1,1,105895,NS,"MT AV Daka Zombie Spirit",0
"StarKiIIer",1,0,91358,Troopers,"Veers zzPiett Gideon G9, Dark Trooper, Range Trooper G7",0
"StarKiIIer",,,60319,Iden Troopers,"Iden Versio, Stormtrooper Snowtrooper G8, Magma G8, DT",0
"StarKiIIer",0,1,107090,BH,"Jango Cad The Mandalorian, Zam Greedo",0
"StarKiIIer",1,1,46253,Rogue1,"Jyn G8, Chirrut G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"StarKiIIer",1,0,85094,zMaul,"Darth Maul, Dooku Sidious Savage Sith Marauder",0
"StarKiIIer",1,0,6630,SionSolo (Counter),"Sion G1",0
"Dada",,,122759,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Dada",1,1,154714,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Dada",1,1,170607,GL Rey,"zzzzzzRey zzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Dada",1,1,115331,NS,"zMT zzAV zDaka Zombie Spirit",1
"Dada",1,0,143165,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Dada",0,1,131229,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Dada",,,123349,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Dada",,,459165,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 6*, Clone Sergeant's ARC-170, Plo's SF",1
"Dada",0,1,115726,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Dada",,,426388,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Dada",1,0,125030,Traya,"zzTraya zDN zSion Dooku zzEP",1
"Dada",1,1,147199,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Dada",1,1,141179,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Dada",1,1,107187,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Dada",0,1,112000,BH,"zBossk Boba Dengar Boushh (Leia Organa), Greef",1
"Dada",1,1,99382,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Dada",1,0,89344,Troopers,"zVeers zStarck Snowtrooper Shoretrooper zDT",1
"Dada",0,1,115213,Phoenix,"Hera zEzra Zeb Sabine Captain Rex",1
"Dada",1,0,107127,QGJ,"QGJ Aayla zJKA zzOld Ben, zAhsoka",1
"Dada",1,0,84966,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Dada",1,0,18834,NestSolo (Counter),"zNest",1
"Dada",,,310715,Malevolence,"Malevolence 6* Hyena Bomber 5*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Dada",,,105024,Mon Mothma,"Mon Mothma 5* G6, Wedge zCaptain Drogan, Cara Dune, Biggs",0
"Dada",0,1,88865,BH,"Jango Cad The Mandalorian, Greedo G8, IG-88",0
"Dada",1,1,66761,Rogue1,"Jyn G7, Chirrut G9, Baze G8, K-2SO G8, Bistan G8",0
"Hars Barans",,,121231,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
"Hars Barans",1,1,163026,GL Rey,"zzzzzzRey zzzJTR zzBB-8 Holdo RH Finn",1
"Hars Barans",1,1,117363,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Hars Barans",0,1,132409,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Hars Barans",0,1,117864,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Hars Barans",1,0,122749,CLS,"zzzCLS zHan zzChewbacca zR2-D2 zChewpio",1
"Hars Barans",0,1,99326,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Hars Barans",,,455601,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Hars Barans",,,389376,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Hars Barans",0,1,116541,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Hars Barans",1,0,106674,Traya,"zzTraya DN Sion zzEP Thrawn",1
"Hars Barans",,,112030,Disintegration,"Aurra zzGreef zBoba zzBossk zThe Mandalorian",1
"Hars Barans",1,1,112923,GAS,"zzzzGAS zRex zEcho (501st), zzFives ARC Trooper",1
"Hars Barans",1,1,128516,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Hars Barans",1,1,102611,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Hars Barans",1,1,104333,Carth,"Carth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Hars Barans",0,1,96711,BH,"zzJango Cad Dengar Greedo IG-88",1
"Hars Barans",1,0,92520,Wiggs,"Wedge Biggs zFulcrum Ezra zLeia",1
"Hars Barans",0,1,77946,Phoenix,"Hera Kanan Zeb Sabine Chopper",1
"Hars Barans",,,60201,Admiral Raddus,"Admiral Raddus 4* G8, Cassian G9, Jyn K-2SO G9, Chirrut G8",0
"Hars Barans",,,267738,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Hars Barans",,,415795,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Hars Barans",1,0,70906,Troopers,"Veers zPiett 6* Gideon Dark Trooper, Range Trooper 5* G7",0
"Hars Barans",,,72172,Mon Mothma,"Mon Mothma 6* G8, Lando Cara Dune, Kyle Katarn 6* G9, Pao G8",0
