Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"CorpseGrinderUSA",762819711,-2,10315796,6116653,4199143,145,53,316,567,3420380,2686046,184,14,995,8,324,147,178,208,222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,9,11
"Thunder",163682498,-5,8356941,4895710,3461231,141,168,62,547,2877434,2011787,157,13,717,5,251,99,147,167,177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,22,10,10
"vynle",423513725,-7,7364965,4439082,2925883,151,59,271,424,2487387,1942151,159,19,412,3,257,54,100,130,144,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,19,10,7
"Rivem",726615128,2,8711970,5038114,3673856,137,-65,112,416,2656729,2352390,167,23,514,4,308,73,104,156,174,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,22,8,10
"Ukaiden Wyrs",444777315,-8,8404929,5011467,3393462,147,-93,198,472,2607664,2373125,155,17,566,3,277,64,124,160,178,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,22,11,10
"BountyHunterSlave1",441851933,-6,7969415,4808592,3160823,152,114,71,360,2759583,2037443,166,18,407,1,246,57,80,126,149,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,19,10,11
"DarthBinks",453229764,-4,10524080,6146097,4377983,140,67,444,551,3457634,2679006,208,38,932,6,323,135,176,218,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,27,8,10
"Matthew",696351196,-5,4885766,2763173,2122593,130,-177,78,538,1389414,1373759,46,6,395,2,170,62,83,101,112,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,10,6,6
"straxus47",334632736,-4,5480890,3110854,2370036,131,285,64,430,1920598,1189580,63,5,351,3,221,51,74,92,116,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,14,7,7
"CorpseSurfer",745346358,-2,5634337,3013014,2621323,114,137,118,497,1750335,1262679,45,2,401,0,180,61,86,114,124,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,13,9,5
"JOEFIEND419",546132624,-4,8440815,4852793,3588022,135,29,60,483,2684550,2161318,158,11,524,1,263,62,122,181,196,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,22,11,10
"DjangoFett",184168414,-5,8063783,4652585,3411198,136,-7,443,580,2535644,2116941,175,22,760,3,263,117,157,159,162,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,22,12,11
"Geno",759237922,-7,9810598,5783732,4026866,143,29,352,585,3204298,2578758,220,27,989,7,293,156,180,197,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26,10,12
"Jordan5501",279385939,-1,5473986,3324545,2149441,154,-121,149,336,1716772,1605994,70,12,247,1,229,31,53,82,109,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,16,11,9
"Butlicker",961325421,0,7088251,3964034,3124217,126,133,123,500,2299161,1664873,80,11,518,3,241,69,118,133,142,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,18,10,9
"Hars Barans",472876773,-5,7626666,4462827,3163839,141,85,99,420,2527531,1922074,134,15,349,2,257,40,92,159,180,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,20,12,10
"Makisi",174154859,6,7128411,4007121,3121290,128,-4,192,457,2186953,1820168,116,20,452,3,251,64,94,142,155,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,19,7,9
"Dada",369481718,-10,7543859,4516101,3027758,149,240,235,545,2738469,1777632,126,10,611,4,248,84,131,158,173,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,23,11,12
"KingMaciu",484479315,-8,6527580,3946313,2581267,152,178,57,548,2329646,1611453,76,8,539,3,240,76,114,136,141,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,14,8,6
"Fordifying",853838982,-6,5996230,3627315,2368915,153,218,120,527,2179375,1447264,93,10,491,3,217,71,102,116,126,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,15,8,7
"DarthGAVTank66",958655158,-5,7035631,4116102,2919529,140,63,94,511,2310429,1795980,97,11,520,2,236,71,115,141,162,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,18,10,10
"DimmaDome33",448744531,-4,7455550,4136952,3318598,124,-197,211,383,2059657,2076619,114,18,406,3,250,53,80,125,148,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,21,9,10
"DarKnight",763474782,0,7132414,3983447,3148967,126,-46,187,472,2132493,1850954,116,12,494,3,245,73,99,139,144,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,18,10,10
"The coletrain",246941436,-6,5375906,3162655,2213251,142,-182,40,205,1579013,1570642,91,6,112,1,218,16,23,65,102,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,14,8,7
"Asinum Malum",613212653,-5,7068016,4362629,2705387,161,119,166,466,2514703,1847250,142,9,435,3,245,53,103,140,153,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,20,10,9
"The Legender110",773247546,-5,6339165,3854524,2484641,155,-75,110,538,2034147,1817364,66,10,508,2,213,75,108,132,142,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,14,10,6
"Scias",595821282,-5,5945400,3665541,2279859,160,22,88,384,2020640,1637472,89,12,273,0,213,40,62,112,123,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,18,12,10
"Dimmadome33",627494765,-4,5292970,3039346,2253624,134,109,147,324,1743626,1294319,75,10,230,1,205,31,47,79,105,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,14,6,7
"Mydixierekt",148985128,-4,6221259,3561303,2659956,133,60,57,488,2000415,1560437,91,11,409,2,222,50,98,124,130,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,17,10,8
"scoojay",617226518,-4,6852692,3936549,2916143,134,83,101,478,2232682,1701973,88,18,479,2,222,65,100,132,146,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,16,9,7
"Vaexqua Grupen",115126554,-3,7336776,4366513,2970263,147,144,68,352,2540108,1819201,112,8,339,4,253,46,76,115,149,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,17,7,11
"6Sith",144722144,-2,7355148,4351485,3003663,144,10,62,477,2389690,1960783,119,12,460,2,249,67,109,150,155,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,18,13,11
"Matthias",212342278,2,6750392,3724569,3025823,123,11,155,575,2046877,1677692,62,10,581,2,219,85,123,149,152,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,15,9,6
"Trooper77",169548771,-10,7155580,4218850,2936730,143,98,42,524,2400648,1801992,100,14,553,3,239,75,119,146,162,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,16,8,9
"Mesaback",325292423,-6,5496009,3297702,2198307,150,135,90,501,1911612,1382280,51,11,387,1,203,49,93,105,121,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,10,5,2
"Beorn",646891832,4,7322272,4295247,3027025,141,-143,396,636,2196051,2099196,93,27,814,3,224,111,150,153,165,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,13,7,6
"Wrightdawg",487745186,-7,6729276,4197371,2531905,165,98,103,562,2391771,1794611,136,6,569,3,238,75,125,140,149,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,20,12,11
"DarthGore",279857249,-5,6920052,3965238,2954814,134,3,125,546,2171968,1793270,71,6,571,2,245,84,122,142,153,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,14,7,6
"AcaulkalypseNow",652858542,-7,7030826,4207268,2823558,149,361,199,587,2677166,1529426,100,15,697,3,233,105,134,140,148,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,15,7,5
"Gj8908",133952949,-8,5545509,3246513,2298996,141,297,77,374,2014206,1232307,46,6,289,1,216,43,63,87,116,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,10,6,2
"Richtenz",263787512,3,5805494,3563255,2242239,158,-68,235,439,1887883,1675372,86,8,346,2,185,45,80,106,129,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,17,10,8
"DarthKaynWise",434693777,-4,7483967,4193945,3290022,127,-72,124,528,2218259,1975686,96,14,579,3,239,80,125,155,162,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,15,8,9
"DarthTauma",823899147,-5,6908532,4157499,2751033,151,55,115,356,2329539,1827284,144,16,377,4,239,52,71,100,134,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,20,8,9
