Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthBinks,453229764,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
DarthBinks,453229764,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthBinks,453229764,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
DarthBinks,453229764,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthBinks,453229764,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder Darth Talon
DjangoFett,184168414,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Ukaiden Wyrs,444777315,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Geno,759237922,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Geno,759237922,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Geno,759237922,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Geno,759237922,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Geno,759237922,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sidious DR
Geno,759237922,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Geno,759237922,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Geno,759237922,0,0,0,Seps (1%): Dooku Jango Nute AV GBA
Soundwave Superior,438187725,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
Soundwave Superior,438187725,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Vogel,486754244,0,0,0,BH 2%: Aurra Greef Bossk Jango Boba
Pervis the Chisler,422163964,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Pervis the Chisler,422163964,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
MadBoxxes,918321753,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
vynle,423513725,3,3,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
CorpseGrinderUSA,762819711,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
CorpseGrinderUSA,762819711,0,0,0,Seps (1%): Dooku Jango Nute B1 GG
CorpseGrinderUSA,762819711,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Thunder,163682498,10,10,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Thunder,163682498,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS BS
Thunder,163682498,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
