Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
StarKiIIer,574459387,7,7,0,GAS Special: GAS Ahsoka Tano (Snips)
StarKiIIer,574459387,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
StarKiIIer,574459387,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
StarKiIIer,574459387,17,0,17,ROLO: ROLO G7 Chirrut G8 Han Chewbacca Lando
straxus47,334632736,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
straxus47,334632736,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
straxus47,334632736,15,7,8,JKL: JKL HYoda GMY Jolee G12 GK G12
vynle,423513725,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
vynle,423513725,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
vynle,423513725,0,0,0,JKL: JKL HYoda GMY JKR GK
vynle,423513725,2,0,2,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper R1 Fives
Rivem,726615128,2,2,0,GAS Special: GAS Ahsoka Tano (Snips)
Rivem,726615128,0,0,0,JKL: JKL HYoda GMY JKR GK
Rivem,726615128,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Rivem,726615128,4,0,4,Finn: Finn G12 RT RH Finn RH Poe JTR
Rivem,726615128,15,0,15,ROLO: ROLO Cpt Solo Leia Baze G1 Lando
Rivem,726615128,19,3,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Pattaflafla,639954162,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Pattaflafla,639954162,9,5,4,GAS Special: GAS G12 Ahsoka Tano (Snips)
Pattaflafla,639954162,20,4,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Vaexqua Grupen,115126554,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Vaexqua Grupen,115126554,0,0,0,JKL: JKL HYoda JMLS JKR GK
Vaexqua Grupen,115126554,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Vaexqua Grupen,115126554,8,1,7,GAS Special: GAS G9 Ahsoka Tano (Snips)
Vaexqua Grupen,115126554,9,0,9,ROLO: ROLO Cpt Solo Leia Baze G7 Lando
Severus Snape,626698652,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Severus Snape,626698652,0,0,0,JKL: JKL HYoda GMY Jolee GK
Severus Snape,626698652,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Severus Snape,626698652,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Butlicker,961325421,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Butlicker,961325421,15,6,9,GAS Special: GAS G7 6* Ahsoka Tano (Snips)
Butlicker,961325421,16,15,1,ROLO: ROLO Cpt Solo Leia CLS Lando
Butlicker,961325421,15,7,8,JKL: JKL HYoda GMY R1 JKR R1 Jolee G12
Ukaiden Wyrs,444777315,4,4,0,GAS Special: GAS Ahsoka Tano (Snips)
Ukaiden Wyrs,444777315,0,0,0,JKL: JKL HYoda GMY JKR GK
Ukaiden Wyrs,444777315,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Ukaiden Wyrs,444777315,15,11,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Ukaiden Wyrs,444777315,11,2,9,Shaak Ti: Shaak Ti Rex Echo (501st) R2 ARC Trooper G12 Fives G12
Asinum Malum,613212653,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Asinum Malum,613212653,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Asinum Malum,613212653,0,0,0,JKL: JKL HYoda JMLS JKR GK
Asinum Malum,613212653,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Asinum Malum,613212653,9,0,9,ROLO: ROLO Cpt Solo Leia Baze G7 3* Lando
Asinum Malum,613212653,12,0,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
6Sith,144722144,6,6,0,GAS Special: GAS Ahsoka Tano (Snips)
6Sith,144722144,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
6Sith,144722144,18,3,15,ROLO: ROLO G10 Chirrut G8 Leia CLS R2 Lando
6Sith,144722144,19,7,12,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper G12 Fives G12
AcaulkalypseNow,652858542,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
AcaulkalypseNow,652858542,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
AcaulkalypseNow,652858542,18,18,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
AcaulkalypseNow,652858542,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
AcaulkalypseNow,652858542,5,4,1,ROLO: ROLO Cpt Solo Biggs Baze Lando
scoojay,617226518,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
scoojay,617226518,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
scoojay,617226518,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Trooper77,169548771,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Trooper77,169548771,9,0,9,GAS Special: GAS G7 6* Ahsoka Tano (Snips)
Trooper77,169548771,9,8,1,ROLO: ROLO Cpt Solo Leia CLS Lando
Trooper77,169548771,20,1,19,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G11 Fives G10
CorpseSurfer,745346358,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
CorpseSurfer,745346358,8,4,4,GAS Special: GAS G12 Ahsoka Tano (Snips)
CorpseSurfer,745346358,16,15,1,ROLO: ROLO Cpt Solo Leia CLS Lando
CorpseSurfer,745346358,16,0,16,JKL: JKL G12 HYoda GMY G12 JKR G12 Jolee G12
CorpseSurfer,745346358,12,0,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
JOEFIEND419,546132624,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JOEFIEND419,546132624,7,7,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
JOEFIEND419,546132624,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
