Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
CorpseGrinderUSA,762819711,6,6,0,150374,Padme JKA Ahsoka GK GMY
TsBag,796587562,56,17,39,92535,Padme G12 JKA G3 Ahsoka G8 GK G12 GMY R3
vynle,423513725,8,0,8,137715,Padme R2 JKA R2 Ahsoka R3 GK GMY
Thunder,163682498,8,2,6,141886,Padme JKA G12 Ahsoka GK GMY
Rivem,726615128,12,1,11,125615,Padme R3 JKA Ahsoka R3 GK R4 GMY G12
BountyHunterSlave1,441851933,31,24,7,129605,Padme JKA G12 Ahsoka GK GMY R4
DarthBinks,453229764,9,1,8,128425,Padme R4 JKA Ahsoka R4 GK GMY G12
Killyouz,397387589,32,1,31,83499,Padme G0 0* JKA R2 Ahsoka G12 GK R1 GMY
Bobimus Prime,377489587,31,4,27,109556,Padme G12 JKA G12 Ahsoka G11 GK G12 GMY R3
MINI Zachary,762444814,53,0,53,53271,Padme G0 0* JKA G8 5* Ahsoka G10 GK G8 GMY G11
Ukaiden Wyrs,444777315,17,4,13,133855,Padme R2 JKA R1 Ahsoka G12 GK GMY
Vogel,486754244,39,0,39,92472,Padme G7 JKA G11 Ahsoka G8 GK G7 GMY
Pervis the Chisler,422163964,0,0,0,141970,Padme JKA Ahsoka GK GMY
DjangoFett,184168414,5,1,4,136769,Padme R3 JKA Ahsoka GK GMY R3
Matthew,696351196,88,10,78,18883,Padme G1 JKA G1 1* Ahsoka G1 5* GK G8 5* GMY G1 5*
Buzzkill,399732637,0,0,0,152921,Padme JKA Ahsoka GK GMY
Cornholio,983427889,47,3,44,73616,Padme G1 6* JKA G11 Ahsoka G12 GK G12 GMY G10
JOEFIEND419,546132624,5,0,5,130448,Padme R4 JKA R4 Ahsoka R4 GK R4 GMY R4
Mando Fernandalorian,266468339,33,1,32,103643,Padme G12 JKA G11 Ahsoka G11 GK G12 GMY G12
Geno,759237922,0,0,0,156983,Padme JKA Ahsoka GK GMY
straxus47,334632736,67,26,41,69261,Padme G10 JKA G11 Ahsoka G11 GK G7 6* GMY G10
Greek Freak 34,952314183,65,22,43,62952,Padme G11 6* JKA G11 Ahsoka G7 GK G6 5* GMY G12
Nevaira,161174748,40,7,33,79885,Padme G11 JKA Ahsoka G12 GK G8 GMY G8
StarKiIIer,574459387,68,38,30,87406,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Soundwave Superior,438187725,30,4,26,108562,Padme G12 JKA R3 Ahsoka G12 GK G12 GMY G12
Butlicker,961325421,79,26,53,47649,Padme G6 JKA G8 5* Ahsoka G8 GK G6 GMY G9
Hars Barans,472876773,23,15,8,127431,Padme R4 JKA R3 Ahsoka R3 GK R3 GMY R4
CorpseSurfer,745346358,76,34,42,73388,Padme G1 JKA G11 6* Ahsoka G12 GK G12 GMY G12
FiveSoup,582961367,31,1,30,93626,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Jordan,279385939,56,23,33,86912,Padme G10 JKA G12 Ahsoka G12 GK G11 6* GMY G12
Wyatt,753939385,36,4,32,98805,Padme G12 JKA G6 Ahsoka G12 GK R3 GMY G12
Proxinia,416217429,44,20,24,112161,Padme R2 JKA G10 Ahsoka R2 GK R2 GMY G11
Bretticus,336774861,24,7,17,119774,Padme R2 JKA G12 Ahsoka R2 GK R3 GMY R2
MadBoxxes,918321753,12,2,10,122176,Padme JKA R2 Ahsoka R1 GK R2 GMY
BigBoy,882256414,75,22,53,48684,Padme G1 5* JKA G1 1* Ahsoka G8 GK G11 6* GMY R3
Skillfuhl,577951862,66,1,65,36180,Padme G1 JKA G8 Ahsoka G8 GK G1 GMY G7
Mol Eliza,894469838,25,16,9,126133,Padme JKA R4 Ahsoka R3 GK G12 GMY
Makisi,174154859,25,19,6,129500,Padme G12 JKA Ahsoka GK GMY
Pattaflafla,639954162,19,3,16,123137,Padme G12 JKA G12 Ahsoka R4 GK GMY R2
MrQueen,341758164,56,7,49,54059,Padme G7 6* JKA G11 Ahsoka G11 GK G0 0* GMY G12
Cup ftw,799439734,65,20,45,53386,Padme G4 5* JKA G9 5* Ahsoka G9 GK G11 5* GMY G12
Ratask Dalgery,236196829,25,0,25,102901,Padme G12 JKA G12 Ahsoka G12 GK R4 GMY G12
TakeMeHomeCountryRoads,345541716,30,0,30,97688,Padme G12 JKA G10 6* Ahsoka G8 GK G12 GMY
CaptainAshton,437239219,75,18,57,55005,Padme G1 JKA G8 6* Ahsoka G1 GK G11 GMY G12
DimmaDome33,448744531,21,1,20,103555,Padme G11 JKA Ahsoka G11 GK GMY G12
Dimmadome33,627494765,64,31,33,90431,Padme G12 JKA G12 Ahsoka G12 GK G11 GMY G10
Fordifying,853838982,10,0,10,121827,Padme R2 JKA Ahsoka R2 GK R3 GMY R3
Dada,369481718,48,6,42,81655,Padme G2 6* JKA G2 3* Ahsoka G8 GK GMY
KingMaciu,484479315,68,1,67,27591,Padme G6 6* JKA G1 2* Ahsoka G7 GK G1 5* GMY G8
The coletrain,246941436,53,2,51,60571,Padme G7 6* JKA G4 Ahsoka G8 GK G8 GMY G12
