Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
CorpseGrinderUSA,762819711,6,6,0,141995,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DjangoFett,184168414,2,0,2,137426,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Thunder,163682498,32,25,7,129956,Shaak Ti Fives R4 Rex R3 Echo (501st) R3 ARC Trooper R3
Ukaiden Wyrs,444777315,21,7,14,125019,Shaak Ti Fives R2 Rex R3 Echo (501st) R2 ARC Trooper G12
Rivem,726615128,38,14,24,113588,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
DarthBinks,453229764,0,0,0,142402,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BountyHunterSlave1,441851933,43,34,9,129137,Shaak Ti Fives R4 Rex R3 Echo (501st) R2 ARC Trooper R2
CorpseSurfer,745346358,90,68,22,97735,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
straxus47,334632736,90,32,58,43988,Shaak Ti G9 4* Fives G9 Rex G7 Echo (501st) G7 ARC Trooper G0 0*
Matthew,696351196,90,40,50,49202,Shaak Ti R3 Fives R3 Rex G7 Echo (501st) G1 3* ARC Trooper G0 0*
JOEFIEND419,546132624,50,43,7,123942,Shaak Ti R4 Fives R4 Rex R4 Echo (501st) R3 ARC Trooper R3
Hars Barans,472876773,41,15,26,106857,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Geno,759237922,0,0,0,154955,Shaak Ti Fives Rex Echo (501st) ARC Trooper
StarKiIIer,574459387,56,53,3,126540,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper R4
Butlicker,961325421,87,45,42,67607,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Jordan5501,279385939,54,24,30,90873,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Dada,369481718,62,60,2,131061,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Makisi,174154859,58,23,35,75360,Shaak Ti G12 Fives G12 Rex R2 Echo (501st) G8 ARC Trooper G8
KingMaciu,484479315,66,24,42,65203,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Fordifying,853838982,74,74,0,134238,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DimmaDome33,448744531,42,33,9,114609,Shaak Ti R3 Fives R4 Rex R3 Echo (501st) R3 ARC Trooper R3
DarthGAVTank66,958655158,43,29,14,112064,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Asinum Malum,613212653,20,0,20,116411,Shaak Ti R4 Fives R4 Rex G12 Echo (501st) G12 ARC Trooper G12
DarKnight,763474782,6,0,6,146001,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
The coletrain,246941436,60,23,37,87258,Shaak Ti G9 Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G10
Scias,595821282,49,24,25,97023,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Xyster,585164267,63,32,31,85328,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
Dimmadome33,627494765,90,78,12,113387,Shaak Ti G12 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
The Legender110,773247546,34,24,10,126856,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) ARC Trooper
scoojay,617226518,0,0,0,147170,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaexqua Grupen,115126554,41,3,38,88619,Shaak Ti R2 Fives G11 Rex G10 Echo (501st) G8 ARC Trooper G8 6*
Matthias,212342278,58,20,38,71708,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G8 ARC Trooper G0 0*
Trooper77,169548771,37,10,27,95536,Shaak Ti Fives G10 Rex G12 Echo (501st) G12 ARC Trooper G11
6Sith,144722144,33,13,20,105497,Shaak Ti Fives G12 Rex R1 Echo (501st) R1 ARC Trooper G12
vynle,423513725,8,0,8,130708,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R1
Beorn,646891832,65,25,40,55153,Shaak Ti Fives R3 Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Wrightdawg,487745186,38,2,36,92265,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
AcaulkalypseNow,652858542,56,56,0,145773,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthGore,279857249,58,18,40,64961,Shaak Ti Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Gj8908,133952949,57,6,51,59219,Shaak Ti G12 Fives G9 Rex G11 Echo (501st) G7 ARC Trooper G0 0*
Severus Snape,626698652,8,0,8,130014,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
DarthTauma,823899147,26,1,25,108659,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G12
DarthKaynWise,434693777,56,25,31,88124,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
The Apprentice,825714593,65,1,64,34281,Shaak Ti G0 0* Fives G9 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
Eric R,758597918,35,0,35,70879,Shaak Ti R3 Fives R3 Rex G9 Echo (501st) G8 ARC Trooper G6 5*
Richtenz,263787512,40,8,32,83296,Shaak Ti Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
Redeemerrr,522379314,0,0,0,145679,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dr Trumpet,639954162,48,24,24,110166,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Mesaback,325292423,71,32,39,64722,Shaak Ti R3 Fives R3 Rex G6 Echo (501st) G8 ARC Trooper G5 4*
Mydixierekt,148985128,45,2,43,77870,Shaak Ti Fives G12 Rex G8 Echo (501st) G8 ARC Trooper G1 4*
