Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Matthias,212342278,21,17,4,padme: Padme GK JKA Ahsoka C-3PO G12
Matthias,212342278,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Matthias,212342278,1,0,1,Malevolence: Malevolence 5* Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Matthias,212342278,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Matthias,212342278,23,14,9,CLS: CLS Han Chewbacca Chewpio G11 R2-D2 G12
Matthias,212342278,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Matthias,212342278,39,35,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Matthias,212342278,26,14,12,Troopers: Veers G12 Piett Starck G12 Dark Trooper Range Trooper G12
Butlicker,961325421,4,4,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Butlicker,961325421,32,28,4,padme: Padme G12 GK JKA Ahsoka C-3PO
Butlicker,961325421,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Butlicker,961325421,35,30,5,CLS: CLS Han R1 Chewbacca Chewpio R2 R2-D2 R1
Butlicker,961325421,45,40,5,Grievous Omicron: GG G11 B2 B1 MagnaGuard Droideka
Butlicker,961325421,44,22,22,Troopers: Veers G12 Piett Starck G12 Dark Trooper G9 Range Trooper G9 4*
DarthKaynWise,434693777,5,5,0,padme: Padme GK JKA Ahsoka C-3PO
DarthKaynWise,434693777,4,0,4,CLS: CLS Han Chewbacca Chewpio R2-D2 G12
DarthKaynWise,434693777,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
DarthKaynWise,434693777,4,0,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
DarthKaynWise,434693777,1,0,1,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 4* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
DarthKaynWise,434693777,1,0,1,Malevolence: Malevolence 5* Hyena Bomber 5* Vulture Droid Sun Fac SF Soldier SF Spy SF
DarthKaynWise,434693777,20,19,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
DarthKaynWise,434693777,13,1,12,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G11 6*
Makisi,174154859,41,41,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Makisi,174154859,8,8,0,padme: Padme GK JKA Ahsoka C-3PO
Makisi,174154859,33,24,9,Grievous Omicron: GG B2 R2 B1 G12 MagnaGuard G12 Droideka
Makisi,174154859,1,0,1,Negotiator: Negotiator 6* BTL-B Y-wing 6* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Makisi,174154859,22,5,17,Geonosians Omicron: GBA R2 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Makisi,174154859,25,16,9,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G12
Makisi,174154859,38,34,4,CLS: CLS Han Chewbacca Chewpio R2-D2 G12
Makisi,174154859,36,5,31,GAS: GAS G7 5* Rex R2 Echo (501st) G8 Fives G11 ARC Trooper G8
Greeny,723683959,11,0,11,padme: Padme G10 GK JKA Ahsoka C-3PO G11
Greeny,723683959,9,0,9,Grievous Omicron: GG B2 G12 B1 MagnaGuard Droideka G11
Greeny,723683959,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Greeny,723683959,23,2,21,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G11 Poggle G12
Greeny,723683959,13,0,13,Troopers: Veers Piett Starck Dark Trooper G9 6* Range Trooper G10 5*
Greeny,723683959,31,0,31,CLS: CLS G12 Han G12 Chewbacca G11 Chewpio G6 4* R2-D2 G8
Greeny,723683959,21,0,21,GAS: GAS Rex G12 Echo (501st) G11 Fives G12 ARC Trooper G8 5*
6Sith,144722144,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
6Sith,144722144,20,15,5,padme: Padme GK JKA G12 Ahsoka C-3PO R2
6Sith,144722144,25,25,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
6Sith,144722144,43,24,19,CLS: CLS R2 Han G12 Chewbacca G12 Chewpio G10 R2-D2 G12
6Sith,144722144,22,8,14,GAS: GAS Rex R1 Echo (501st) G12 Fives G12 ARC Trooper G12
6Sith,144722144,23,21,2,Grievous Omicron: GG R1 B2 B1 MagnaGuard Droideka
6Sith,144722144,33,6,27,Troopers: Veers G12 Piett G9 Gideon G12 Dark Trooper G9 Range Trooper G11 5*
straxus47,334632736,48,48,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
