Player,Offense,Defense,GP,Name,Squad,Viable
"tonyef8889",,,182294,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"tonyef8889",,,124765,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"tonyef8889",1,1,163772,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"tonyef8889",,,172797,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"tonyef8889",1,1,178629,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"tonyef8889",,,187624,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"tonyef8889",1,0,151509,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"tonyef8889",,,128418,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"tonyef8889",,,489493,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 6*, Clone Sergeant's ARC-170, Plo's SF",1
"tonyef8889",,,411140,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"tonyef8889",1,0,120207,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper G9",1
"tonyef8889",,,119778,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"tonyef8889",,,115836,Mon Mothma,"zzMon Mothma, Biggs Lando Wedge zCaptain Rex",1
"tonyef8889",1,1,80282,Ewoks,"zChirpa Elder Paploo G9, Wicket Logray",1
"tonyef8889",0,1,117873,BH,"zzBossk zGreedo Dengar zBoba Cad",1
"tonyef8889",1,0,128936,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"tonyef8889",0,1,97341,Phoenix,"zHera zEzra zKanan zZeb Sabine",1
"tonyef8889",1,1,63892,Rogue1,"Jyn G8, Chirrut G8, Baze G8, Cassian G8, K-2SO G8",1
"tonyef8889",1,0,70066,Jawas,"Nebit Jawa Engineer G9, Jawa Scavenger G9, Jawa G8, Dathcha",1
"tonyef8889",1,0,16113,NestSolo (Counter),"Nest",1
"tonyef8889",0,1,93923,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"tonyef8889",1,1,86888,NS,"MT G8, zzAV Daka Zombie G9, Spirit",0
"tonyef8889",1,0,91136,Troopers,"Veers zzPiett Gideon Dark Trooper G9, Range Trooper G4",0
"tonyef8889",,,61002,Iden Troopers,"zIden Versio G8, Stormtrooper G9, Snowtrooper G8, Magma G6, DT G8",0
"tonyef8889",,,65932,Bad Batch,"Hunter G9, Echo G9, Omega G6, Tech G9, Wrecker G8",0
"Delken Krotar",,,180063,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Delken Krotar",,,185811,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Delken Krotar",,,123321,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Delken Krotar",,,430051,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Biggs X-wing",1
"Delken Krotar",1,1,165909,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Delken Krotar",,,186848,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Delken Krotar",,,184240,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Delken Krotar",1,1,171360,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Delken Krotar",,,143610,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zOld Ben, zVisas",1
"Delken Krotar",,,586026,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Delken Krotar",,,183088,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Delken Krotar",1,0,160288,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Delken Krotar",1,1,127106,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Delken Krotar",,,132940,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Delken Krotar",,,493716,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Delken Krotar",,,320422,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Delken Krotar",0,1,104273,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Delken Krotar",,,121509,Mon Mothma,"zzMon Mothma, Biggs zCara Dune, Wedge Bistan",1
"Delken Krotar",1,1,98826,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Delken Krotar",1,1,92403,Carth,"zCarth Onasi, zMission Zaalbar zJuhani G8, Canderous",1
"Delken Krotar",0,1,143979,BH,"zBossk zZam zJango zGreedo Dengar",1
"Delken Krotar",1,0,139089,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"Delken Krotar",1,0,120805,Troopers,"zVeers zStarck Range Trooper, zGideon zScout Trooper",1
"Delken Krotar",0,1,110855,Phoenix,"Hera zEzra Kanan zSabine zCaptain Rex",1
"Delken Krotar",1,0,124829,zMaul,"zDarth Maul, zSidious Sith Assassin, Savage Sith Empire Trooper",1
"Delken Krotar",1,1,96634,Rogue1,"Jyn Chirrut G8, Baze G8, zCassian K-2SO G9",1
"Delken Krotar",,,127446,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Delken Krotar",1,0,21742,SionSolo (Counter),"zSion",1
"Delken Krotar",,,67980,Iden Troopers,"zIden Versio G8, Shoretrooper G8, Snowtrooper G8, Magma G7, DT",0
"Delken Krotar",1,0,67369,Jawas,"Nebit G7, Jawa Engineer G8, Jawa Scavenger G7, Jawa Dathcha G8",0
"Jbo",,,187612,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Jbo",,,126607,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Jbo",1,1,159692,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Jbo",1,1,170959,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Jbo",,,140649,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zzOld Ben, zVisas",1
"Jbo",1,1,120517,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Jbo",,,570148,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
