Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"mazkanata",266828429,0,7738641,4680720,3057921,153,-114,132,517,2442059,2222403,197,7,572,4,245,74,126,160,169,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,22,9,11
"Tombo",626321337,0,9681916,5776040,3905876,147,-76,374,586,3076566,2696824,243,19,974,7,285,147,178,195,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,8,11
"Timbit",599297362,-6,9920737,5977023,3943714,151,-30,377,560,3237637,2710276,257,31,960,6,308,145,172,192,202,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,23,6,8
"SavageOppression",322321826,-5,10722623,6418808,4303815,149,-26,842,569,3492785,2912348,266,34,1009,8,310,147,183,226,236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,9,11
"starwarsnerddad",222298976,-1,10838854,6321715,4517139,139,-22,389,504,3444206,2859799,283,25,882,7,321,137,162,208,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,8,12
"Razvan",673172893,2,10925907,6601081,4324826,152,-3,322,576,3631146,2958033,284,25,1012,7,311,129,196,231,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,8,12
"MEGATRON",931114141,-8,10251593,6160788,4090805,150,1,218,531,3385910,2744316,260,22,839,5,310,108,162,215,231,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,29,9,10
"Killatay",778218162,-5,10915222,6439396,4475826,143,-41,241,506,3471384,2938062,267,27,885,8,330,123,163,213,231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,9,12
"Steelen Gun",859315594,6,11198071,6608207,4589864,143,-57,534,602,3552597,3054607,231,40,1129,8,324,162,208,241,246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9
"Zerachial",866194457,-7,11398791,6843653,4555138,150,-31,417,585,3707730,3105763,283,37,1109,8,333,155,201,245,247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,7,9
"JackDanIce",688152586,0,12079141,7381262,4697879,157,-15,448,637,4027080,3319847,305,42,1365,8,329,180,234,263,268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,8,10
"Ebonisa",693614873,1,11190687,6691645,4499042,148,-30,286,579,3626657,3036346,269,32,1129,8,327,161,201,222,236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,7,11
"Stamford",753238814,2,9266013,5579560,3686453,151,-3,231,518,3074047,2504826,224,17,794,8,297,114,147,175,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,7,10
"MINI stranman",854337162,-5,8679752,5073040,3606712,140,-133,380,513,2618902,2430555,180,13,698,6,288,99,138,168,183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,8,9
"tonyef8889",272349113,-5,8209138,5121537,3087601,165,47,82,454,2871966,2223002,190,17,582,5,286,78,120,137,161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,20,6,9
"Zaphod",854754369,1,11324416,6895058,4429358,155,23,543,622,3837519,3044123,302,37,1072,8,324,139,244,247,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,7,10
"Lee",414474188,0,9106551,5547746,3558805,155,55,128,467,3120285,2395186,231,19,539,4,314,68,135,183,199,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,23,11,8
"Mike",961825211,1,11341749,6865452,4476297,153,-36,651,585,3710687,3124482,298,40,1125,8,331,149,204,235,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8,11
"Jbo",167557273,-9,7672548,4447378,3225170,137,266,211,522,2747898,1698804,198,10,660,5,233,89,129,140,148,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,21,8,9
"simmo",631731626,1,7329701,4166606,3163095,131,-176,103,496,2117965,2048641,162,15,414,2,236,40,105,176,183,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,24,11,13
