Player,Ally Code,Current Gear Needed,Team
Valhalla,549156411,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
Valhalla,549156411,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Valhalla,549156411,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous 4* Armorer 5*
Valhalla,549156411,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R G7 6*
ToMann,989221497,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
ToMann,989221497,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
ToMann,989221497,2,L1 BH: Boba Jango Cad The Mandalorian G10 Embo
ToMann,989221497,7,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman G11 Tusken Warrior G9 URoRRuR'R'R
ToMann,989221497,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
mazkanata,266828429,2,L4 Jabba: Jabba R3 Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
mazkanata,266828429,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
mazkanata,266828429,7,L2 Jawas: Nebit G13 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Tombo,626321337,2,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
Tombo,626321337,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Tombo,626321337,7,L2 Jawas: Nebit G12 Jawa Engineer G13 Jawa Scavenger G12 Dathcha G12 Jawa
nofx,293541954,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
nofx,293541954,1,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G13
nofx,293541954,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
nofx,293541954,2,L2 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman G12 Tusken Warrior URoRRuR'R'R
nofx,293541954,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
tonyef8889,272349113,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
tonyef8889,272349113,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
tonyef8889,272349113,4,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo
tonyef8889,272349113,12,L1 Jawas: Nebit G11 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G11 Jawa G8
Decerto,446782917,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Decerto,446782917,2,L4 BH: Boba Jango Cad The Mandalorian Greedo R3
