Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Zerachial,866194457,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Zerachial,866194457,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Zerachial,866194457,0,0,0,Dooku+Asajj: Dooku AV
Zerachial,866194457,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
nofx,293541954,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
nofx,293541954,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
nofx,293541954,0,0,0,Dooku+Asajj: Dooku AV
nofx,293541954,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ascarn,466585723,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Ascarn,466585723,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Ascarn,466585723,0,0,0,Dooku+Asajj: Dooku AV
Ascarn,466585723,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
FlyingScotsman,333923182,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
FlyingScotsman,333923182,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
FlyingScotsman,333923182,0,0,0,Dooku+Asajj: Dooku AV
FlyingScotsman,333923182,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthJarJar,869587277,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
DarthJarJar,869587277,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthJarJar,869587277,0,0,0,Dooku+Asajj: Dooku AV
DarthJarJar,869587277,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sbomb,792286396,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Sbomb,792286396,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Sbomb,792286396,0,0,0,Dooku+Asajj: Dooku AV
Sbomb,792286396,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Steelen Gun,859315594,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Steelen Gun,859315594,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Steelen Gun,859315594,0,0,0,Dooku+Asajj: Dooku AV
Steelen Gun,859315594,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Killatay,778218162,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Killatay,778218162,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Killatay,778218162,0,0,0,Dooku+Asajj: Dooku AV
Killatay,778218162,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI Aero,448236419,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MINI Aero,448236419,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
MINI Aero,448236419,0,0,0,Dooku+Asajj: Dooku AV
MINI Aero,448236419,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mike,961825211,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mike,961825211,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Mike,961825211,0,0,0,Dooku+Asajj: Dooku AV
Mike,961825211,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
lyt0506,678332117,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
lyt0506,678332117,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
lyt0506,678332117,0,0,0,Dooku+Asajj: Dooku AV
lyt0506,678332117,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sierra R cosworth,919155987,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Sierra R cosworth,919155987,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Sierra R cosworth,919155987,0,0,0,Dooku+Asajj: Dooku AV
Sierra R cosworth,919155987,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ebonisa,693614873,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Ebonisa,693614873,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Ebonisa,693614873,0,0,0,Dooku+Asajj: Dooku AV
Ebonisa,693614873,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Timbit,599297362,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Timbit,599297362,0,0,0,Dooku+Asajj: Dooku AV
Timbit,599297362,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tall One,624699123,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Tall One,624699123,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Tall One,624699123,0,0,0,Dooku+Asajj: Dooku AV
Tall One,624699123,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
The Mellenial Falcon,223934339,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
The Mellenial Falcon,223934339,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
The Mellenial Falcon,223934339,0,0,0,Dooku+Asajj: Dooku AV
The Mellenial Falcon,223934339,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
FN Korvin Smite,145781161,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
FN Korvin Smite,145781161,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
FN Korvin Smite,145781161,0,0,0,Dooku+Asajj: Dooku AV
FN Korvin Smite,145781161,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
VanWilder,995255193,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
VanWilder,995255193,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
VanWilder,995255193,0,0,0,Dooku+Asajj: Dooku AV
VanWilder,995255193,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
FlipFlop Ghandi,654936152,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
FlipFlop Ghandi,654936152,0,0,0,Dooku+Asajj: Dooku AV
FlipFlop Ghandi,654936152,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
GraggledeezNutz,846152598,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
GraggledeezNutz,846152598,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
GraggledeezNutz,846152598,0,0,0,Dooku+Asajj: Dooku AV
GraggledeezNutz,846152598,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Barrick,164522169,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Barrick,164522169,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Barrick,164522169,0,0,0,Dooku+Asajj: Dooku AV
Barrick,164522169,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI MikeK523,262978412,5,5,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
MINI MikeK523,262978412,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MINI MikeK523,262978412,0,0,0,Dooku+Asajj: Dooku AV
MINI MikeK523,262978412,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Razvan,673172893,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Razvan,673172893,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Razvan,673172893,0,0,0,Dooku+Asajj: Dooku AV
Razvan,673172893,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Keetoh,197545126,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Keetoh,197545126,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Keetoh,197545126,0,0,0,Dooku+Asajj: Dooku AV
Keetoh,197545126,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zaphod,854754369,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Zaphod,854754369,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Zaphod,854754369,0,0,0,Dooku+Asajj: Dooku AV
Zaphod,854754369,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kanan Jarrus,753962626,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Kanan Jarrus,753962626,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Kanan Jarrus,753962626,0,0,0,Dooku+Asajj: Dooku AV
Kanan Jarrus,753962626,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Lambchop,343665876,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Lambchop,343665876,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Lambchop,343665876,0,0,0,Dooku+Asajj: Dooku AV
Lambchop,343665876,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rook to E1,886585651,1,0,1,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G11
Rook to E1,886585651,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Rook to E1,886585651,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rook to E1,886585651,0,0,0,Dooku+Asajj: Dooku AV
Tombo,626321337,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Tombo,626321337,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Tombo,626321337,0,0,0,Dooku+Asajj: Dooku AV
Tombo,626321337,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JackDanIce,688152586,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
JackDanIce,688152586,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JackDanIce,688152586,0,0,0,Dooku+Asajj: Dooku AV
JackDanIce,688152586,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Takuma,752599447,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Takuma,752599447,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Takuma,752599447,0,0,0,Dooku+Asajj: Dooku AV
Takuma,752599447,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthLambchop,964738179,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
DarthLambchop,964738179,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthLambchop,964738179,0,0,0,Dooku+Asajj: Dooku AV
DarthLambchop,964738179,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
RivenBAG,883674451,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
RivenBAG,883674451,0,0,0,Dooku+Asajj: Dooku AV
RivenBAG,883674451,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
RivenBAG,883674451,7,4,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
FN Vicious,493612883,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
FN Vicious,493612883,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
FN Vicious,493612883,0,0,0,Dooku+Asajj: Dooku AV
FN Vicious,493612883,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
mazkanata,266828429,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
mazkanata,266828429,0,0,0,Dooku+Asajj: Dooku AV
mazkanata,266828429,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Two Shot,472385896,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Two Shot,472385896,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Two Shot,472385896,0,0,0,Dooku+Asajj: Dooku AV
Two Shot,472385896,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ixuba of Xedloca,761229431,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Ixuba of Xedloca,761229431,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ixuba of Xedloca,761229431,0,0,0,Dooku+Asajj: Dooku AV
Ixuba of Xedloca,761229431,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
starwarsnerddad,222298976,5,4,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
starwarsnerddad,222298976,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
starwarsnerddad,222298976,0,0,0,Dooku+Asajj: Dooku AV
starwarsnerddad,222298976,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MEGATRON,931114141,4,1,3,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G10
MEGATRON,931114141,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MEGATRON,931114141,0,0,0,Dooku+Asajj: Dooku AV
MEGATRON,931114141,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
humanvsai,846592814,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
humanvsai,846592814,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
humanvsai,846592814,0,0,0,Dooku+Asajj: Dooku AV
humanvsai,846592814,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Insomnia,269572764,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Insomnia,269572764,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Insomnia,269572764,0,0,0,Dooku+Asajj: Dooku AV
Insomnia,269572764,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
fingers,719688819,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
fingers,719688819,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
fingers,719688819,0,0,0,Dooku+Asajj: Dooku AV
fingers,719688819,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Devious,514852918,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Devious,514852918,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Devious,514852918,0,0,0,Dooku+Asajj: Dooku AV
Devious,514852918,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SavageOppression,322321826,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
SavageOppression,322321826,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
SavageOppression,322321826,0,0,0,Dooku+Asajj: Dooku AV
SavageOppression,322321826,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
jaxx,129733245,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
jaxx,129733245,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
jaxx,129733245,0,0,0,Dooku+Asajj: Dooku AV
jaxx,129733245,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Lol face,747857479,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Lol face,747857479,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Lol face,747857479,0,0,0,Dooku+Asajj: Dooku AV
Lol face,747857479,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Wingman,912419439,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Wingman,912419439,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Wingman,912419439,0,0,0,Dooku+Asajj: Dooku AV
Wingman,912419439,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
RevNon,525662462,1,1,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
RevNon,525662462,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
RevNon,525662462,0,0,0,Dooku+Asajj: Dooku AV
RevNon,525662462,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
geary,916513474,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
geary,916513474,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
geary,916513474,0,0,0,Dooku+Asajj: Dooku AV
geary,916513474,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
FN BobWhite2149,351999615,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
FN BobWhite2149,351999615,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
FN BobWhite2149,351999615,0,0,0,Dooku+Asajj: Dooku AV
FN BobWhite2149,351999615,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
