Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
mazkanata,266828429,0,0,0,138894,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Timbit,599297362,0,0,0,152037,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tombo,626321337,0,0,0,152384,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Razvan,673172893,0,0,0,150717,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SavageOppression,322321826,0,0,0,152007,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JackDanIce,688152586,0,0,0,154695,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI stranman,854337162,0,0,0,148700,Shaak Ti Fives Rex Echo (501st) ARC Trooper
tonyef8889,272349113,0,0,0,137494,Shaak Ti Fives Rex Echo (501st) ARC Trooper
starwarsnerddad,222298976,0,0,0,148373,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Killatay,778218162,0,0,0,149805,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zerachial,866194457,0,0,0,153940,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ebonisa,693614873,0,0,0,155032,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jbo,167557273,0,0,0,147780,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Muffinman,418598936,0,0,0,149842,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mike,961825211,0,0,0,153586,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Steelen Gun,859315594,0,0,0,148384,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI MikeK523,262978412,0,0,0,157763,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zaphod,854754369,0,0,0,155535,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MEGATRON,931114141,0,0,0,144956,Shaak Ti Fives Rex Echo (501st) ARC Trooper
jaxx,129733245,0,0,0,151681,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lol face,747857479,0,0,0,155953,Shaak Ti Fives Rex Echo (501st) ARC Trooper
RivenBAG,883674451,4,0,4,135446,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
Devious,514852918,0,0,0,152169,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Galalad,145575834,0,0,0,147543,Shaak Ti Fives Rex Echo (501st) ARC Trooper
simmo,631731626,40,0,40,85733,Shaak Ti R2 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G0 0*
MINI Lotiovell,892178375,0,0,0,138155,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Corey,896679359,0,0,0,156607,Shaak Ti Fives Rex Echo (501st) ARC Trooper
RevNon,525662462,0,0,0,140399,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Keetoh,197545126,0,0,0,154017,Shaak Ti Fives Rex Echo (501st) ARC Trooper
nofx,293541954,0,0,0,152007,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mooney,927158148,0,0,0,132586,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dadiwan,355695186,9,0,9,131053,Shaak Ti Fives Rex Echo (501st) ARC Trooper G9 6*
pieman900,966874332,0,0,0,144073,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Marvi Marvson,839349231,0,0,0,141809,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Yan Elrad,839882128,26,0,26,109601,Shaak Ti Fives G11 Rex G11 Echo (501st) G12 ARC Trooper G12
geary,916513474,0,0,0,154792,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ToMann,989221497,8,2,6,142164,Shaak Ti Fives R1 Rex R3 Echo (501st) ARC Trooper
The Undertaker,486438348,3,1,2,147144,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Lee,414474188,31,0,31,91057,Shaak Ti R4 Fives G9 Rex G12 Echo (501st) G12 ARC Trooper G9
Valhalla,549156411,0,0,0,152780,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mara Sedala,496388921,0,0,0,148737,Shaak Ti Fives Rex Echo (501st) ARC Trooper
humanvsai,846592814,0,0,0,139959,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Stamford,753238814,12,0,12,136005,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
Nobby,974538485,20,0,20,120720,Shaak Ti Fives G12 Rex R3 Echo (501st) G12 ARC Trooper G12
Decerto,446782917,0,0,0,141929,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mhann Uhdea,286732833,0,0,0,143818,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ascarn,466585723,0,0,0,153389,Shaak Ti Fives Rex Echo (501st) ARC Trooper
COMPNOR,423469761,24,8,16,124054,Shaak Ti Fives G12 Rex G12 Echo (501st) R1 ARC Trooper
Delken Krotar,966439381,0,0,0,147307,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Cwal99,342789377,18,14,4,143833,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
