Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Steelen Gun,859315594,0,0,0,padme: Padme GK JKA Ahsoka CAT
Steelen Gun,859315594,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Steelen Gun,859315594,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Steelen Gun,859315594,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Steelen Gun,859315594,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Steelen Gun,859315594,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Steelen Gun,859315594,20,16,4,Phasma: Phasma FOTP G12 FOSFTP FOST Kylo
Steelen Gun,859315594,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Steelen Gun,859315594,1,0,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Marvi Marvson,839349231,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Marvi Marvson,839349231,0,0,0,padme: Padme GK JKA Ahsoka CAT
Marvi Marvson,839349231,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Marvi Marvson,839349231,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Marvi Marvson,839349231,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Marvi Marvson,839349231,4,2,2,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle R1
Marvi Marvson,839349231,5,1,4,Troopers: Veers Piett Starck Dark Trooper Range Trooper G12
Marvi Marvson,839349231,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Marvi Marvson,839349231,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Stamford,753238814,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Stamford,753238814,4,4,0,padme: Padme GK JKA Ahsoka CAT
Stamford,753238814,1,1,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Stamford,753238814,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Stamford,753238814,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Stamford,753238814,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Stamford,753238814,8,0,8,GAS: GAS Rex G12 Echo (501st) Fives G12 ARC Trooper
Stamford,753238814,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Stamford,753238814,28,8,20,Troopers: Veers Piett Starck Dark Trooper G1 6* Range Trooper G11
Zaphod,854754369,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Zaphod,854754369,0,0,0,padme: Padme GK JKA Ahsoka CAT
Zaphod,854754369,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Zaphod,854754369,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Zaphod,854754369,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Zaphod,854754369,4,4,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Zaphod,854754369,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zaphod,854754369,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Zaphod,854754369,2,0,2,Geonosians Omicron: GBA Sun Fac Geo Soldier R2 Geo Spy R2 Poggle
MINI MikeK523,262978412,0,0,0,padme: Padme GK JKA Ahsoka CAT
