Player,Offense,Defense,GP,Name,Squad,Viable
"EmperorCrosby",,,125639,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"EmperorCrosby",,,140565,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn zK-2SO Bistan",1
"EmperorCrosby",1,1,158209,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"EmperorCrosby",1,1,161046,GL Rey,"zzzzzzRey zzzJTR zBB-8 zRH Poe, zRH Finn",1
"EmperorCrosby",,,164139,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"EmperorCrosby",,,583090,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"EmperorCrosby",1,0,148243,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"EmperorCrosby",,,116696,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"EmperorCrosby",,,470223,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"EmperorCrosby",,,299943,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"EmperorCrosby",0,1,92959,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"EmperorCrosby",,,449059,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"EmperorCrosby",1,1,144422,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"EmperorCrosby",0,1,138541,BH,"zzBossk zFennec Shand, zAurra Greedo Dengar",1
"EmperorCrosby",1,1,133636,zEP,"zzEP zzzVader Tarkin TFP zMara Jade, The Emperor's Hand",1
"EmperorCrosby",0,1,82464,Phoenix,"Hera Ezra Kanan G8, Zeb Chopper",1
"EmperorCrosby",1,0,20655,SionSolo (Counter),"zSion",1
"EmperorCrosby",0,1,114597,padme,"zzPadme zGK zJKA zAhsoka CAT G9",0
"EmperorCrosby",1,0,93168,Troopers,"Veers zzPiett Gideon 6* G9, Dark Trooper, Range Trooper 5*",0
"EmperorCrosby",,,51365,Nute-OR,"Nute G8, Dooku G5, Jango Zaalbar 4* G7, Mission 5* G6",0
"EmperorCrosby",,,101376,Mon Mothma,"zzMon Mothma, Lando Scarif Wedge Kyle Katarn",0
"EmperorCrosby",1,1,45630,NS,"MT G1, AV Daka G1, Zombie G6, Spirit G3",0
"EmperorCrosby",1,1,76875,Ewoks,"Chirpa Elder Paploo G9, Wicket Logray",0
"EmperorCrosby",0,1,76529,BS,"BS 6* G9, GMY G9, Jolee 4* G8, Old Ben, zHYoda",0
"EmperorCrosby",1,0,54027,Jawas,"Nebit Jawa Engineer G3, Jawa Scavenger G5, Jawa Dathcha G5",0
"Atlas",,,187569,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Atlas",,,123563,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Atlas",,,139371,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn K-2SO Bistan",1
"Atlas",,,457449,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Atlas",1,1,168726,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Atlas",,,192746,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Atlas",,,177340,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Atlas",1,1,168210,GL Rey,"zzzzzzRey zzJTR zR2-D2 zRH Poe, zRH Finn",1
"Atlas",,,146678,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zOld Ben, zVisas",1
"Atlas",,,598430,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"Atlas",,,173264,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Atlas",1,0,163003,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Atlas",,,128150,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
