Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"High Ground",922557416,-5,7023028,4190876,2832152,147,-111,228,458,2190860,2000016,147,6,484,3,228,62,99,126,146,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,19,8,8
"Hoffinator",648332285,-2,8208212,4800539,3407673,140,-64,373,528,2564513,2236026,207,20,662,4,238,84,136,165,176,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,25,9,11
"Sion Helkar",717467744,-5,9105180,5626146,3479034,161,31,626,580,3124544,2472825,244,26,871,4,264,126,162,192,206,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,26,8,12
"Yrevaekul",585975983,-6,8902789,5365931,3536858,151,84,298,536,3064436,2301495,221,31,861,5,279,123,138,167,180,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,24,7,6
"Mo",747127327,-4,8621968,4931864,3690104,133,-159,257,520,2518895,2412969,207,19,712,6,255,93,145,161,174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,23,8,9
"Phillip A",734488427,-1,11227425,6638953,4588472,144,-7,368,607,3637975,2996321,264,31,1231,8,320,183,209,227,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,7,8
"Dante Thunderstone",631192539,-1,8439546,4697853,3741693,125,-152,233,504,2408340,2289513,198,22,664,4,244,92,138,155,168,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,23,10,11
"YasonBorn",467826388,-6,9938212,5714881,4223331,135,-121,361,537,2956963,2728935,230,30,864,6,292,129,162,199,211,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,27,8,9
"Kraxenyore",549819233,-4,7726486,4637372,3089114,150,-91,125,544,2446548,2190824,170,15,687,6,239,91,132,151,167,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,18,8,8
"Baron88",599545491,-6,9605095,5335939,4269156,124,19,373,566,2962286,2373653,203,26,873,6,270,128,177,193,198,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,26,10,9
"Barf",752464551,0,9553148,5655286,3897862,145,85,400,492,3230987,2423623,246,27,729,6,283,92,149,176,196,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,25,10,10
"Senator Radar",762939254,-8,10217004,5870955,4346049,135,-68,172,496,3115118,2726826,257,28,738,5,312,100,153,207,218,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,29,9,12
"Tar Chasz",451387452,-6,9707155,5569385,4137770,134,-49,320,446,2981859,2560999,194,11,662,6,321,93,133,168,191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,24,9,10
"DangeRuss",763299676,0,10645901,6043914,4601987,131,-18,541,536,3298048,2745190,259,27,997,6,301,148,174,198,208,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,25,7,8
