Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
High Ground,922557416,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
High Ground,922557416,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
High Ground,922557416,13,1,12,Troopers: Veers G11 Piett G10 Starck G9 Dark Trooper G9 6* Range Trooper G9 6*
High Ground,922557416,4,0,4,Dooku+Asajj: Dooku G8 AV
DarkestDrizzt,525758127,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DarkestDrizzt,525758127,0,0,0,Dooku+Asajj: Dooku AV
DarkestDrizzt,525758127,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarkestDrizzt,525758127,9,0,9,Troopers: Veers Piett Gideon Dark Trooper G3 Range Trooper
videoturtle6969,251231153,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
videoturtle6969,251231153,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
videoturtle6969,251231153,9,0,9,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G4 5*
videoturtle6969,251231153,8,8,0,Dooku+Asajj: Dooku AV
Mr Glass,378528143,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mr Glass,378528143,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Mr Glass,378528143,0,0,0,Dooku+Asajj: Dooku AV
Mr Glass,378528143,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TalonKarrde,813563816,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TalonKarrde,813563816,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TalonKarrde,813563816,2,0,2,Dooku+Asajj: Dooku G10 AV
Baron88,599545491,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Baron88,599545491,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Baron88,599545491,0,0,0,Dooku+Asajj: Dooku AV
DukeCardlert,645898596,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DukeCardlert,645898596,0,0,0,Dooku+Asajj: Dooku AV
DukeCardlert,645898596,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DukeCardlert,645898596,7,0,7,Troopers: Veers Piett Starck Dark Trooper G9 6* Range Trooper G8 6*
FIREBURT,756692681,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
FIREBURT,756692681,0,0,0,Dooku+Asajj: Dooku AV
FIREBURT,756692681,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
x10na,186813679,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
x10na,186813679,19,17,2,Grievous: GG B2 B1 Droideka G11 MagnaGuard G11
x10na,186813679,14,6,8,Dooku+Asajj: Dooku G4 AV
DeeNix,398571755,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
DeeNix,398571755,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DeeNix,398571755,0,0,0,Dooku+Asajj: Dooku AV
DeeNix,398571755,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SLKREY,775597335,20,1,19,Grievous: GG G10 B2 G9 B1 G7 Droideka G7 MagnaGuard G8
SLKREY,775597335,6,0,6,Dooku+Asajj: Dooku G9 AV G9
SLKREY,775597335,14,0,14,Geos: GBA G10 Poggle G9 Geo Soldier G10 Sun Fac G8 Geo Spy G9
Dante Thunderstone,631192539,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Dante Thunderstone,631192539,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Dante Thunderstone,631192539,0,0,0,Dooku+Asajj: Dooku AV
Dante Thunderstone,631192539,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
