Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DukeCardlert,645898596,0,0,0,GAS Special: GAS Ahsoka
DukeCardlert,645898596,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DukeCardlert,645898596,20,0,20,Finn: Finn R1 RT G12 RH Finn G9 5* RH Poe G9 6* JTR
DukeCardlert,645898596,8,0,8,JKL: JKL HYoda GMY JKR G12 Jolee G12
DukeCardlert,645898596,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
UnoHero,271527426,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
UnoHero,271527426,12,0,12,JKL: JKL HYoda GMY G12 Jolee G12 GK G12
Dante Thunderstone,631192539,0,0,0,GAS Special: GAS Ahsoka
Dante Thunderstone,631192539,0,0,0,JKL: JKL HYoda GMY Jolee GK
Dante Thunderstone,631192539,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Dante Thunderstone,631192539,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Dante Thunderstone,631192539,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Phillip A,734488427,0,0,0,GAS Special: GAS Ahsoka
Phillip A,734488427,0,0,0,JKL: JKL HYoda GMY Jolee GK
Phillip A,734488427,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Phillip A,734488427,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Phillip A,734488427,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Phillip A,734488427,9,5,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Zee Glarr,192447715,0,0,0,GAS Special: GAS Ahsoka
Zee Glarr,192447715,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Zee Glarr,192447715,0,0,0,JKL: JKL HYoda GMY Jolee GK
Zee Glarr,192447715,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Zee Glarr,192447715,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Mr Glass,378528143,0,0,0,GAS Special: GAS Ahsoka
Mr Glass,378528143,0,0,0,JKL: JKL HYoda GMY Jolee GK
Mr Glass,378528143,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Mr Glass,378528143,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Mr Glass,378528143,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Mr Glass,378528143,4,3,1,ROLO: ROLO Cpt Solo Leia Baze Lando
YasonBorn,467826388,0,0,0,GAS Special: GAS Ahsoka
YasonBorn,467826388,0,0,0,JKL: JKL HYoda GMY JKR GK
YasonBorn,467826388,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
YasonBorn,467826388,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
YasonBorn,467826388,6,2,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
YasonBorn,467826388,4,0,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper G12 Fives
DangeRuss,763299676,0,0,0,GAS Special: GAS Ahsoka
DangeRuss,763299676,0,0,0,JKL: JKL HYoda GMY Jolee GK
DangeRuss,763299676,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DangeRuss,763299676,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DangeRuss,763299676,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
DangeRuss,763299676,8,7,1,ROLO: ROLO Cpt Solo Biggs Baze Lando
DeeNix,398571755,0,0,0,GAS Special: GAS Ahsoka
DeeNix,398571755,0,0,0,JKL: JKL HYoda GMY Jolee GK
DeeNix,398571755,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DeeNix,398571755,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
DeeNix,398571755,6,0,6,ROLO: ROLO Cpt Solo Leia Baze G10 Lando
