Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarkestDrizzt,525758127,13,13,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
DarkestDrizzt,525758127,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarkestDrizzt,525758127,15,0,15,Troopers: Veers Piett Dark Trooper G3 Range Trooper Gideon
UnoHero,271527426,20,1,19,EP: EP G12 Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak G11 6*
UnoHero,271527426,29,18,11,CLS: CLS R4 C-3PO R3 Han Chewbacca R3 Chewpio G12
UnoHero,271527426,43,13,30,Troopers: Veers G11 Piett Dark Trooper G11 6* Range Trooper G11 5* Starck G9
High Ground,922557416,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
High Ground,922557416,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
High Ground,922557416,8,5,3,JMK: JMK CAT R4 GK GAS Ahsoka R3
High Ground,922557416,20,12,8,EP: EP Mara Jade, The Emperor's Hand Vader R3 Thrawn G12 Malak
High Ground,922557416,43,1,42,Troopers: Veers G11 Piett G10 Dark Trooper G9 6* Range Trooper G9 6* Starck G9
Bastion,519312524,41,41,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GravelSK,496916323,0,0,0,JMK: JMK CAT GK GAS Ahsoka
GravelSK,496916323,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
GravelSK,496916323,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GravelSK,496916323,2,2,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
GravelSK,496916323,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Starck
GravelSK,496916323,12,12,0,Padme/BB: Padme Hunter Echo Tech Wrecker
GravelSK,496916323,6,0,6,SEE: SEE Malak G12 Darth Malgus BSF DR
Yrevaekul,585975983,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Yrevaekul,585975983,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Yrevaekul,585975983,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Yrevaekul,585975983,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Yrevaekul,585975983,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Phillip A,734488427,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Phillip A,734488427,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Phillip A,734488427,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Phillip A,734488427,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Phillip A,734488427,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Phillip A,734488427,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Mo,747127327,15,15,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Mo,747127327,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Mo,747127327,13,11,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Mo,747127327,9,7,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Eduardo Cadav,993371546,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Eduardo Cadav,993371546,29,15,14,EP: EP G12 Mara Jade, The Emperor's Hand G11 6* Vader Thrawn R4 RG
Eduardo Cadav,993371546,26,1,25,CLS: CLS G12 C-3PO R4 Han G12 Chewbacca G12 Chewpio G12
FIREBURT,756692681,0,0,0,JMK: JMK CAT GK GAS Ahsoka
FIREBURT,756692681,21,5,16,Padme/BB: Padme Hunter R1 Echo R1 Tech R1 Wrecker R1
TalonKarrde,813563816,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
TalonKarrde,813563816,17,0,17,EP: EP Mara Jade, The Emperor's Hand G1 Vader Thrawn Malak
x10na,186813679,38,32,6,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio
x10na,186813679,35,6,29,EP: EP R1 Mara Jade, The Emperor's Hand G12 Vader R3 Thrawn G12 RG G7
Atlas,915344752,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Atlas,915344752,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Atlas,915344752,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Atlas,915344752,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Atlas,915344752,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Atlas,915344752,6,0,6,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon R3
Atlas,915344752,34,26,8,Padme/BB: Padme Hunter R3 Echo R3 Tech R3 Wrecker R3
DukeCardlert,645898596,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DukeCardlert,645898596,14,14,0,JMK: JMK CAT GK GAS Ahsoka
DukeCardlert,645898596,6,0,6,JMLS: JMLS JKL JKR G12 GMY HYoda
DukeCardlert,645898596,13,0,13,EP: EP Mara Jade, The Emperor's Hand G7 4* Vader Thrawn Malak R3
DukeCardlert,645898596,23,0,23,Troopers: Veers R3 Piett Dark Trooper G9 6* Range Trooper G8 6* Starck R3
DukeCardlert,645898596,40,0,40,Padme/BB: Padme Hunter G9 5* Echo G8 5* Tech G8 5* Wrecker G7 5*
Mr Glass,378528143,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Mr Glass,378528143,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Mr Glass,378528143,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Mr Glass,378528143,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Mr Glass,378528143,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Mr Glass,378528143,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Mr Glass,378528143,38,1,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
Kraxenyore,549819233,13,13,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Kraxenyore,549819233,6,6,0,JMK: JMK CAT GK GAS Ahsoka
Kraxenyore,549819233,19,18,1,CLS: CLS C-3PO Han Chewbacca R4 Chewpio
Senator Radar,762939254,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Senator Radar,762939254,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Senator Radar,762939254,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Senator Radar,762939254,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Senator Radar,762939254,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Senator Radar,762939254,24,0,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
BTalon,598466445,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
BTalon,598466445,3,0,3,JMLS: JMLS JKL JKR GMY R2 HYoda
BTalon,598466445,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Tar Chasz,451387452,5,5,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Tar Chasz,451387452,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Tar Chasz,451387452,5,0,5,JMLS: JMLS JKL JKR G13 GMY HYoda
Tar Chasz,451387452,12,5,7,JMK: JMK CAT R3 GK GAS R2 Ahsoka R3
Tar Chasz,451387452,16,3,13,Troopers: Veers Piett Dark Trooper G13 Range Trooper G12 Starck R3
Tar Chasz,451387452,38,1,37,Padme/BB: Padme R3 Hunter G10 Echo G9 Tech G9 Wrecker G9
Zee Glarr,192447715,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Zee Glarr,192447715,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Zee Glarr,192447715,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Zee Glarr,192447715,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zee Glarr,192447715,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Zee Glarr,192447715,2,0,2,Troopers: Veers R3 Piett Dark Trooper Range Trooper Gideon
Raeden Karr,216829185,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Raeden Karr,216829185,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Raeden Karr,216829185,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Raeden Karr,216829185,47,16,31,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G8 6* Starck G12
Raeden Karr,216829185,37,0,37,Padme/BB: Padme Hunter G9 5* Echo G9 5* Tech G9 5* Wrecker G8 5*
EmperorCrosby,657899275,10,6,4,CLS: CLS C-3PO Han Chewbacca R3 Chewpio R3
EmperorCrosby,657899275,12,0,12,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Shoretrooper G12
EmperorCrosby,657899275,36,6,30,Troopers: Veers G11 Piett Dark Trooper G11 Range Trooper G11 5* Starck G9
Ethan Geilvta,897771859,19,0,19,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G10 RG G7
Ethan Geilvta,897771859,22,17,5,CLS: CLS C-3PO Han R3 Chewbacca R4 Chewpio R3
SLKREY,775597335,44,13,31,EP: EP Mara Jade, The Emperor's Hand G8 6* Vader Thrawn G10 RG G5
SLKREY,775597335,37,13,24,CLS: CLS C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Obi Wan71,173413916,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
