Player,Offense,Defense,GP,Name,Squad,Viable
"ICEU420",,,189825,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"ICEU420",,,178996,LV,"zzzzzzLord Vader, zzDarth Malgus, zzzMaul zRG zzzVader",1
"ICEU420",1,1,178778,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"ICEU420",,,174700,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"ICEU420",1,1,169897,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 RH Poe, zRH Finn",1
"ICEU420",1,1,114012,NS,"zzMT zzAV zDaka Zombie Spirit",1
"ICEU420",,,163502,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"ICEU420",1,0,144717,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"ICEU420",,,515987,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"ICEU420",0,1,95992,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ICEU420",,,421385,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"ICEU420",0,1,134171,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"ICEU420",1,0,128498,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"ICEU420",1,0,117900,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"ICEU420",,,109132,Mon Mothma,"zzMon Mothma, zCara Dune, Wedge Chirrut Biggs",1
"ICEU420",1,1,83949,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"ICEU420",1,0,143000,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"ICEU420",0,1,136406,BH,"zzBossk zBoba Dengar zZam zzJango",1
"ICEU420",1,1,103441,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"ICEU420",0,1,87073,Phoenix,"Hera G9, zEzra Zeb G8, Sabine zCaptain Rex",1
"ICEU420",,,125952,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"ICEU420",1,0,123494,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"ICEU420",1,0,23838,NestSolo (Counter),"zNest",1
"ICEU420",,,126420,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"ICEU420",,,306377,Malevolence,"Malevolence Hyena Bomber 6*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"ICEU420",,,86106,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma G6, DT",0
"ICEU420",1,0,60946,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G8, Dathcha G7",0
