Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Chubler",144743434,-4,10437084,6341445,4095639,154,49,267,593,3563419,2747867,264,27,1040,7,298,150,194,217,227,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,25,8,7
"Mr Bhaumik",156581864,-5,8747294,5260291,3487003,150,-73,202,500,2797459,2440275,219,11,769,6,270,113,132,152,170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,21,8,10
"Kavgill",225559995,-4,8773250,5278915,3494335,151,-47,76,517,2842310,2417092,201,4,690,6,285,95,152,164,190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,23,7,10
"Nolei",549142231,-4,10599788,6312729,4287059,147,-20,305,537,3440691,2846355,275,29,887,7,310,122,168,224,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,10,12
"A",914999757,0,10449136,6063832,4385304,138,-34,485,528,3280252,2754272,246,30,899,8,310,128,162,210,216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,13
"Defenestrația",844978443,-8,8644426,5199724,3444702,150,-38,403,526,2820467,2376743,181,12,729,8,281,103,145,164,187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,9,10
"Maong",131681652,5,10688181,6289212,4398969,142,-75,366,521,3350228,2927826,247,35,926,6,305,126,165,207,227,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,29,8,9
"OBI  haaave",821927811,0,9087587,5644290,3443297,163,-273,259,549,2719751,2895969,241,25,763,4,300,101,160,187,208,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,25,12,13
"Ventress Wannabee",899636471,0,9455769,5746761,3709008,154,-72,387,508,3067286,2673880,236,26,764,6,302,97,150,178,188,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,24,7,10
"Lex Skywalkers",941584821,-2,10043554,5932752,4110802,144,-71,255,503,3163658,2755419,236,22,783,7,310,108,164,185,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,26,7,11
"havok935",658932824,-2,9791922,5921943,3869979,153,-25,245,509,3216462,2676728,238,23,841,8,303,123,153,178,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,9,9
"Jace",147722673,-2,10498215,6246456,4251759,146,11,422,532,3456244,2770537,253,27,915,8,307,130,169,207,215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,11
"Largie",224583578,0,10655964,6400940,4255024,150,9,462,550,3536462,2841230,286,26,818,8,316,109,173,250,251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,10,12
"Chim",593656187,-8,7427846,4503329,2924517,153,48,32,489,2540628,1961495,167,1,522,5,258,80,121,138,157,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,21,10,8
"AnalkinSkyballer",552289286,-5,8817265,5481012,3336253,164,42,204,529,3067852,2382970,194,15,775,6,298,111,140,172,182,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,22,8,7
"Flacko Gäb",916745784,-4,9745273,5792407,3952866,146,18,404,530,3224793,2567614,242,25,832,7,283,117,152,199,209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,9,11
"The Great One US",496489926,-4,10143500,6096102,4047398,150,17,117,521,3383420,2696368,261,20,759,6,284,103,150,227,243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,28,9,11
"Maldorin",626473749,-3,11337240,6852706,4484534,152,-74,547,589,3642352,3181782,280,42,1194,8,324,182,204,226,242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,9
"Xian Thencal",364735245,-8,9756371,5922561,3833810,154,-43,199,511,3207000,2714885,255,31,815,8,306,116,145,191,204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,9,11
"carnage007",321929779,5,10507095,6125154,4381941,139,-49,602,525,3292410,2805261,232,35,955,7,316,143,165,196,206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,8,12
"ICEU420",469138648,-6,8183781,5101572,3082209,165,-13,255,522,2800062,2300834,204,12,670,6,271,92,137,157,175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,23,9,11
"Wal Enetia",632221747,-3,9933824,5648800,4285024,131,-5,407,511,3109403,2534717,219,30,862,5,282,130,160,176,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,27,8,11
"Soulhunter",191168838,-6,10122171,5644667,4477504,126,71,216,522,3215869,2426148,229,21,915,5,295,123,164,182,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,28,8,11
"Zeech",541794515,-5,9200035,5246130,3953905,132,-54,312,479,2825389,2420065,202,22,684,6,281,100,134,170,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,24,8,9
"Eeotchbay",815697888,-6,10444575,6034774,4409801,136,6,217,547,3341124,2692636,238,21,905,6,303,118,176,215,226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,28,8,10
"Fluffy the Destroyer",791691489,-5,9341644,5489815,3851829,142,-11,218,551,3000502,2460834,225,19,884,5,276,140,160,178,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,22,7,8
"Lenders Quizan",132983974,-3,9966935,5749122,4217813,136,-61,191,553,3085511,2660961,203,27,915,6,301,133,178,191,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,24,9,9
"Docbones D2",527897336,0,9470198,5809137,3661061,158,71,129,505,3294998,2485593,245,17,768,5,298,105,138,187,201,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,24,7,10
"DE210",252111674,-5,9122148,5314462,3807686,139,0,103,494,2930390,2375539,202,15,576,3,286,72,152,184,198,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,26,10,11
"skyCapt",275781532,-4,9676215,5858762,3817453,153,-44,164,573,3168244,2686471,222,20,945,7,284,141,169,197,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,25,8,10
"Freezefiveoh",383311984,-4,10485413,6210938,4274475,145,-39,461,499,3353494,2828551,271,27,836,7,312,115,156,201,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,29,9,12
"Amun Diin",969738181,5,8750402,5125038,3625364,141,5,173,545,2834937,2285445,207,12,697,7,269,87,142,196,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,29,10,13
"Koneko",645198681,-6,9359132,5673416,3685716,153,159,175,514,3339034,2302420,217,14,818,3,297,122,142,176,200,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,23,9,9
"JollyRoger99",965654756,-2,9471878,5657873,3814005,148,-65,307,561,3028476,2621413,188,32,873,7,280,123,169,188,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,23,9,10
"DoubleA1977",599659874,-5,9859978,5817204,4042774,143,26,289,538,3234951,2553311,218,22,789,5,303,111,156,217,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,31,9,11
"Byrd",843549314,-1,10067991,6115773,3952218,154,5,272,523,3369373,2718037,256,21,778,7,300,103,162,209,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,10,11
"Kreacher",228517748,5,9540460,5853460,3687000,158,-59,272,507,3135971,2699807,225,26,715,5,299,93,150,191,228,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,26,11,10
"DLeviticus",458876211,-4,8942160,5235819,3706341,141,28,422,525,2926251,2304912,209,21,780,6,286,116,139,175,186,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,23,8,9
"Alakay Kaoins",587941728,5,9148515,5245408,3903107,134,-94,483,525,2758488,2458389,209,21,789,6,265,112,150,173,189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,24,7,11
"Qui Hanobi",668125712,2,6974010,4300366,2673644,160,208,153,564,2595046,1702895,149,8,647,5,216,89,125,139,150,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,17,8,8
"Bail Writte SBR",614917386,-3,8311813,5188822,3122991,166,-29,147,481,2811439,2348651,201,15,552,5,279,76,108,182,201,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,27,13,11
"Dingleberries",884349413,-5,8801844,4904379,3897465,125,-29,243,454,2672494,2231885,151,25,662,6,281,101,120,148,168,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,23,7,9
"GandalfTheGreht",175997318,-7,8960087,5568568,3391519,164,-17,138,528,3035431,2504192,243,13,721,7,282,102,144,185,196,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,24,10,9
"Z",484238595,-6,8329954,5053795,3276159,154,-84,398,480,2670056,2355097,216,16,597,4,269,84,121,160,186,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,26,10,13
"Bluewild",882581219,6,7306126,3981064,3325062,119,94,334,356,2285851,1685592,127,16,378,2,256,55,77,108,138,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,17,9,8
