Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mr Bhaumik,156581864,0,0,0,GAS Special: GAS Ahsoka
Mr Bhaumik,156581864,0,0,0,JKL: JKL HYoda GMY Jolee GK
Mr Bhaumik,156581864,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Mr Bhaumik,156581864,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Mr Bhaumik,156581864,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Mr Bhaumik,156581864,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Defenestrația,844978443,0,0,0,GAS Special: GAS Ahsoka
Defenestrația,844978443,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Defenestrația,844978443,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Defenestrația,844978443,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Defenestrația,844978443,9,6,3,ROLO: ROLO Cpt Solo Leia Baze G13 Lando
Defenestrația,844978443,6,0,6,JKL: JKL HYoda GMY JKR G13 Jolee G13
Byrd,843549314,0,0,0,GAS Special: GAS Ahsoka
Byrd,843549314,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Byrd,843549314,0,0,0,JKL: JKL HYoda GMY JKR GK
Byrd,843549314,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Byrd,843549314,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Freezefiveoh,383311984,0,0,0,GAS Special: GAS Ahsoka
Freezefiveoh,383311984,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Freezefiveoh,383311984,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Freezefiveoh,383311984,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Freezefiveoh,383311984,6,1,5,ROLO: ROLO Cpt Solo Leia Baze G11 Lando
Freezefiveoh,383311984,5,0,5,JKL: JKL HYoda GMY JKR R2 Jolee G12
Wal Enetia,632221747,0,0,0,GAS Special: GAS Ahsoka
Wal Enetia,632221747,0,0,0,JKL: JKL HYoda GMY Jolee GK
Wal Enetia,632221747,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Wal Enetia,632221747,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Wal Enetia,632221747,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Fluffy the Destroyer,791691489,0,0,0,GAS Special: GAS Ahsoka
Fluffy the Destroyer,791691489,0,0,0,JKL: JKL HYoda GMY Jolee GK
Fluffy the Destroyer,791691489,6,6,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Fluffy the Destroyer,791691489,17,17,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Fluffy the Destroyer,791691489,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Fluffy the Destroyer,791691489,4,3,1,ROLO: ROLO Cpt Solo Leia Baze Lando
Ventress Wannabee,899636471,0,0,0,GAS Special: GAS Ahsoka
Ventress Wannabee,899636471,0,0,0,JKL: JKL HYoda GMY JKR GK
Ventress Wannabee,899636471,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Ventress Wannabee,899636471,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Ventress Wannabee,899636471,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
Qui Hanobi,668125712,0,0,0,GAS Special: GAS Ahsoka
Qui Hanobi,668125712,0,0,0,JKL: JKL HYoda GMY JKR GK
Qui Hanobi,668125712,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Qui Hanobi,668125712,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Qui Hanobi,668125712,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Qui Hanobi,668125712,8,0,8,ROLO: ROLO Cpt Solo Biggs Baze G8 Lando
Maldorin,626473749,0,0,0,GAS Special: GAS Ahsoka
Maldorin,626473749,0,0,0,JKL: JKL HYoda GMY Jolee GK
Maldorin,626473749,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Maldorin,626473749,5,5,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Maldorin,626473749,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Maldorin,626473749,8,7,1,ROLO: ROLO Cpt Solo Leia Baze Lando
Xian Thencal,364735245,0,0,0,GAS Special: GAS Ahsoka
Xian Thencal,364735245,0,0,0,JKL: JKL HYoda GMY JKR GK
Xian Thencal,364735245,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Xian Thencal,364735245,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Xian Thencal,364735245,9,8,1,Finn: Finn RT RH Finn RH Poe R2-D2
