Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Wal Enetia,632221747,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Wal Enetia,632221747,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Wal Enetia,632221747,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Wal Enetia,632221747,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Wal Enetia,632221747,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Wal Enetia,632221747,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Wal Enetia,632221747,36,0,36,Padme/BB: Padme Hunter G10 Echo G9 4* Tech G9 5* Wrecker G8 5*
AnalkinSkyballer,552289286,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
AnalkinSkyballer,552289286,0,0,0,JMK: JMK CAT GK GAS Ahsoka
AnalkinSkyballer,552289286,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
AnalkinSkyballer,552289286,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
AnalkinSkyballer,552289286,21,11,10,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 RG R1
AnalkinSkyballer,552289286,23,1,22,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Starck R1
Largie,224583578,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Largie,224583578,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Largie,224583578,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Largie,224583578,4,4,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Largie,224583578,14,14,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Largie,224583578,19,1,18,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G13 Gideon G13
Lenders Quizan,132983974,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Lenders Quizan,132983974,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Lenders Quizan,132983974,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Lenders Quizan,132983974,44,44,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Lenders Quizan,132983974,27,27,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Lenders Quizan,132983974,4,0,4,JMLS: JMLS JKL JKR R1 GMY HYoda
Lenders Quizan,132983974,4,0,4,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon
Alakay Kaoins,587941728,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Alakay Kaoins,587941728,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Alakay Kaoins,587941728,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Alakay Kaoins,587941728,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Alakay Kaoins,587941728,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Alakay Kaoins,587941728,10,0,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Starck R3
GandalfTheGreht,175997318,0,0,0,JMK: JMK CAT GK GAS Ahsoka
GandalfTheGreht,175997318,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GandalfTheGreht,175997318,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
GandalfTheGreht,175997318,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
GandalfTheGreht,175997318,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
GandalfTheGreht,175997318,21,0,21,Troopers: Veers R3 Piett Dark Trooper G13 Range Trooper G9 Gideon G13
Chubler,144743434,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Chubler,144743434,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Chubler,144743434,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Chubler,144743434,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Chubler,144743434,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Zeech,541794515,7,7,0,JMK: JMK CAT GK GAS Ahsoka
Zeech,541794515,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Zeech,541794515,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Zeech,541794515,3,0,3,JMLS: JMLS JKL JKR R2 GMY HYoda
