Player,Offense,Defense,GP,Name,Squad,Viable
"DarthDado",,,173632,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"DarthDado",,,123467,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"DarthDado",1,1,155025,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"DarthDado",,,180685,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"DarthDado",1,0,151700,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"DarthDado",1,1,106195,NestSisters,"zzAV zMT zDaka Zombie zNest",1
"DarthDado",0,1,116925,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Marauder",1
"DarthDado",,,497345,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"DarthDado",,,307837,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"DarthDado",1,1,138175,JTR,"zzzJTR zzR2-D2 zBB-8 zRH Finn, zRH Poe",1
"DarthDado",0,1,126985,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"DarthDado",,,106476,Mon Mothma,"zzMon Mothma, Wedge zPao Hoth Rebel Scout, zCara Dune",1
"DarthDado",1,0,114016,Traya,"zzTraya zDN Sion zDooku zzEP",1
"DarthDado",1,0,102407,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"DarthDado",,,130013,Disintegration,"zAurra zGreef zBoba zzBossk zThe Mandalorian",1
"DarthDado",1,1,83062,Ewoks,"zChirpa G9, Elder Paploo zWicket Logray",1
"DarthDado",1,0,120770,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"DarthDado",0,1,107479,Phoenix,"zHera Ezra Kanan Zeb Sabine",1
"DarthDado",0,1,93036,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"DarthDado",,,443538,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"DarthDado",1,1,87066,Carth,"Carth Onasi, Mission zZaalbar Juhani G7, Canderous",0
"DarthDado",,,79863,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma G7, DT",0
"DarthDado",0,1,134726,BH,"zJango zFennec Shand, zDengar Greedo zBoushh (Leia Organa)",0
"DarthDado",,,76095,Bad Batch,"zHunter G8, zEcho G8, Omega G7, zTech G8, zWrecker G8",0
"Jastarter",,,181776,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zzTarkin",1
"Jastarter",1,1,171467,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Jastarter",,,168549,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Jastarter",,,574549,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
