Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Bytor Snowdog",656997348,-4,10922519,6428103,4494416,143,-51,433,565,3467307,2960120,265,34,1008,8,311,144,188,228,238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,10
"Jan Dodonna GAT",482748136,-7,10096382,5831632,4264750,136,-74,179,504,3100839,2708739,227,33,872,4,317,136,156,179,189,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,26,10,10
"CptBlackBush",888364832,-7,9237472,5376794,3860678,139,-67,161,497,2877884,2496260,245,19,744,6,291,109,139,172,185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,25,8,9
"Jaycop",322352622,1,7940315,4717153,3223162,146,14,106,379,2618379,2093325,158,6,448,4,276,62,87,125,153,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,19,9,10
"DarkCoitus",825389354,-6,10872850,6436686,4436164,145,-48,486,584,3473539,2955335,256,35,1123,8,317,172,197,214,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,7,9
"Cruzman",962295923,-6,8684920,5410461,3274459,165,-6,284,518,2977048,2429158,230,24,732,7,265,104,141,163,174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,7,9
"Leo the lion",312994299,-5,10612231,6163278,4448953,138,5,265,552,3404246,2743848,215,30,807,6,316,106,186,239,247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,27,8,10
"Six",992469319,-5,6580535,3815578,2764957,137,-144,451,394,1970935,1844643,116,4,412,2,235,59,81,96,127,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,21,13,10
"Ozzy",574547774,0,8853121,5228734,3624387,144,14,56,400,2898114,2316864,234,16,522,4,301,73,110,140,174,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,23,12,12
"Andhur P'hul",625285383,6,9091021,5121820,3969201,129,9,448,496,2839955,2281189,189,18,723,5,296,101,141,166,184,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,27,8,10
"tallon karrde",623616269,-5,9078630,5443027,3635603,149,-41,347,496,2933834,2480890,170,24,695,4,311,99,139,173,201,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,27,10,11
"Thux Kraç",146561726,-7,9054451,5475216,3579235,152,-3,192,490,3013546,2453140,213,17,681,5,269,106,137,171,179,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,24,9,9
"ReveNeveR",436444241,-5,9285150,5650810,3634340,155,-114,299,573,2959064,2689231,220,27,843,5,282,116,176,188,201,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,28,6,11
"Jastarter",476181546,-1,8803052,5190545,3612507,143,64,233,413,2945717,2239506,216,17,551,4,285,86,99,155,166,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,27,12,9
"Tyson",358865491,-5,6834652,4026921,2807731,143,-128,437,454,2096172,1930749,139,10,522,3,233,77,98,108,129,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,24,9,11
"Delmon Enz",467248887,-4,9172847,5432753,3740094,145,-162,188,511,2779753,2648320,190,20,695,6,280,94,143,187,206,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,25,7,11
"Hoyt Nitrum",428494676,-5,9342571,5727933,3614638,158,15,142,480,3175472,2536164,237,25,731,5,297,104,136,167,195,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,25,9,10
"Tad",418829766,0,9138352,5542319,3596033,154,175,81,493,3293682,2233903,214,12,634,4,298,86,142,182,200,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,27,10,12
"JasTarter Too",234764733,-1,8876001,5231383,3644618,143,67,238,409,2973164,2252899,229,14,547,4,286,84,98,156,169,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,27,11,9
"Bato Kido",464953624,-5,7039041,4318390,2720651,158,28,69,374,2412625,1901109,178,9,368,2,256,55,76,114,137,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,19,11,9
"Haus Junge",687721517,0,10406785,6197697,4209088,147,73,216,531,3522905,2651430,247,27,804,5,314,100,161,231,240,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,26,8,9
"Will Shakespeare",863487143,-4,11624488,7039663,4584825,153,13,115,622,3892344,3112984,298,73,1280,8,333,185,225,243,249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,10
"SWfan114",551549951,-3,9679374,5833378,3845996,151,-13,108,561,3198281,2627671,204,24,869,6,287,120,170,200,214,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,28,9,13
