Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Armadyl,733774834,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Armadyl,733774834,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Armadyl,733774834,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Armadyl,733774834,0,0,0,Dooku+Asajj: Dooku AV
Alias Nome,113955439,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Alias Nome,113955439,0,0,0,Dooku+Asajj: Dooku AV
Alias Nome,113955439,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Alias Nome,113955439,10,6,4,Troopers: Veers Piett Starck Dark Trooper G8 Range Trooper
Spraguey,287832451,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Spraguey,287832451,0,0,0,Dooku+Asajj: Dooku AV
Spraguey,287832451,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Spraguey,287832451,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 6* Range Trooper
Leo the lion,312994299,10,9,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Leo the lion,312994299,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Leo the lion,312994299,0,0,0,Dooku+Asajj: Dooku AV
Leo the lion,312994299,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cameran117,131841125,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Cameran117,131841125,0,0,0,Dooku+Asajj: Dooku AV
Cameran117,131841125,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cameran117,131841125,14,7,7,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G8
Kamu Teeltoo,711928393,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Kamu Teeltoo,711928393,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Kamu Teeltoo,711928393,0,0,0,Dooku+Asajj: Dooku AV
Kamu Teeltoo,711928393,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Hima Glowbin,529813421,11,11,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Hima Glowbin,529813421,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Hima Glowbin,529813421,0,0,0,Dooku+Asajj: Dooku AV
Hima Glowbin,529813421,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheMonikon,423522555,3,3,0,Grievous: GG B2 B1 Nute MagnaGuard
TheMonikon,423522555,0,0,0,Dooku+Asajj: Dooku AV
TheMonikon,423522555,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheMonikon,423522555,15,5,10,Troopers: Veers G11 Piett Gideon G9 Dark Trooper G11 Range Trooper G7
TomTel,454615177,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TomTel,454615177,0,0,0,Dooku+Asajj: Dooku AV
TomTel,454615177,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TomTel,454615177,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Crocodile Dundee,354318791,7,5,2,Troopers: Veers Piett Gideon Dark Trooper G10 Range Trooper
Crocodile Dundee,354318791,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Crocodile Dundee,354318791,0,0,0,Dooku+Asajj: Dooku AV
Crocodile Dundee,354318791,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jan Dodonna GAT,482748136,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Jan Dodonna GAT,482748136,0,0,0,Dooku+Asajj: Dooku AV
Jan Dodonna GAT,482748136,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jan Dodonna GAT,482748136,7,1,6,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G9
ReveNeveR,436444241,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
ReveNeveR,436444241,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
ReveNeveR,436444241,0,0,0,Dooku+Asajj: Dooku AV
ReveNeveR,436444241,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tad,418829766,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Tad,418829766,0,0,0,Dooku+Asajj: Dooku AV
Tad,418829766,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tad,418829766,9,6,3,Troopers: Veers Piett Starck Dark Trooper Range Trooper G9
Delmon Enz,467248887,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Delmon Enz,467248887,0,0,0,Dooku+Asajj: Dooku AV
Delmon Enz,467248887,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Delmon Enz,467248887,9,6,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Caleb,442729443,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Caleb,442729443,0,0,0,Dooku+Asajj: Dooku AV
Caleb,442729443,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JasTarter Too,234764733,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JasTarter Too,234764733,0,0,0,Dooku+Asajj: Dooku AV
JasTarter Too,234764733,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JasTarter Too,234764733,20,0,20,Troopers: Veers Piett Gideon G11 Dark Trooper G3 Range Trooper G2 6*
Hoyt Nitrum,428494676,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Hoyt Nitrum,428494676,0,0,0,Dooku+Asajj: Dooku AV
Hoyt Nitrum,428494676,8,5,3,Troopers: Veers Piett Starck Dark Trooper Range Trooper G9
Hoyt Nitrum,428494676,12,9,3,Geos: GBA Poggle G11 Geo Soldier Sun Fac G10 Geo Spy
Andhur P'hul,625285383,5,5,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Andhur P'hul,625285383,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Andhur P'hul,625285383,0,0,0,Dooku+Asajj: Dooku AV
Andhur P'hul,625285383,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthDarth,169543185,10,10,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
DarthDarth,169543185,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthDarth,169543185,0,0,0,Dooku+Asajj: Dooku AV
DarthDarth,169543185,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ryza,241712725,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Ryza,241712725,0,0,0,Dooku+Asajj: Dooku AV
Ryza,241712725,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ryza,241712725,11,0,11,Troopers: Veers Piett Starck Dark Trooper G5 Range Trooper G8
Pilgrims Plague,756648931,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Pilgrims Plague,756648931,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Pilgrims Plague,756648931,0,0,0,Dooku+Asajj: Dooku AV
Pilgrims Plague,756648931,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Klass Lynder,317336774,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Klass Lynder,317336774,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Klass Lynder,317336774,0,0,0,Dooku+Asajj: Dooku AV
Klass Lynder,317336774,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bytor Snowdog,656997348,8,8,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Bytor Snowdog,656997348,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Bytor Snowdog,656997348,0,0,0,Dooku+Asajj: Dooku AV
Bytor Snowdog,656997348,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Haus Junge,687721517,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Haus Junge,687721517,0,0,0,Dooku+Asajj: Dooku AV
Haus Junge,687721517,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Haus Junge,687721517,10,7,3,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
Antithetical,954858446,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Antithetical,954858446,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Antithetical,954858446,0,0,0,Dooku+Asajj: Dooku AV
Antithetical,954858446,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthDado,773529376,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthDado,773529376,6,6,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
DarthDado,773529376,1,1,0,Dooku+Asajj: Dooku AV
DarthDado,773529376,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Will Shakespeare,863487143,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Will Shakespeare,863487143,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Will Shakespeare,863487143,0,0,0,Dooku+Asajj: Dooku AV
Will Shakespeare,863487143,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bobby0350,414725423,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bobby0350,414725423,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bobby0350,414725423,20,7,13,Troopers: Veers G10 Piett Gideon G8 Dark Trooper G7 Range Trooper G10
Bobby0350,414725423,5,5,0,Dooku+Asajj: Dooku AV
JakeBum,554665654,16,16,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
JakeBum,554665654,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JakeBum,554665654,0,0,0,Dooku+Asajj: Dooku AV
JakeBum,554665654,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Crusader5454,884293376,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Crusader5454,884293376,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Crusader5454,884293376,0,0,0,Dooku+Asajj: Dooku AV
Crusader5454,884293376,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Six,992469319,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Six,992469319,0,0,0,Dooku+Asajj: Dooku AV
Six,992469319,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Six,992469319,14,10,4,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G9
Jaycop,322352622,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Jaycop,322352622,4,4,0,Dooku+Asajj: Dooku AV
Jaycop,322352622,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jaycop,322352622,19,12,7,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G8 6*
Thessa Odai,947123879,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Thessa Odai,947123879,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Thessa Odai,947123879,0,0,0,Dooku+Asajj: Dooku AV
Thessa Odai,947123879,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
CptBlackBush,888364832,16,16,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
CptBlackBush,888364832,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
CptBlackBush,888364832,0,0,0,Dooku+Asajj: Dooku AV
CptBlackBush,888364832,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SWfan114,551549951,9,8,1,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper
SWfan114,551549951,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
SWfan114,551549951,0,0,0,Dooku+Asajj: Dooku AV
SWfan114,551549951,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
tallon karrde,623616269,12,12,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
tallon karrde,623616269,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
tallon karrde,623616269,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
tallon karrde,623616269,0,0,0,Dooku+Asajj: Dooku AV
Bato Kido,464953624,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bato Kido,464953624,0,0,0,Dooku+Asajj: Dooku AV
Bato Kido,464953624,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ozzy,574547774,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Ozzy,574547774,0,0,0,Dooku+Asajj: Dooku AV
Ozzy,574547774,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ozzy,574547774,17,5,12,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G3
JackyP,117166983,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
JackyP,117166983,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JackyP,117166983,0,0,0,Dooku+Asajj: Dooku AV
JackyP,117166983,4,0,4,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
SharpChaos,947247942,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
SharpChaos,947247942,0,0,0,Dooku+Asajj: Dooku AV
SharpChaos,947247942,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SharpChaos,947247942,6,0,6,Troopers: Veers Piett G9 5* Gideon Dark Trooper Range Trooper G9
Jastarter,476181546,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Jastarter,476181546,1,1,0,Dooku+Asajj: Dooku AV
Jastarter,476181546,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jastarter,476181546,13,0,13,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G2 6*
Tyson,358865491,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Tyson,358865491,0,0,0,Dooku+Asajj: Dooku AV
