Player,Offense,Defense,GP,Name,Squad,Viable
"MiniSeriousB",1,1,103331,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"MiniSeriousB",0,1,101704,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"MiniSeriousB",,,103260,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"MiniSeriousB",0,1,105007,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"MiniSeriousB",1,1,78250,JTR,"JTR G8, R2-D2 BB-8 RH Finn, RH Poe",0
"MiniSeriousB",1,1,97362,NS,"MT AV Daka Zombie Spirit",0
"MiniSeriousB",,,99933,Nute-OR,"Nute Dooku Jango Zaalbar zMission",0
"MiniSeriousB",1,1,85971,Revan,"JKR BS zGMY Jolee GK",0
"MiniSeriousB",1,0,74509,ShaakClones,"Shaak Ti, Rex 5* G8, Echo (501st) 5* G8, Fives Clone Sergeant",0
"MiniSeriousB",1,1,120613,zEP,"EP zzzVader Tarkin IPD zMara Jade, The Emperor's Hand",0
"MiniSeriousB",0,1,81728,BH,"Bossk Greedo 5* G8, Boba IG-88 5* G8, Cad",0
"MiniSeriousB",1,0,64578,Troopers,"Veers Starck Piett DT 5* G8, Snowtrooper G8",0
"MiniSeriousB",1,0,69975,Wiggs,"Wedge Biggs Leia Chirrut 5* G8, Baze 5* G8",0
"Mini Melviora",1,1,160238,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zzKRU zThrawn",1
"Mini Melviora",0,1,133344,padme,"zzPadme zGK zJKA zAhsoka Tano (Snips), zC-3PO",1
"Mini Melviora",0,1,103680,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Mini Melviora",1,0,131974,Traya,"zzTraya zDN Sion zzEP Sith Empire Trooper",1
"Mini Melviora",1,1,123897,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda",1
"Mini Melviora",1,1,85231,Ewoks,"zChirpa Elder zPaploo Teebo zLogray",1
"Mini Melviora",0,1,121943,BH,"zBossk Greef The Mandalorian, Boba Cad",1
"Mini Melviora",1,0,112683,Troopers,"zVeers zStarck zPiett Range Trooper, DT",1
"Mini Melviora",1,0,106387,CLS,"zzzCLS Han zLeia Fulcrum zzChewbacca",1
"Mini Melviora",0,1,68260,Phoenix,"Hera Ezra Kanan G9, Zeb G8, Sabine G8",1
"Mini Melviora",,,115203,Phasma,"Phasma FOTP FOSFTP FOST zKylo",0
