Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"zachyz2007",419859111,-6,1967917,1119053,848864,131,61,8,149,632825,486228,13,2,17,0,83,3,3,23,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4
"flycycle",967252473,8,4642816,2718136,1924680,141,8,27,608,1501618,1216518,30,1,398,1,172,55,94,109,119,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,9,8,4
"vleesbams",141125746,2,2700030,1483910,1216120,122,-28,26,163,806113,677797,27,4,41,0,104,5,8,28,39,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
"Sithler",348765681,5,4140867,2186426,1954441,111,135,33,381,1276277,910149,36,7,194,0,175,22,47,72,74,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,2
"Floros",789545733,3,5342297,3115541,2226756,139,76,106,564,1773745,1341796,36,5,417,1,179,53,99,119,129,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,12,6,7
"Millzking",711241297,-4,4486441,2535589,1950852,129,232,29,527,1541354,994235,26,4,343,1,150,45,80,88,101,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,7,5,2
"Lightsaberg",149891279,0,3431545,1953060,1478485,132,254,22,374,1197523,755537,30,2,182,1,111,29,38,54,61,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,6,2
"mr meme2902",913182347,4,2850234,1786486,1063748,167,25,76,176,994448,792038,27,4,46,0,122,2,13,28,58,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,3
"Jon",258421688,-5,2557616,1592234,965382,164,155,20,65,936727,654121,5,2,9,0,102,1,2,13,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"BP",176595647,-4,2816152,1508871,1307281,115,290,27,433,938850,570021,8,0,171,0,98,23,41,47,57,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"Mini Melviora",856927882,8,4431671,2585123,1846548,139,-318,115,413,1218354,1366093,67,10,251,2,152,36,56,77,86,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,10,7,6
"ImManbat",978394674,3,1707222,923538,783684,117,-285,292,394,442649,480202,29,4,102,1,64,15,21,26,26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"LilNinja23",526333633,-7,3604200,2092053,1512147,138,121,3,426,1214041,878012,2,1,208,0,172,24,53,59,72,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,1
"Aaron",424267991,-4,4757545,2747120,2010425,136,222,41,518,1663109,1084011,31,5,348,1,152,46,83,94,102,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,7,5,4
"Rando",718921524,-5,4002498,2370613,1631885,145,263,37,329,1459234,911379,22,3,195,0,152,36,38,55,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2
"DarthAsh",153488472,5,4363195,2485010,1878185,132,57,25,555,1402645,1081914,17,3,356,0,145,51,82,89,99,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,2
"Mol Eliza",597559218,1,1920372,1114062,806310,138,20,66,159,618737,495325,8,1,38,0,83,3,9,14,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1
"Pratorious",135114192,-5,3645833,2076345,1569488,132,-141,28,394,1070051,1006294,27,4,190,0,111,29,43,63,78,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2
"Rhil Margos",562694187,5,4724810,2731867,1992943,137,44,0,554,1533648,1198219,13,3,354,0,195,47,87,104,112,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,3,3
"ControlWard",661294514,-5,3634940,1968492,1666448,118,148,26,448,1155313,812728,16,1,235,1,124,37,51,65,77,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,3,2
"Decypted",462539652,6,5060474,2918722,2141752,136,-156,74,531,1493118,1425604,43,5,375,1,177,42,90,104,113,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,9,8
"TheLoneWanderer84",749817979,-2,4540110,2751653,1788457,153,140,61,657,1610118,1141535,34,1,423,1,156,58,97,117,120,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,8,7,5
"ZMustang",688985621,-9,4919104,2639553,2279551,115,82,22,548,1506711,1132842,19,2,394,0,162,55,91,100,108,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,6,3
"adamclark52",586229869,-7,8704849,5363334,3341515,160,99,75,519,3078288,2275457,196,24,641,3,257,83,144,180,199,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,23,11,10
"Kalsto",377859756,1,1958851,1169681,789170,148,73,8,198,665052,504629,7,0,44,0,61,5,11,19,28,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Nudge",439851763,-4,2830367,1821348,1009019,180,62,8,185,1023025,784639,16,3,38,0,157,2,14,31,57,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3
"RalidWB",271155575,-5,803209,455482,347727,130,-907,105,37,148302,307180,2,0,0,0,30,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Revanchist",229271894,-5,751149,494422,256727,192,299,0,0,308745,185677,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Dillion",422743848,-4,1601015,1149282,451733,254,456,34,49,762141,387141,12,0,0,0,53,0,0,8,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Striker",398583924,-5,2363302,1532985,830317,184,8,5,286,846756,686229,16,2,63,0,103,1,20,35,46,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1
"Elixer",489633533,0,2066881,1149802,917079,125,-85,0,482,608449,541353,0,0,139,0,60,20,33,39,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Brill Counsil",166543538,-4,923596,543694,379902,143,34,0,0,303791,239903,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Julirayray",259548767,-7,3062210,1838587,1223623,150,15,67,192,1018977,819610,37,2,65,0,120,10,11,35,59,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3
"Spartacus",436841239,-7,3357900,2071566,1286334,161,353,3,117,1318384,748516,43,0,17,0,140,3,3,33,54,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3
"CT 7567",663812513,-4,804829,499635,305194,163,201,16,12,298333,198506,2,0,0,0,29,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gross",215524325,-5,3201646,2180276,1021370,213,-143,257,309,1117170,1053988,63,6,110,0,125,13,24,53,77,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5
"Lordofevil",498669533,-7,996983,686529,310454,221,333,0,180,434217,251861,0,0,25,0,16,5,5,8,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"N0CX",496465219,-7,2424763,1341136,1083627,123,-475,23,237,574900,756372,16,2,93,1,75,17,17,22,30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1
"seth schaffer",918592218,-7,2655853,1643202,1012651,162,362,0,488,1050714,590633,2,0,194,0,94,31,44,47,54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"iEatSand",996163989,-9,1398795,944440,454355,207,-94,19,51,497283,446706,5,1,6,0,38,1,1,5,26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Tosilybily",155491676,0,1228005,809486,418519,193,-142,29,211,415964,391896,6,2,25,0,56,0,8,13,22,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"low gun",887165544,-6,2798209,1847932,950277,194,-47,74,228,995077,852855,38,6,70,0,124,7,16,34,50,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"Victor2103720",254817474,-6,2880408,1580862,1299546,121,-371,77,422,723798,855687,19,4,173,0,91,22,40,47,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1
"SanitaryFruitloops",637321744,-9,1288149,797304,490845,162,316,85,141,501269,296035,13,2,11,0,43,1,3,13,25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ZMustang alt",859256554,-9,2813286,1757782,1055504,166,238,0,271,1071048,686734,13,2,87,0,112,13,21,38,52,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
