Player,Ally Code,Current Gear Needed,Team
TheLoneWanderer84,749817979,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
TheLoneWanderer84,749817979,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
ControlWard,661294514,8,L1 BH: Boba Jango G8 Cad The Mandalorian Greedo G8 5*
ControlWard,661294514,1,L0 Old Republic: JKR BS Jolee Mission Zaalbar G7
Jon,258421688,1,L0 BH: Boba Jango 6* Cad The Mandalorian Greedo G7
flycycle,967252473,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 5*
flycycle,967252473,1,L1 Carth: Carth Onasi Mission Zaalbar G11 Canderous T3-M4
Gross,215524325,2,L1 Old Republic: JKR BS G11 Jolee G11 Mission Zaalbar
Gross,215524325,5,L1 BH: Boba Jango Cad G11 The Mandalorian Embo G8 5*
ZMustang alt,859256554,10,L1 BH: Boba Jango G9 Cad G9 The Mandalorian Greedo G8 5*
Tosilybily,155491676,11,L1 Carth: Carth Onasi G9 6* Mission G11 Zaalbar G10 Canderous G9 6* T3-M4 G10
ZMustang,688985621,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 5*
adamclark52,586229869,1,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R7 Boba
adamclark52,586229869,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
adamclark52,586229869,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
adamclark52,586229869,3,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha Jawa
adamclark52,586229869,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Archangel347,851673623,4,L1 Old Republic: JKR BS Jolee G11 Mission G11 Zaalbar G10
Archangel347,851673623,8,L2 BH: Boba Jango G12 Cad G12 The Mandalorian G12 Greedo G12
Archangel347,851673623,16,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G9 6*
Archangel347,851673623,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7 5*
MINI Bishop,151412916,8,L1 Maul: Maul Sabine Bo-Katan G8 Canderous Armorer G8
MINI Bishop,151412916,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
MINI Bishop,151412916,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
MINI Bishop,151412916,4,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G10 Dathcha Jawa
Mini Melviora,856927882,5,L0 Old Republic: JKR BS Jolee Mission G5 Zaalbar G6
Floros,789545733,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
DarthBaylon,482185477,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
mr meme2902,913182347,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
low gun,887165544,11,L1 BH: Boba Jango Cad G9 The Mandalorian G8 Greedo G8
low gun,887165544,6,L0 Carth: Carth Onasi Mission G7 4* Zaalbar G7 3* Canderous T3-M4 G4
Spartacus,436841239,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
Kalsto,377859756,5,L1 Old Republic: JKR BS Jolee G11 Mission G9 Zaalbar G11
Aaron,424267991,13,L0 Jawas: Nebit G7 Jawa Engineer G5 Jawa Scavenger G5 Dathcha G5 Jawa G5 5*
Din Djarin,721934369,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
vleesbams,141125746,1,L0 BH: Boba Jango Cad The Mandalorian Greedo G7
LilNinja23,526333633,5,L1 Old Republic: JKR BS Jolee G10 Mission G9 Zaalbar
Decypted,462539652,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Decypted,462539652,5,L1 BH: Boba Jango G9 5* Cad The Mandalorian Greedo G10
Bishop,983295933,4,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan R6 Skiff Guard (Lando Calrissian) R5 Boba
Bishop,983295933,1,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R2 Armorer
Bishop,983295933,4,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar
Bishop,983295933,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Bishop,983295933,1,L0 Tuskens: Tusken Chieftain 5* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Pratorious,135114192,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
N0CX,496465219,8,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo G8
MiniSeriousB,737795538,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
