Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Spartacus,436841239,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Spartacus,436841239,3,0,3,Dooku+Asajj: Dooku G10 AV G11
vleesbams,141125746,15,15,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
low gun,887165544,0,0,0,Dooku+Asajj: Dooku AV
low gun,887165544,7,0,7,Grievous: GG G5 B2 B1 Droideka MagnaGuard
Sithler,348765681,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Sithler,348765681,11,0,11,Dooku+Asajj: Dooku G1 5* AV
Kalsto,377859756,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kalsto,377859756,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
LilNinja23,526333633,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
LilNinja23,526333633,15,8,7,Dooku+Asajj: Dooku G5 4* AV
Von,842661728,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Von,842661728,15,8,7,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G10 Geo Spy G9
Decypted,462539652,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Decypted,462539652,3,1,2,Troopers: Veers Piett Starck Dark Trooper Range Trooper G10 5*
Decypted,462539652,3,2,1,Grievous: GG G11 B2 B1 Droideka MagnaGuard
Decypted,462539652,4,4,0,Dooku+Asajj: Dooku AV
ZMustang,688985621,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ZMustang,688985621,8,8,0,Dooku+Asajj: Dooku AV
womp womp,941319961,15,0,15,Geos: GBA G9 Poggle G9 Geo Soldier G9 Sun Fac G9 Geo Spy G9
Mini Melviora,856927882,0,0,0,Dooku+Asajj: Dooku AV
Mini Melviora,856927882,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mini Melviora,856927882,5,0,5,Troopers: Veers Piett Starck Dark Trooper G7 5* Range Trooper
Rhil Margos,562694187,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rhil Margos,562694187,1,1,0,Grievous: GG B2 B1 Nute MagnaGuard
Rhil Margos,562694187,8,8,0,Dooku+Asajj: Dooku AV
Lightsaberg,149891279,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Lightsaberg,149891279,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8 5*
flycycle,967252473,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
flycycle,967252473,19,12,7,Troopers: Veers Piett G10 Starck Dark Trooper G10 Range Trooper G9
flycycle,967252473,8,8,0,Dooku+Asajj: Dooku AV
Striker,398583924,4,1,3,Grievous: GG G9 6* B2 B1 Droideka MagnaGuard
Striker,398583924,16,8,8,Dooku+Asajj: Dooku G4 5* AV
Mol Eliza,597559218,11,0,11,Dooku+Asajj: Dooku G6 4* AV G7
ChrisMax87,936298376,17,3,14,Troopers: Veers G10 Piett G9 Gideon G9 Dark Trooper G9 Range Trooper G9 5*
ChrisMax87,936298376,13,0,13,Geos: GBA G9 5* Poggle G10 Geo Soldier G10 Sun Fac G9 Geo Spy G9
Toasty McFloasty,331541467,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Jon,258421688,11,4,7,Dooku+Asajj: Dooku G9 5* AV G8
Jon,258421688,17,8,9,Geos: GBA Poggle G11 Geo Soldier G10 Sun Fac G9 Geo Spy G9
Millzking,711241297,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Millzking,711241297,20,9,11,Dooku+Asajj: Dooku G1 4* AV
TheLoneWanderer84,749817979,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheLoneWanderer84,749817979,8,8,0,Dooku+Asajj: Dooku AV
Limping flyer,699441463,18,0,18,Dooku+Asajj: Dooku G1 4* AV G5 6*
Limping flyer,699441463,12,0,12,Geos: GBA G10 Poggle G10 Geo Soldier G9 Sun Fac G8 Geo Spy G11
Nudge,439851763,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nudge,439851763,18,3,15,Dooku+Asajj: Dooku G5 5* AV G4
DarthLeo33,242738839,3,0,3,Dooku+Asajj: Dooku AV G9
SanitaryFruitloops,637321744,13,0,13,Dooku+Asajj: Dooku G6 5* AV G5 4*
SanitaryFruitloops,637321744,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Victor2103720,254817474,12,5,7,Dooku+Asajj: Dooku G6 5* AV G11 6*
Victor2103720,254817474,14,3,11,Geos: GBA G10 5* Poggle G10 Geo Soldier G11 Sun Fac G9 Geo Spy G9 5*
Julirayray,259548767,4,0,4,Grievous: GG B2 B1 Droideka MagnaGuard G8
Julirayray,259548767,11,0,11,Dooku+Asajj: Dooku AV G1
Julirayray,259548767,14,0,14,Geos: GBA G10 Poggle G10 Geo Soldier G10 Sun Fac G8 Geo Spy G8
gegg,288912899,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
gegg,288912899,8,8,0,Dooku+Asajj: Dooku AV
LordVader786,688269953,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
LordVader786,688269953,14,0,14,Dooku+Asajj: Dooku G9 6* AV G1 3*
zachyz2007,419859111,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
zachyz2007,419859111,20,0,20,Troopers: Veers G9 Piett G8 Gideon G7 Dark Trooper G8 6* Range Trooper G8
zachyz2007,419859111,18,0,18,Dooku+Asajj: Dooku G1 4* AV G5 4*
Floros,789545733,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Floros,789545733,4,1,3,Grievous: GG G9 B2 B1 Nute MagnaGuard
Floros,789545733,17,3,14,Troopers: Veers G10 Piett G9 Gideon G9 Dark Trooper G7 6* Range Trooper G11 6*
Floros,789545733,15,15,0,Dooku+Asajj: Dooku AV
adamclark52,586229869,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
adamclark52,586229869,0,0,0,Dooku+Asajj: Dooku AV
adamclark52,586229869,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
adamclark52,586229869,16,6,10,Troopers: Veers G9 Piett Starck G9 Dark Trooper G9 Range Trooper G11 6*
RalidWB,271155575,19,8,11,Troopers: Veers G11 Piett G9 Gideon G9 Dark Trooper G9 Range Trooper G11
ControlWard,661294514,7,7,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
ControlWard,661294514,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
ControlWard,661294514,17,13,4,Geos: GBA G11 Poggle G11 Geo Soldier Sun Fac G11 Geo Spy G11
DarthAsh,153488472,8,8,0,Dooku+Asajj: Dooku AV
ZMustang alt,859256554,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ZMustang alt,859256554,11,1,10,Troopers: Veers Piett G9 Gideon G10 Dark Trooper G9 6* Range Trooper G10 3*
ZMustang alt,859256554,8,0,8,Dooku+Asajj: Dooku G8 AV G8
BP,176595647,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 6*
BP,176595647,20,18,2,Geos: GBA Poggle Geo Soldier Sun Fac G10 Geo Spy
Aaron,424267991,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
