Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Gross,215524325,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Gross,215524325,8,0,8,CLS: CLS C-3PO G12 Han Chewbacca R4 Chewpio R4
Gross,215524325,32,0,32,Troopers: Veers G12 Piett Dark Trooper G4 4* Range Trooper G12 Gideon G12
Mini Melviora,856927882,5,0,5,EP: EP Mara Jade, The Emperor's Hand R2 Vader Thrawn RG R3
Mini Melviora,856927882,17,0,17,Troopers: Veers Piett Dark Trooper G7 5* Range Trooper G12 Starck
Mini Melviora,856927882,27,2,25,CLS: CLS R4 C-3PO R3 Han G12 Chewbacca G13 Chewpio G7 4*
Mando Fiv,835954673,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Mando Fiv,835954673,22,7,15,Troopers: Veers R2 Piett Dark Trooper R2 Range Trooper G12 Starck R2
TheLoneWanderer84,749817979,24,17,7,CLS: CLS C-3PO R3 Han R3 Chewbacca Chewpio R2
TheLoneWanderer84,749817979,14,0,14,EP: EP G12 Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R3
mr meme2902,913182347,27,13,14,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak R4
mr meme2902,913182347,38,3,35,Troopers: Veers G10 Piett Dark Trooper G9 Range Trooper G9 Gideon G9
mr meme2902,913182347,39,24,15,CLS: CLS R3 C-3PO R3 Han R3 Chewbacca R4 Chewpio G10
iEatSand,996163989,37,2,35,Troopers: Veers G11 5* Piett G10 4* Dark Trooper G11 4* Range Trooper G11 3* Gideon G12
iEatSand,996163989,43,0,43,CLS: CLS G12 C-3PO G9 5* Han G8 Chewbacca G9 5* Chewpio G9 2*
Archangel347,851673623,25,1,24,EP: EP R2 Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Shoretrooper G10
Archangel347,851673623,36,0,36,CLS: CLS C-3PO G9 Han G10 Chewbacca G9 Chewpio G8 4*
Archangel347,851673623,48,0,48,Troopers: Veers G9 Piett G7 4* Dark Trooper G9 5* Range Trooper G8 6* Starck G9
Archangel347,851673623,49,0,49,Padme/BB: Padme G8 6* Hunter G8 3* Echo G8 4* Tech G9 3* Wrecker G8 4*
adamclark52,586229869,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
adamclark52,586229869,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
adamclark52,586229869,4,0,4,JMK: JMK CAT R1 GK GAS Ahsoka Tano (Snips)
adamclark52,586229869,6,2,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R1 Malak
adamclark52,586229869,40,7,33,Troopers: Veers G10 Piett Dark Trooper G9 Range Trooper G11 6* Starck G9
adamclark52,586229869,45,4,41,Padme/BB: Padme R1 Hunter G9 5* Echo G9 5* Tech G9 5* Wrecker G8
flycycle,967252473,38,26,12,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Shoretrooper G12
flycycle,967252473,46,5,41,CLS: CLS G8 C-3PO R3 Han G9 Chewbacca G8 Chewpio G8
flycycle,967252473,49,14,35,Troopers: Veers G12 Piett G12 Dark Trooper G10 Range Trooper G9 Starck G12
Aaron,424267991,43,28,15,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Shoretrooper G9 5*
Aaron,424267991,41,0,41,Padme/BB: Padme R3 Hunter G9 Echo G8 Tech G8 Wrecker G8
Decypted,462539652,15,13,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Decypted,462539652,25,1,24,Troopers: Veers R3 Piett G12 Dark Trooper G12 Range Trooper G10 5* Starck R3
Golden Duck,854174388,10,0,10,CLS: CLS R3 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
ZMustang,688985621,25,0,25,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader Thrawn G12 Shoretrooper G8 5*
ZMustang,688985621,43,34,9,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio R2
Floros,789545733,17,9,8,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R3
Floros,789545733,27,21,6,CLS: CLS R4 C-3PO R3 Han R4 Chewbacca R4 Chewpio R4
