Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
vleesbams,141125746,90,4,86,5647,Shaak Ti G1 2* Fives G1 6* Rex G1 5* Echo (501st) G1 4* ARC Trooper G0 0*
flycycle,967252473,66,32,34,68180,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G8
Sithler,348765681,89,33,56,48356,Shaak Ti R3 Fives R3 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Jon,258421688,90,24,66,25242,Shaak Ti G0 0* Fives G7 Rex G6 Echo (501st) G6 ARC Trooper G5 4*
mr meme2902,913182347,85,19,66,21205,Shaak Ti G8 2* Fives G8 Rex G8 4* Echo (501st) G0 0* ARC Trooper G0 0*
Floros,789545733,90,62,28,80980,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G10 ARC Trooper G8
zachyz2007,419859111,59,16,43,64754,Shaak Ti G0 0* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
Rhil Margos,562694187,66,24,42,60202,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Lightsaberg,149891279,66,1,65,20734,Shaak Ti G1 2* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Millzking,711241297,90,36,54,44817,Shaak Ti Fives R3 Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Aaron,424267991,66,34,32,75659,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G5 4*
Rando,718921524,66,2,64,36880,Shaak Ti G1 2* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Striker,398583924,63,34,29,88713,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G8
BP,176595647,66,0,66,21423,Shaak Ti G0 0* Fives G8 5* Rex G8 6* Echo (501st) G8 5* ARC Trooper G0 0*
Pratorious,135114192,90,27,63,29644,Shaak Ti G1 2* Fives G9 Rex G9 Echo (501st) G8 5* ARC Trooper G0 0*
Sans2905,417793713,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
