Player,Offense,Defense,GP,Name,Squad,Viable
"rileynrose96",1,1,172483,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"rileynrose96",,,182009,JMLS,"zzzJKR zzJKL zzzzzzJMLS zHYoda zzzzGAS",1
"rileynrose96",0,1,144338,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"rileynrose96",1,0,131881,CLS,"zzzCLS Han Chewbacca zzC-3PO Chewpio",1
"rileynrose96",,,331355,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"rileynrose96",0,1,102925,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"rileynrose96",1,0,108506,Traya,"zzTraya zDN zSion Dooku EP",1
"rileynrose96",1,1,85274,Ewoks,"zChirpa Elder zPaploo Wicket zLogray",1
"rileynrose96",0,1,100716,BH,"zzBossk zBoba Dengar G9, zzJango Embo",1
"rileynrose96",1,1,89553,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"rileynrose96",0,1,115187,padme,"zzPadme zGK JKA zAhsoka Tano (Snips), zzFives",1
"rileynrose96",0,1,99381,BS,"zBS zGMY zJolee Old Ben, Ezra",1
"rileynrose96",,,64971,Phasma,"Phasma G8, FOTP G8, FOO G8, KRU zKylo",0
"rileynrose96",,,372679,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",0
"rileynrose96",,,91973,Mon Mothma,"Mon Mothma, Biggs Chirrut G4, Lando Wedge",0
"rileynrose96",,,89748,Bad Batch,"Hunter Echo Omega G1, Tech Wrecker",0
"beanboi",,,107752,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"beanboi",0,1,96244,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"beanboi",1,0,97189,Troopers,"zVeers zPiett zGideon zDark Trooper, Range Trooper",1
