Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"tobster",569316171,4,4127009,2241937,1885072,118,12,154,368,1242008,999929,67,5,225,1,151,29,46,61,74,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,11,5,4
"Bo Diddle",627568373,-5,6069939,3291606,2778333,118,4,119,419,1816679,1474251,84,8,344,2,227,46,73,113,122,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,17,9,10
"Thehighground420",661933162,0,5726194,3185513,2540681,125,-354,158,433,1475357,1710156,76,11,340,2,200,44,72,108,123,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,16,8,7
"Ta152",474737449,-4,5665729,3138431,2527298,124,155,444,350,1849290,1288465,79,13,287,2,180,40,54,87,119,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,11,7,4
"Iluvatar",367597549,4,6886072,3939683,2946389,133,379,121,362,2532766,1393999,87,12,337,3,278,54,62,120,131,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,17,7,10
"dicksharpe",175858197,-1,6903491,3898055,3005436,129,-178,304,454,1974394,1922985,91,15,440,3,235,57,95,131,144,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,18,10,9
"Jed",492425346,-5,5824531,3666573,2157958,169,102,94,207,2104613,1547008,42,9,140,0,214,21,27,66,118,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,8,6
"e4embo",651266171,-5,4781353,2797606,1983747,141,-6,305,373,1528792,1254426,61,6,222,0,167,31,46,88,109,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,4,4
"Kristian45",713547513,1,5040034,2930916,2109118,138,-94,201,428,1542738,1382652,67,7,304,2,207,47,60,95,110,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,12,8,7
"Kelattt",384197343,1,5785846,3258464,2527382,128,-54,141,396,1744407,1501265,71,12,298,2,223,43,63,107,129,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,13,8,7
"Kichler10",945937226,-5,5999936,3627570,2372366,152,90,45,405,2079285,1547271,81,13,286,1,226,39,67,119,140,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,16,13,8
"SitOnMySith",727179611,3,7515739,4106752,3408987,120,-103,393,486,2148781,1943418,86,13,572,3,252,90,107,144,160,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,15,6,7
"xXDarth YetiXx",879719549,6,6595813,3583823,3011990,118,-180,463,374,1806856,1763389,86,16,334,1,230,52,66,114,126,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,20,12,9
"Elon Muscle",274334641,7,5288361,3093849,2194512,140,68,393,538,1757083,1336766,77,10,444,3,188,64,90,106,119,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,13,7,5
"Tomb",644419262,-1,5780435,3401830,2378605,143,79,70,547,1930873,1453256,53,7,461,2,200,58,109,115,128,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,10,6,4
"JSchill",342467647,0,7124530,4040437,3084093,131,-108,268,580,2101242,1910473,89,18,647,4,232,91,136,148,150,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,14,6,6
"Toby18",523572162,3,4487089,2590696,1896393,136,-203,152,377,1296290,1293730,69,10,222,1,174,26,51,74,90,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,12,5,7
"ThePatience",536653765,1,7575599,4383477,3192122,137,-227,497,608,2167762,2215715,102,21,764,5,238,108,149,159,169,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,20,8,8
"Raven3199",716952923,1,5859377,3391545,2467832,137,87,41,504,1940759,1449003,67,10,412,1,205,53,100,113,122,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,13,9,7
"toaster1241",388951769,4,7808418,4657333,3151085,147,-32,206,437,2512409,2116445,155,15,509,2,264,72,106,134,159,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,20,11,10
"Xnalanx",136637536,10,5196026,2832779,2363247,119,-322,361,392,1334732,1498047,80,10,259,2,190,36,52,100,109,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,14,7,7
"Classy Squirrel",277557845,-4,5592576,3273185,2319391,141,493,97,545,2202784,1069725,63,2,430,2,207,60,95,124,127,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,11,4,6
"BluntSkull",979223516,-5,6711001,4124624,2586377,159,74,116,514,2341131,1770752,62,11,487,2,239,71,108,140,149,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,14,8,8
"VikingKoala",431562251,1,5893517,3469361,2424156,143,91,80,360,1981476,1473116,75,9,258,1,228,36,61,100,119,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,16,8,7
"Ferran Jubei",151173958,1,6565190,3949479,2615711,150,27,146,468,2201224,1746119,80,12,393,1,231,61,89,140,151,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,16,8,7
"beanboi",776711776,-7,4183761,2491252,1692509,147,-297,30,228,1175913,1291881,56,9,29,0,167,4,5,85,106,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,5
"jack0",342891997,2,5505375,3330185,2175190,153,-83,83,387,1765821,1563677,72,13,308,2,205,46,63,89,109,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,12,6,7
"DarthVilhem",588329247,-4,6247921,3325266,2922655,113,-91,214,395,1754175,1566213,57,8,335,1,233,45,74,106,124,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,14,8,6
