Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Iluvatar,367597549,20,20,0,Grievous: GG B2 B1 Droideka MagnaGuard
Iluvatar,367597549,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Iluvatar,367597549,7,0,7,Troopers: Veers Piett Starck G10 Dark Trooper G11 Range Trooper G8
Iluvatar,367597549,18,18,0,Dooku+Asajj: Dooku AV
Jed,492425346,9,2,7,Grievous: GG B2 G9 B1 G8 Nute MagnaGuard
Jed,492425346,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jed,492425346,17,17,0,Dooku+Asajj: Dooku AV
Ta152,474737449,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ta152,474737449,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ta152,474737449,20,16,4,Troopers: Veers Piett Gideon G9 Dark Trooper G11 Range Trooper
Ta152,474737449,17,16,1,Dooku+Asajj: Dooku G11 AV
blue force,436724762,2,0,2,Grievous: GG B2 G11 B1 Droideka G11 MagnaGuard
blue force,436724762,11,11,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
blue force,436724762,17,0,17,Troopers: Veers G9 5* Piett G11 6* Starck G7 Dark Trooper G9 6* Range Trooper G7 4*
blue force,436724762,5,1,4,Dooku+Asajj: Dooku G8 AV
DarthVilhem,588329247,20,20,0,Grievous: GG B2 B1 Droideka MagnaGuard
DarthVilhem,588329247,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthVilhem,588329247,6,0,6,Troopers: Veers Piett Starck G11 Dark Trooper G8 Range Trooper G11
DarthVilhem,588329247,14,14,0,Dooku+Asajj: Dooku AV
Yeti no kles,483657413,17,17,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Yeti no kles,483657413,16,16,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Yeti no kles,483657413,8,8,0,Dooku+Asajj: Dooku AV
jex222,821134319,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
jex222,821134319,17,6,11,Troopers: Veers Piett G10 Gideon G9 Dark Trooper G9 Range Trooper G9 5*
jex222,821134319,14,12,2,Grievous: GG B2 G11 B1 G11 6* Nute MagnaGuard
jex222,821134319,0,0,0,Dooku+Asajj: Dooku AV
dicksharpe,175858197,3,2,1,Troopers: Veers Piett Starck G11 Dark Trooper Range Trooper
dicksharpe,175858197,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
dicksharpe,175858197,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
dicksharpe,175858197,8,7,1,Dooku+Asajj: Dooku G11 AV
Belisarius,362364277,17,17,0,Grievous: GG B2 B1 Droideka MagnaGuard
Belisarius,362364277,8,8,0,Dooku+Asajj: Dooku AV
Belisarius,362364277,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Belisarius,362364277,9,9,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Thehighground420,661933162,7,7,0,Grievous: GG B2 B1 Nute MagnaGuard
Thehighground420,661933162,5,4,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Thehighground420,661933162,15,15,0,Dooku+Asajj: Dooku AV
