Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Kelattt,384197343,33,27,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Kelattt,384197343,49,19,30,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Gideon G9
Kelattt,384197343,31,21,10,CLS: CLS R3 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
Thehighground420,661933162,34,34,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Thehighground420,661933162,17,6,11,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn R3 RG
Thehighground420,661933162,35,10,25,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G12 Starck G12
Thehighground420,661933162,26,2,24,CLS: CLS C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
JSchill,342467647,34,34,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JSchill,342467647,25,25,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
JSchill,342467647,2,0,2,JMLS: JMLS JKL JKR GMY R3 HYoda
JSchill,342467647,15,3,12,Troopers: Veers R3 Piett Dark Trooper Range Trooper G10 Starck R3
Raven3199,716952923,22,14,8,CLS: CLS C-3PO Han R3 Chewbacca Chewpio G12
Raven3199,716952923,38,20,18,EP: EP Mara Jade, The Emperor's Hand Vader R3 Thrawn G12 Shoretrooper G8 6*
Elon Muscle,274334641,20,20,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Elon Muscle,274334641,8,0,8,JMLS: JMLS JKL JKR R3 GMY G12 HYoda
Elon Muscle,274334641,34,2,32,Troopers: Veers G11 Piett Dark Trooper G9 Range Trooper G11 Starck G9
Wolffe Pack,787254278,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Wolffe Pack,787254278,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Wolffe Pack,787254278,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Wolffe Pack,787254278,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Wolffe Pack,787254278,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Wolffe Pack,787254278,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Wolffe Pack,787254278,15,4,11,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper G12 Starck R3
creen,677923662,33,33,0,CLS: CLS C-3PO Han Chewbacca Chewpio
creen,677923662,14,1,13,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak G11 6*
creen,677923662,46,6,40,Troopers: Veers G12 Piett G10 Dark Trooper G9 Range Trooper G10 Starck G9
e4embo,651266171,19,17,2,CLS: CLS C-3PO Han Chewbacca R3 Chewpio
e4embo,651266171,25,23,2,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak
e4embo,651266171,43,17,26,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G12 Gideon G11
e4embo,651266171,45,19,26,Padme/BB: Padme R3 Hunter G12 Echo G12 Tech G12 Wrecker G12
dicksharpe,175858197,39,39,0,CLS: CLS C-3PO Han Chewbacca Chewpio
dicksharpe,175858197,23,8,15,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 Malak
dicksharpe,175858197,25,0,25,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Starck G11
Mazline,123149827,42,29,13,Padme/BB: Padme G9 Hunter Echo R4 Tech R4 Wrecker R3
DarthVilhem,588329247,27,9,18,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G7 Malak
DarthVilhem,588329247,38,29,9,CLS: CLS C-3PO R3 Han Chewbacca Chewpio G11
DarthVilhem,588329247,34,2,32,Troopers: Veers G12 Piett Dark Trooper G8 Range Trooper G11 Gideon G9
Bo Diddle,627568373,36,29,7,EP: EP Mara Jade, The Emperor's Hand R4 Vader Thrawn G12 Malak
Bo Diddle,627568373,30,27,3,CLS: CLS C-3PO R3 Han Chewbacca Chewpio R4
Bo Diddle,627568373,40,25,15,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper G12 Gideon G12
toaster1241,388951769,39,39,0,Padme/BB: Padme Hunter Echo Tech Wrecker
toaster1241,388951769,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
toaster1241,388951769,36,32,4,CLS: CLS C-3PO R3 Han Chewbacca R3 Chewpio
toaster1241,388951769,15,7,8,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn RG R3
toaster1241,388951769,20,3,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
FreakyEarth,936992236,4,4,0,CLS: CLS C-3PO Han Chewbacca Chewpio
FreakyEarth,936992236,7,1,6,JMLS: JMLS JKL JKR GMY G12 HYoda
FreakyEarth,936992236,25,0,25,EP: EP Mara Jade, The Emperor's Hand G5 6* Vader R3 Thrawn G9 Malak R4
BubbaBeSlayin,159445147,31,19,12,CLS: CLS C-3PO Han G12 Chewbacca Chewpio G12
BubbaBeSlayin,159445147,27,0,27,EP: EP G9 Mara Jade, The Emperor's Hand Vader R2 Thrawn G6 Malak R2
BubbaBeSlayin,159445147,38,8,30,Padme/BB: Padme R3 Hunter G12 Echo G10 Tech G10 Wrecker G12
revivemebaroudi,857947976,13,7,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
revivemebaroudi,857947976,36,29,7,CLS: CLS C-3PO Han Chewbacca Chewpio G11 5*
revivemebaroudi,857947976,33,21,12,Troopers: Veers R4 Piett R4 Dark Trooper R4 Range Trooper R2 Starck G12
tobster,569316171,18,18,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
tobster,569316171,38,36,2,CLS: CLS C-3PO Han Chewbacca Chewpio R3
Merioon Valhoun,585488784,21,21,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Merioon Valhoun,585488784,22,9,13,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak
jex222,821134319,44,44,0,CLS: CLS C-3PO Han Chewbacca Chewpio
jex222,821134319,9,6,3,JMLS: JMLS JKL JKR GMY R2 HYoda
jex222,821134319,31,18,13,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak G11
jex222,821134319,47,6,41,Troopers: Veers G12 Piett G10 Dark Trooper G9 Range Trooper G9 5* Gideon G9
GH0RAK,772945134,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
GH0RAK,772945134,14,14,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
GH0RAK,772945134,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GH0RAK,772945134,17,0,17,Troopers: Veers Piett Dark Trooper G1 Range Trooper Gideon
SitOnMySith,727179611,46,46,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SitOnMySith,727179611,29,23,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
SitOnMySith,727179611,13,1,12,JMLS: JMLS JKL JKR G12 GMY G12 HYoda
SitOnMySith,727179611,47,23,24,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Starck G12
DarthWilli,228477644,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
DarthWilli,228477644,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
DarthWilli,228477644,42,23,19,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Starck R3
DarthWilli,228477644,44,19,25,CLS: CLS G12 C-3PO G12 Han Chewbacca G12 Chewpio G11
ThePatience,536653765,23,23,0,SEE: SEE Malak Darth Malgus BSF DR
ThePatience,536653765,22,22,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ThePatience,536653765,12,12,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
ThePatience,536653765,7,7,0,JMLS: JMLS JKL JKR GMY HYoda
ThePatience,536653765,8,6,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
ccccccccccc,123929735,20,11,9,EP: EP Mara Jade, The Emperor's Hand R2 Vader Thrawn G12 Malak
ccccccccccc,123929735,43,39,4,CLS: CLS C-3PO Han R4 Chewbacca R3 Chewpio R4
ccccccccccc,123929735,49,0,49,Troopers: Veers G7 Piett G10 6* Dark Trooper G7 6* Range Trooper G11 6* Starck G6
Kristian45,713547513,46,46,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Kristian45,713547513,30,12,18,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Shoretrooper G12
jack0,342891997,19,8,11,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn RG R3
jack0,342891997,40,19,21,CLS: CLS C-3PO G12 Han G9 Chewbacca G12 Chewpio
jack0,342891997,47,4,43,Padme/BB: Padme R3 Hunter G9 5* Echo G5 4* Tech G9 5* Wrecker G8 5*
an0nym0usj0hn,633526334,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
an0nym0usj0hn,633526334,24,6,18,Troopers: Veers G12 Piett Dark Trooper Range Trooper G12 Gideon G12
an0nym0usj0hn,633526334,30,0,30,EP: EP G10 Mara Jade, The Emperor's Hand G10 Vader Thrawn G10 Shoretrooper G12
BluntSkull,979223516,49,31,18,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 RG G9
BluntSkull,979223516,40,35,5,CLS: CLS C-3PO R4 Han R3 Chewbacca R3 Chewpio
